N,q,leg,outer,phase,loss,train_endpoint_med_um,val_endpoint_med_um,test_endpoint_med_um,val_endpoint_p95_um,test_endpoint_p95_um,val_slope_med_mrad,wall_s
4,5,0,9,stall,1.2312632001624899e-07,35.68499786910273,35.55999053568826,35.16308601929552,207.76253622406216,196.5835556697613,0.023963804708300104,10.2
4,5,0,10,stall,1.2251620174768244e-07,35.52839993965051,35.499473835784556,35.0965180999907,206.41948162610777,196.17122693511106,0.024041070518551755,10.2
4,5,0,11,stall,1.2197487058783098e-07,35.32340963428426,35.33990675265386,34.94507150369941,205.4475575831531,195.50832658465117,0.024008627921720538,10.2
4,5,0,12,stall,1.214851333695373e-07,35.12524795337413,35.24735581015648,34.92469176171653,206.71573563956278,194.80441167858945,0.02387621690412567,10.2
4,5,0,13,stall,1.2103601298527846e-07,35.140581536929005,35.368794804753634,34.95303646766956,206.49792229484112,194.47484275298734,0.02391947164261804,10.2
4,5,0,14,stall,1.2061987659267865e-07,34.99443139968861,35.17597814806095,34.958748868007206,206.23997563026913,194.60914264274726,0.023859378980042867,10.2
4,5,0,15,stall,1.2023112728762364e-07,34.97148733286437,35.052088657494096,34.86398240029587,206.0425715171777,194.68947872886926,0.023836660938331145,10.2
4,5,0,16,stall,1.1986551280773589e-07,34.782607505056795,34.72411491713956,34.72462900702311,205.80511228085237,194.4379098556895,0.023802220374069538,10.2
4,5,0,17,stall,1.1951972016580775e-07,34.87581842725973,34.53586063270109,34.302944783824785,204.63039850107916,194.1744821662721,0.023926483073744703,10.2
4,5,0,18,stall,1.1919111707099563e-07,34.85512297302762,34.41522196079916,34.23822830357892,202.84144764716524,193.93276170298404,0.023852192591419796,10.2
4,5,0,19,stall,1.1887757907235114e-07,34.79874163203789,34.25027031909167,33.9757210952456,202.12652380038756,193.6338584752208,0.0237876619931382,10.2
4,5,0,20,stall,1.185773678366329e-07,34.62986817297775,34.31093073064062,33.78042704993334,201.8148940216942,193.33690065444114,0.023835216698478434,10.2
4,5,0,21,stall,1.1828904431773829e-07,34.57216242340877,34.01582849224383,33.628257267352524,201.5266932011635,192.96351533817824,0.0237986093835265,10.1
4,5,0,22,stall,1.1801140404078881e-07,34.46435631989431,33.935198747258255,33.4313883684203,201.2400087143638,192.6767908110038,0.023786090544930527,10.2
4,5,0,23,stall,1.1774342934434435e-07,34.37662654236817,33.81088077287586,33.41872977439664,201.05686078940482,192.31686562410184,0.023736969278716213,10.2
4,5,0,24,stall,1.1748425232750518e-07,34.25426337560111,33.77580132125502,33.17094843390578,200.92423666545943,192.1700753094485,0.023627241976749425,10.2
4,5,0,25,stall,1.1723312700224503e-07,34.08535621780118,33.76211952411268,33.04014179218484,200.82439793528027,191.9824552230495,0.023792971625566373,10.2
4,5,0,26,stall,1.1698940691990234e-07,34.00260699559965,33.67088845784849,32.8717539485055,200.7004205564262,191.99850885273693,0.023800875761703644,10.2
4,5,0,27,stall,1.1675252821969848e-07,33.992323362838306,33.6913610942986,32.75272108398042,200.60826318873143,191.8291799108289,0.023718746482631614,10.2
4,5,0,28,stall,1.1652199552248552e-07,33.85736341238044,33.633201379387856,32.63686711510161,200.49211875796024,191.85433908228902,0.02375107995382028,10.2
4,5,0,29,stall,1.1629737125170084e-07,33.77098508823906,33.5287125513446,32.506045398108085,200.12265968027145,191.66535473841293,0.023818478848858238,10.2
4,5,0,30,stall,1.1607826639596014e-07,33.64471857314477,33.30901162263444,32.42856414706807,199.05175703037725,191.64308370750123,0.023635788534363822,10.2
4,5,0,31,stall,1.1586433358678992e-07,33.5993169935378,33.225703045729915,32.43357031124816,197.92688337278094,191.45933712767948,0.023748979395138425,10.2
4,5,0,32,stall,1.1565526083687905e-07,33.521820177178085,33.1650420466616,32.47206248436285,196.94808426880812,191.73429375184134,0.02362563138738616,10.2
4,5,0,33,stall,1.1545076694378529e-07,33.43429344317883,33.141180182411745,32.43373796016158,195.9113625085931,191.83811927607053,0.023603518463415074,10.2
4,5,0,34,stall,1.1525059710616926e-07,33.32600209846248,33.00913711927933,32.41203478922128,195.01396959817032,191.9935481928406,0.02361044382853672,10.2
4,5,0,35,stall,1.150545198117248e-07,33.2250823979372,32.927275435440606,32.32634716838945,194.19688298575008,191.47805627847,0.023653887028421416,10.2
4,5,0,36,stall,1.1486232367184411e-07,33.14829562398103,32.76141244315056,32.27880219294832,194.24301098750047,191.31592309447828,0.02367214602643289,10.2
4,5,0,37,stall,1.1467381528268558e-07,33.14493904743543,32.68195723072154,32.171627403911884,194.51907656589069,191.2917850789523,0.023733687760096878,10.2
4,5,0,38,stall,1.1448881687203233e-07,33.02750433537405,32.64776424342131,32.099172506597995,194.76111109932071,190.9754133256822,0.023781242640123768,10.1
4,5,0,39,stall,1.1430716481290173e-07,33.07068323364604,32.59164558558325,32.03508697597712,194.42254396549288,190.86870068740507,0.023788381128458935,10.2
4,5,0,40,stall,1.1412870782558538e-07,32.99812867114582,32.6057500935093,31.952668482265523,194.44389463338882,190.44470602042242,0.02374678229289523,10.1
4,5,0,41,stall,1.1395330593963868e-07,32.924798913754216,32.50342238231951,31.966924849989642,194.44054117757028,190.34073913806515,0.02379175607136047,10.2
4,5,0,42,stall,1.1378082908303164e-07,32.89244095020649,32.569839581356064,31.910725880693658,194.49329243820983,189.83509164842846,0.023755875884268196,10.2
4,5,0,43,stall,1.1361115635859752e-07,32.73143943281731,32.539568443723965,31.859231688876832,194.54910651426727,189.65332703065218,0.023765113586891873,10.2
4,5,0,44,stall,1.1344417490931911e-07,32.725372148837195,32.511779232663685,31.908401959647392,194.66043251828148,189.4942479940573,0.02378190063834912,10.2
4,5,0,45,stall,1.1327977941957838e-07,32.65802942786422,32.33553072061568,31.84373054509848,194.73368132510237,189.07960974222834,0.02373874186845787,10.2
4,5,0,46,stall,1.1311787118071768e-07,32.62708452255225,32.408073631806644,31.775537640250207,194.85792785363782,188.97206873085833,0.023755032867368853,10.2
4,5,0,47,stall,1.1295835775626203e-07,32.58538204676853,32.31286580361825,31.69593399634607,194.9561120807054,188.44013713716956,0.023628499844382395,10.2
4,5,0,48,stall,1.1280115219509537e-07,32.490816329783456,32.23925939300187,31.558051800132603,194.77490891676757,188.3744922224367,0.02369614069946957,10.1
4,5,0,49,stall,1.1264617281845324e-07,32.45942188237905,32.30789091495012,31.557774435697183,194.5916658062075,187.8620321467267,0.023686650849626123,10.2
4,5,0,50,stall,1.1249334254381842e-07,32.4469968536647,32.15443341639457,31.387908827248623,194.16688360058433,187.79861695776106,0.023606369739408162,10.2
4,5,0,51,stall,1.1234258876325853e-07,32.42545614568115,32.187661993930305,31.384007957086624,193.99923878735106,187.3352035926047,0.02366084491325915,10.2
4,5,0,52,stall,1.1219384275149385e-07,32.372566486785104,32.065037050657,31.226555276305135,193.59206683102687,187.42722903839282,0.023554323763386176,10.2
4,5,0,53,stall,1.1204703961439985e-07,32.33449147412415,32.002602632559274,31.2224426051273,193.43895870237503,187.081493366334,0.023586896829196763,10.2
4,5,0,54,stall,1.1190211776170424e-07,32.272617096813505,31.81330821348638,31.04422946958252,193.04819012170594,187.17708911046606,0.023495484034956327,10.2
4,5,0,55,stall,1.1175901891009573e-07,32.2447364202425,31.798065466659864,31.034858911809238,192.90860974747085,186.83942418590794,0.023487774290609914,10.2
4,5,0,56,stall,1.1161768760557589e-07,32.160286950905004,31.73369546777849,30.97706827038138,192.53310666864996,186.93843316832647,0.02345058705267855,10.2
4,5,0,57,stall,1.114780712701242e-07,32.15920242499237,31.643417806675345,30.944423123141718,192.4530579276542,186.6083971179379,0.02354154180174775,10.2
4,5,0,58,stall,1.1134011976247965e-07,32.07254435113782,31.664039461972493,30.936832104302425,192.42323047645863,186.71065261556387,0.02342523322500234,10.2
4,5,0,59,stall,1.1120378545995088e-07,32.02167178179138,31.604819044858345,30.858383424757108,192.4142293566713,186.40408375350015,0.023501210302590003,10.1
4,5,0,60,stall,1.1106902284945607e-07,32.007922102835096,31.375110836052045,30.85583402158676,192.385150746358,186.54559202125833,0.023283572636968036,10.1
4,5,0,61,stall,1.109357886380639e-07,31.95107922114282,31.36052355114316,30.78924512416137,192.37673776572157,186.4431602626383,0.0233360316225506,10.2
4,5,0,62,stall,1.1080404136720435e-07,31.843675333426802,31.288737838792713,30.729340157080287,192.34839611281572,186.57909066402718,0.023315052191039132,10.1
4,5,0,63,stall,1.1067374154753492e-07,31.855265274195688,31.19187846704108,30.679401741281254,192.34056672330175,186.47333162938372,0.023289916605884198,10.2
4,5,0,64,stall,1.1054485134109156e-07,31.755768220264713,31.096098582338527,30.638548760585138,192.32011318305106,186.60431611263,0.023280223800297827,10.2
4,5,0,65,stall,1.1041733415500017e-07,31.814339769162814,31.097194675282935,30.590224414108746,192.30569478400568,186.49569638608347,0.023357391628897606,10.2
4,5,0,66,stall,1.1029115603604934e-07,31.705904323125367,31.00119577901239,30.594029072609885,192.31132456270544,186.62229245641845,0.02330917906915404,10.2
4,5,0,67,stall,1.101662834051412e-07,31.703103335559035,31.001021717372623,30.523604572703533,192.29464984352984,186.5112099524794,0.023299992739735532,10.2
4,5,0,68,stall,1.1004268440879195e-07,31.637752117745777,30.950870624508298,30.51470372847831,192.30166845915096,186.63390570310418,0.023239204765894764,10.2
4,5,0,69,stall,1.0992032854981673e-07,31.612528858472544,30.941673773554612,30.41659977182576,192.28476356098696,186.52070561775818,0.02324820690521867,10.1
4,5,0,70,stall,1.0979918641584375e-07,31.57597285372482,30.982674722977777,30.380601140237218,192.2912749905379,186.63993263151187,0.023219332418254485,10.2
4,5,0,71,stall,1.0967922988510985e-07,31.521083486863333,30.94825167113413,30.348276783513484,192.2741957014395,186.52490897083285,0.023241057074463445,10.2
4,5,0,72,stall,1.0956043179265788e-07,31.510951156889178,30.919541273590312,30.32832462186974,192.28025960314167,186.6410479876308,0.023177912777477827,10.2
4,5,0,73,stall,1.0944276615061329e-07,31.46997154112796,30.88056514022952,30.287140103919086,192.26465899965672,186.52445196066196,0.023226536917941853,10.2
4,5,0,74,stall,1.0932620781595962e-07,31.503092985062153,30.8436225351727,30.249854876348792,192.26872568515847,186.6378399178146,0.02316490528180004,10.1
4,5,0,75,stall,1.0921073272511022e-07,31.40974019567011,30.76059708939738,30.2553909994856,192.26475022421207,186.51988534707016,0.023219512278363497,10.2
4,5,0,76,stall,1.0909631756104458e-07,31.441662558506778,30.74601257071663,30.23838658221223,192.26207765591562,186.63082104401667,0.023188874046072006,10.2
4,5,0,77,stall,1.0898294000199136e-07,31.34403660701679,30.669088849947457,30.19459668297486,192.26467635446335,186.4974123775525,0.023210934970485653,10.2
4,5,0,78,stall,1.0887057838560286e-07,31.278334166799482,30.612495956802377,30.155512433402976,192.27207963343488,186.62043822823193,0.02313706542167492,10.2
4,5,0,79,stall,1.0875921197222456e-07,31.20839173588763,30.53826852985253,30.10418314911334,192.30811867652022,186.46720825227166,0.02319826436708583,10.2
4,5,0,80,stall,1.0864882060431189e-07,31.086796172488107,30.490093133295204,30.009702542493244,192.09655137896075,186.59052032616756,0.02312587273118477,10.2
4,5,0,81,stall,1.0853938498468531e-07,31.06858325189954,30.431685920547125,29.98978757764803,191.83534312601842,186.43458213682467,0.02317298073917229,10.2
4,5,0,82,stall,1.0843088632861663e-07,31.026313919158,30.434592451712206,29.976290647582005,191.61750994074094,186.55596805047313,0.02312657930824552,10.2
4,5,0,83,stall,1.0832330665857612e-07,30.983039879281193,30.378848377210943,29.95024801053603,191.3627770851348,186.39985839405287,0.02316465662348388,10.2
4,5,0,84,stall,1.0821662844700947e-07,30.962158297676012,30.381643889995757,29.938000513624274,191.1469992148653,186.51950632273613,0.023138137769135314,10.2
4,5,0,85,confirm,1.0819178441274938e-07,30.93580543029617,30.34035278071201,29.86912163393285,191.14515894422934,186.65504260732604,0.023181364442376173,8.1
