N,q,leg,outer,phase,loss,train_endpoint_med_um,val_endpoint_med_um,test_endpoint_med_um,val_endpoint_p95_um,test_endpoint_p95_um,val_slope_med_mrad,wall_s
1,16,0,56,stall,3.735218851753883e-06,237.73654557442114,242.88435971453737,245.4636371582808,2072.5953387780023,1934.0325976204897,0.11421273422056177,14.8
1,16,0,57,stall,3.6985681546168097e-06,231.28585166000448,241.80574806709387,237.3658674726613,2137.0193607980473,2000.5473552784688,0.11306258285948001,15.2
1,16,0,58,stall,3.656013694263871e-06,227.00867789276913,239.16130109853384,229.75946540557857,2141.5856397449584,1932.3746869154504,0.1134926688224347,15.1
1,16,0,59,stall,3.6136494389487108e-06,229.37995790218935,234.58341615673817,229.912997308368,2079.2111378037816,1878.9056461416017,0.11251524544120262,15.3
1,16,0,60,stall,3.5706373463064814e-06,216.74822306084707,224.05599552240574,212.7310170033354,2123.2308348476313,1819.95746309894,0.11164294769189231,15.2
1,16,0,61,stall,3.5351101191082714e-06,212.98769223078295,223.48893296128836,208.81676661650062,2105.395006302823,1843.8896801042863,0.10952135813622338,15.6
1,16,0,62,stall,3.5055429851773303e-06,209.09394077243348,216.82569808990593,203.98161121227076,2179.9875960686786,1823.7256601919187,0.10710321270278322,15.0
1,16,0,63,stall,3.4692240497898574e-06,212.21193880560918,222.51534059955702,205.67515229289768,2158.8786882058666,1823.8179977687405,0.10533611657107672,15.4
1,16,0,64,stall,3.4305839914757736e-06,206.0369968866098,215.71186802145803,203.10035382993874,2213.0488896331667,1780.5143444164294,0.10484451234264724,15.7
1,16,0,65,stall,3.3941202811899556e-06,208.96576611893636,216.26142103571055,199.7838254331228,2184.9823468265226,1786.3003320085154,0.10529484893667673,15.0
1,16,0,66,stall,3.3594447210328474e-06,212.17029371634055,214.6513702502375,201.33928350892916,2197.3979131507795,1749.125887836333,0.10798680423051987,15.4
1,16,0,67,stall,3.342563724052108e-06,214.9733926477495,217.61442523325059,209.6546061287512,2192.0494622323417,1775.9217806154168,0.10687944844400832,16.0
1,16,0,68,stall,3.3414120143430027e-06,214.6404654554317,217.58436106756562,211.00230165986034,2193.861711951001,1776.2295912041473,0.10640031213149381,15.4
1,16,0,69,stall,3.3405940105248486e-06,214.25009793549066,216.69250776727722,211.80387646940346,2195.7141302419354,1775.7342091320666,0.10634441688384816,15.5
1,16,0,70,confirm,3.3403871957220236e-06,214.6151935278411,216.37990497626447,211.80132353003955,2196.3967422257374,1776.5967943734531,0.10624555041843092,14.1
1,16,0,71,confirm,3.3402196123342957e-06,214.60136180384382,216.1576315341165,211.7791424812765,2196.737299873529,1776.7449000447762,0.10622299438541039,14.2
4,5,0,0,stall,3.91559295265758e-06,338.93454506691967,348.638633085244,343.3771776969046,1115.2038247556304,983.6121826409989,0.12776270741113663,8.7
4,5,0,1,stall,9.960910904766546e-07,131.36552852745353,134.7569209449908,137.6517360835905,508.7376696391855,492.41924882916027,0.07587711073707426,9.1
4,5,0,2,stall,5.068204892905062e-07,78.57747981102392,78.94345643987322,82.20421715383708,391.5227659016578,385.3231178570542,0.05084726529651709,9.4
4,5,0,3,stall,3.0563088680094467e-07,65.65675254815062,65.6425924626376,65.7183589954542,323.36833240207164,326.87010820276294,0.039206398014617755,9.7
4,5,0,4,stall,2.1123370218964184e-07,49.527665026559475,50.1522641335157,51.77898821246707,280.9391020442545,278.2944104121448,0.03176167729476709,9.8
4,5,0,5,stall,1.534071860392716e-07,38.83399907874008,38.35030602185441,37.947317988386686,229.8887888345273,227.34189317874612,0.02684356016630085,9.9
4,5,0,6,stall,1.2603765750315153e-07,36.415035930325246,35.93719086637748,35.825305810821106,205.40661491197898,198.04645940245044,0.024071475468710052,10.7
4,5,0,7,stall,1.2471796459280558e-07,36.33087140368474,35.6742444124265,35.383902507195586,206.2023548013313,197.09380350733676,0.02393741370324519,10.2
4,5,0,8,stall,1.238362920834219e-07,36.12898754778371,35.56330544853381,35.34904272200379,208.05190995471645,196.03917659678848,0.02400894785906972,10.2
