N,q,split,comparator,component,unit,med,p95,mean,bias,qop_max_abs_change,qop_passthrough_max_abs_change
64,18,val,vs_real_scifi_state,ty,mrad,0.27680098275370546,2.1624158891255276,0.6684609839273424,0.002357893022256515,0.0,0.0
64,18,val,straight_line_vs_rk6_endpoint,x,um,452941.9385569637,1271615.6766418347,550215.9132434177,41618.78322767855,0.0,0.0
64,18,val,straight_line_vs_rk6_endpoint,y,um,939.8698722209815,26843.640905457592,5421.254429651422,-244.2714338410775,0.0,0.0
64,18,val,straight_line_vs_rk6_endpoint,tx,mrad,171.65128524149225,507.04651578564443,212.97744119602592,16.152241795459236,0.0,0.0
64,18,val,straight_line_vs_rk6_endpoint,ty,mrad,0.31992626243849964,14.429391014288012,2.497643817836807,0.038032989776136804,0.0,0.0
64,18,val,rk6_truth_vs_real_scifi_state,x,um,1372.6751053558246,12368.517364561547,3696.747692734388,-47.58627783002851,0.0,0.0
64,18,val,rk6_truth_vs_real_scifi_state,y,um,767.5951085464021,5835.671284375892,1918.4556712124586,-66.28849554554735,0.0,0.0
64,18,val,rk6_truth_vs_real_scifi_state,tx,mrad,0.3944228909283365,4.877535585362279,1.2899261902975303,-0.010919015564202064,0.0,0.0
64,18,val,rk6_truth_vs_real_scifi_state,ty,mrad,0.2241700032497712,1.5462122120480999,0.5447264670301872,0.025675432691703217,0.0,0.0
64,18,test,vs_rk6_endpoint,x,um,2458.5916655422225,9808.697210007671,3320.9902850038657,-306.74906843759413,0.0,0.0
64,18,test,vs_rk6_endpoint,y,um,472.9872252213561,3298.5471214887916,930.3047898922008,-467.8505438617986,0.0,0.0
64,18,test,vs_rk6_endpoint,tx,mrad,1.3037247043370115,5.126787882761533,1.7091873681791656,-0.039671187420469205,0.0,0.0
64,18,test,vs_rk6_endpoint,ty,mrad,0.09391089086559397,1.0157660432018754,0.26409577178523064,0.0027403297389818424,0.0,0.0
64,18,test,vs_real_scifi_state,x,um,3330.631622374881,16636.825388246332,5136.75743811382,-345.7761328004187,0.0,0.0
64,18,test,vs_real_scifi_state,y,um,1003.9791819282016,5979.130673718448,1849.3208693702513,-374.30326800041905,0.0,0.0
64,18,test,vs_real_scifi_state,tx,mrad,1.490183500940434,6.722639582621991,2.2680012380868693,-0.04839414047104657,0.0,0.0
64,18,test,vs_real_scifi_state,ty,mrad,0.278995819096994,2.0323311047483124,0.5487578274377896,0.04934215128744022,0.0,0.0
64,18,test,straight_line_vs_rk6_endpoint,x,um,450541.20897316607,1251923.9406943007,531992.5955562802,9884.314569471735,0.0,0.0
64,18,test,straight_line_vs_rk6_endpoint,y,um,893.211049591855,24433.496090929446,4831.48761598312,108.52751943555974,0.0,0.0
64,18,test,straight_line_vs_rk6_endpoint,tx,mrad,171.8266523561743,490.8245439316273,205.66065297521143,3.646110771404555,0.0,0.0
64,18,test,straight_line_vs_rk6_endpoint,ty,mrad,0.3084377832926598,11.172864866383968,2.2205866819141415,-0.061154129595571156,0.0,0.0
