network,mode,seed,width,depth,converged,particle,n_legs,step,cum_dz_mm,p_GeV,end_err_um,slope_err_mrad
w100_data_s0,data,0,100,4,True,617,4,1,148.71800000000002,5.380112648010254,565.5223838335104,0.11445705466467393
w100_data_s0,data,0,100,4,True,617,4,2,173.71800000000002,5.380112648010254,662.1015386377956,0.06236872972591179
w100_data_s0,data,0,100,4,True,617,4,3,198.71800000000002,5.380112648010254,750.3063864072654,0.07203556268928907
w100_data_s0,data,0,100,4,True,629,4,0,50.0,6.891643047332764,85.89707682714298,0.05831211988331468
w100_data_s0,data,0,100,4,True,629,4,1,1678.795,6.891643047332764,657.2949431927314,0.1292162066739884
w100_data_s0,data,0,100,4,True,629,4,2,1733.795,6.891643047332764,346.2245642953121,0.25098938822252537
w100_data_s0,data,0,100,4,True,629,4,3,1958.795,6.891643047332764,510.53573827508814,0.18477266363267977
w100_data_s0,data,0,100,4,True,730,4,0,70.21000000000004,1.3225312232971191,941.0300288318467,0.3512466399875347
w100_data_s0,data,0,100,4,True,730,4,1,140.02100000000064,1.3225312232971191,1760.2907476934888,0.6518261371358871
w100_data_s0,data,0,100,4,True,730,4,2,612.2800000000007,1.3225312232971191,3138.491175699869,3.015129210910246
w100_data_s0,data,0,100,4,True,730,4,3,682.0889999999999,1.3225312232971191,3225.6199563300356,2.9892256991812456
w100_data_s0,data,0,100,4,True,748,4,0,24.99999999999997,12.29899787902832,55.21184677201951,0.050638803964428436
w100_data_s0,data,0,100,4,True,748,4,1,49.99999999999997,12.29899787902832,103.67068910165767,0.0981080559885536
w100_data_s0,data,0,100,4,True,748,4,2,74.99999999999997,12.29899787902832,163.24067458015003,0.14254173923171354
w100_data_s0,data,0,100,4,True,748,4,3,150.0,12.29899787902832,293.55503408288007,0.1988719086998339
w100_data_s0,data,0,100,4,True,801,4,0,25.000000000000007,1.9107964038848877,105.49243523245266,0.21080984255292257
w100_data_s0,data,0,100,4,True,801,4,1,2256.205,1.9107964038848877,2383.3833874120387,3.0787877234179084
w100_data_s0,data,0,100,4,True,801,4,2,2311.205,1.9107964038848877,592.2209415853104,2.7491307098553577
w100_data_s0,data,0,100,4,True,801,4,3,2557.513,1.9107964038848877,1007.3193734829715,4.455030586541994
w100_data_s0,data,0,100,4,True,879,4,0,69.80699999999979,3.069265604019165,184.65193188185935,0.40198110705819134
w100_data_s0,data,0,100,4,True,879,4,1,1297.081000000001,3.069265604019165,4242.412088398169,3.150347474107862
w100_data_s0,data,0,100,4,True,879,4,2,1367.129,3.069265604019165,4277.608063543511,3.274712266225277
w100_data_s0,data,0,100,4,True,879,4,3,1436.9350000000004,3.069265604019165,4342.8539958182455,3.4109738888394583
w100_data_s0,data,0,100,4,True,883,4,0,25.0,21.365854263305664,83.08192671423953,0.04391316995729436
w100_data_s0,data,0,100,4,True,883,4,1,50.0,21.365854263305664,160.10305596441742,0.08514414696257633
w100_data_s0,data,0,100,4,True,883,4,2,500.0,21.365854263305664,1498.7374776586914,0.13610521173064785
w100_data_s0,data,0,100,4,True,883,4,3,548.7180000000001,21.365854263305664,1413.2720429092628,0.1295893813996543
w100_data_s0,data,0,100,4,True,894,4,0,70.19599999999991,9.722777366638184,229.7771885424993,0.10432644795113633
w100_data_s0,data,0,100,4,True,894,4,1,139.99099999999999,9.722777366638184,462.88896011330394,0.1974435324629542
w100_data_s0,data,0,100,4,True,894,4,2,612.1579999999994,9.722777366638184,660.770117301098,0.14775232961430906
w100_data_s0,data,0,100,4,True,894,4,3,681.9539999999997,9.722777366638184,846.5902941280774,0.20911133982318142
w100_data_s0,data,0,100,4,True,914,4,0,73.718,2.072748899459839,104.25088333798804,0.18643196138738716
w100_data_s0,data,0,100,4,True,914,4,1,148.71800000000002,2.072748899459839,142.2583961379793,0.3449119841681808
