network,mode,seed,width,depth,converged,split,step,n,end_med_um,end_p95_um,slope_med_mrad,cum_dz_med_mm
w100_physics_s5,physics,5,100,4,True,test,0,4563,244.54361525608448,4720.071421346943,0.19623415991216336,69.21399999999994
w100_physics_s5,physics,5,100,4,True,test,1,4563,759.1277492695383,10828.874416626344,0.5577636589275542,335.087
w100_physics_s5,physics,5,100,4,True,test,2,4563,1345.5618999296348,26711.181503368254,0.8873391212925186,752.393
w100_physics_s5,physics,5,100,4,True,test,3,4563,2102.039241359023,38197.434901341905,1.203014711576994,1994.9869999999999
w100_physics_s5,physics,5,100,4,True,test,4,2914,4364.790291748346,62212.99568537758,1.8713267123548691,6269.4015
w100_physics_s5,physics,5,100,4,True,test,5,1481,7814.295557683636,105070.0271604178,2.808512158427354,7783.540000000001
w100_physics_s5,physics,5,100,4,True,test,6,853,8515.669907971414,104991.1385344031,2.7423904878759178,8330.801
w100_physics_s6,physics,6,100,4,True,val,0,4551,271.24633469307446,4209.626728917215,0.1974369541892923,55.0
w100_physics_s6,physics,6,100,4,True,val,1,4551,825.6197148394904,11683.427260456327,0.5363430554429912,373.71799999999996
w100_physics_s6,physics,6,100,4,True,val,2,4551,1371.264524147634,24012.014021197698,0.8638596445223017,821.8929999999991
w100_physics_s6,physics,6,100,4,True,val,3,4551,2086.279506049607,32106.567355196974,1.275813114636643,2099.987
w100_physics_s6,physics,6,100,4,True,val,4,2932,4253.981830069698,64476.764435202516,1.8654802026271209,6281.1775
w100_physics_s6,physics,6,100,4,True,val,5,1524,7428.963359530594,95883.68148635906,2.9965368912300567,7759.312
w100_physics_s6,physics,6,100,4,True,val,6,856,8526.899381641557,98832.69001555408,3.1605052155335156,8181.928
w100_physics_s6,physics,6,100,4,True,test,0,4563,271.4248904098788,4176.774506977153,0.1892638598752494,69.21399999999994
w100_physics_s6,physics,6,100,4,True,test,1,4563,789.7528474401234,10727.279112016815,0.5245183376073881,335.087
w100_physics_s6,physics,6,100,4,True,test,2,4563,1320.6238354278667,22237.332840156163,0.8582098705087783,752.393
w100_physics_s6,physics,6,100,4,True,test,3,4563,1975.013405397931,31607.013025921526,1.2443155345105479,1994.9869999999999
w100_physics_s6,physics,6,100,4,True,test,4,2914,4028.569987939349,57559.56089148706,1.8062669761000454,6269.4015
w100_physics_s6,physics,6,100,4,True,test,5,1481,6912.941315263581,109569.70300418243,2.967155360182716,7783.540000000001
