arm,network,mode,seed,width,depth,converged,particle,n_legs,step,cum_dz_mm,p_GeV,end_err_um,slope_err_mrad
residual,residual_w100_data_s0,data,0,100,4,True,894,4,2,612.1579999999994,9.722777366638184,1.000501597843595,0.004859718241961852
residual,residual_w100_data_s0,data,0,100,4,True,894,4,3,681.9539999999997,9.722777366638184,1.3460125487938512,0.004997204789147086
residual,residual_w100_data_s0,data,0,100,4,True,914,4,0,73.718,2.072748899459839,0.0041676395632350705,0.00011997062257518287
residual,residual_w100_data_s0,data,0,100,4,True,914,4,1,148.71800000000002,2.072748899459839,0.02040057883156976,0.00028742601131115375
residual,residual_w100_data_s0,data,0,100,4,True,914,4,2,173.71800000000002,2.072748899459839,0.02873821183158043,0.00042719585768846713
residual,residual_w100_data_s0,data,0,100,4,True,914,4,3,198.71800000000002,2.072748899459839,0.04045472699498731,0.0005701620496151305
residual,residual_w100_data_s0,data,0,100,4,True,949,4,0,544.9849999999988,38.061973571777344,2.515026550526045,0.007507198037333407
residual,residual_w100_data_s0,data,0,100,4,True,949,4,1,614.7829999999994,38.061973571777344,3.0418334294211036,0.0075205824269439225
residual,residual_w100_data_s0,data,0,100,4,True,949,4,2,684.982,38.061973571777344,3.572067721364647,0.0075355461490941855
residual,residual_w100_data_s0,data,0,100,4,True,949,4,3,754.7789999999986,38.061973571777344,4.099890505216308,0.00755119772400531
residual,residual_w100_data_s0,data,0,100,4,True,981,4,0,25.00000000000003,7.6474928855896,0.0003803229269294661,2.1770743448561343e-06
residual,residual_w100_data_s0,data,0,100,4,True,981,4,1,38.78200000000001,7.6474928855896,0.003915009212152043,4.288259404202407e-06
residual,residual_w100_data_s0,data,0,100,4,True,981,4,2,50.00000000000003,7.6474928855896,0.006156358839382037,5.611142781859237e-06
residual,residual_w100_data_s0,data,0,100,4,True,981,4,3,63.78200000000001,7.6474928855896,0.009302876807781857,8.572459742062222e-06
residual,residual_w100_data_s0,data,0,100,4,True,996,4,0,472.21800000000076,10.305054664611816,2.787281492146576,0.008636605783055029
residual,residual_w100_data_s0,data,0,100,4,True,996,4,1,542.0210000000006,10.305054664611816,2.4599826277127423,0.0076472979371050576
residual,residual_w100_data_s0,data,0,100,4,True,996,4,2,612.2240000000002,10.305054664611816,2.6516131147792388,0.006633125576624432
residual,residual_w100_data_s0,data,0,100,4,True,996,4,3,1157.2450000000008,10.305054664611816,6.253730338707797,0.006340795382928435
residual,residual_w100_data_s0,data,0,100,4,True,1042,4,0,100.0,24.907581329345703,0.008727231684435566,4.2310711198534356e-05
residual,residual_w100_data_s0,data,0,100,4,True,1042,4,1,199.99999999999994,24.907581329345703,0.00920510613999781,5.92172497287935e-05
residual,residual_w100_data_s0,data,0,100,4,True,1042,4,2,211.21800000000002,24.907581329345703,0.019470978743774126,6.140359774808868e-05
residual,residual_w100_data_s0,data,0,100,4,True,1042,4,3,249.99999999999994,24.907581329345703,0.01403598916027704,8.236039766851277e-05
residual,residual_w100_data_s0,data,0,100,4,True,1055,4,0,70.20600000000013,1.4375425577163696,0.08842080495696791,0.00316557086338376
residual,residual_w100_data_s0,data,0,100,4,True,1055,4,1,685.0609999999997,1.4375425577163696,12.552475123072782,0.061488744488413793
residual,residual_w100_data_s0,data,0,100,4,True,1055,4,2,755.268,1.4375425577163696,9.651688267794611,0.060342764057391696
residual,residual_w100_data_s0,data,0,100,4,True,1055,4,3,824.527,1.4375425577163696,11.410360134874509,0.0593875106244951
residual,residual_w100_data_s0,data,0,100,4,True,1074,4,0,25.0,1.2629958391189575,0.0019340728698580278,5.3969968313860583e-05
residual,residual_w100_data_s0,data,0,100,4,True,1074,4,1,2231.205,1.2629958391189575,430.92089788649446,0.5669068007657374
residual,residual_w100_data_s0,data,0,100,4,True,1074,4,2,2286.205,1.2629958391189575,461.9339522162704,0.5614640083525524
residual,residual_w100_data_s0,data,0,100,4,True,1074,4,3,2511.205,1.2629958391189575,589.6633026289351,0.6290269230488366
