restart,round,in_round,phase,loss_before,loss_after,gain,factor,factor_renewed,n_iter,func_evals,early_stop,wall_s
310,13,10,train,1.177379102791962e-09,1.1129370664715997e-09,0.054733463646117544,242096977.38952667,0,200,214,0,80.47
311,13,11,train,1.1129370664715997e-09,1.053711444657674e-09,0.05321560724155923,242096977.38952667,0,200,221,0,81.99
312,13,12,train,1.053711444657674e-09,1.0028357018043898e-09,0.048282424103130585,242096977.38952667,0,200,222,0,84.23
313,13,13,train,1.0028357018043898e-09,9.598532699352392e-10,0.042860891162742575,242096977.38952667,0,200,219,0,88.31
314,13,14,train,9.598532699352392e-10,9.193687210493599e-10,0.042177851713325776,242096977.38952667,0,200,212,0,84.33
315,13,15,train,9.193687210493599e-10,8.855502686136078e-10,0.036784427903041914,242096977.38952667,0,200,215,0,85.6
316,13,16,train,8.855502686136078e-10,8.504391352405403e-10,0.03964894441061662,242096977.38952667,0,200,218,0,87.26
317,13,17,train,8.504391352405403e-10,8.207654333485911e-10,0.0348922111675355,242096977.38952667,0,200,223,0,88.55
318,13,18,train,8.207654333485911e-10,7.911848585772831e-10,0.036040229728759324,242096977.38952667,0,200,216,0,85.45
319,13,19,train,7.911848585772831e-10,7.633014336563024e-10,0.03524261696706508,242096977.38952667,0,200,217,0,81.3
320,13,20,train,7.633014336563024e-10,7.403795434303219e-10,0.030029932101898405,242096977.38952667,0,200,221,0,83.11
321,13,21,train,7.403795434303219e-10,7.199417580730822e-10,0.02760447062400925,242096977.38952667,0,200,216,0,81.38
322,13,22,train,7.199417580730822e-10,7.007282547523903e-10,0.02668758007886178,242096977.38952667,0,200,221,0,83.58
323,13,23,train,7.007282547523903e-10,6.791104607645157e-10,0.030850467126537478,242096977.38952667,0,200,213,0,80.93
324,13,24,train,6.791104607645157e-10,6.602451532644312e-10,0.027779438824792436,242096977.38952667,0,200,214,0,81.62
325,14,0,train,2.4027893098252524e-08,3.5886453445508317e-09,0.850646690915575,41618297.364271484,1,200,213,0,80.81
326,14,1,train,3.5886453445508317e-09,2.580564836896768e-09,0.28090836816315123,41618297.364271484,0,200,207,0,79.06
327,14,2,train,2.580564836896768e-09,2.0806529144038804e-09,0.19372189969621206,41618297.364271484,0,200,209,0,80.01
