leg,q,p_GeV,dz_mm,converged,n_evals,residual,err_x_mm,err_y_mm,err_tx,err_ty,wall_s
A,8,30.44393539428711,-298.4199905395508,1,75,1.297323602948567e-15,6.979474453244761e-07,1.7338009408729427e-07,6.721954878895035e-09,1.0041751909162233e-09,0.029305696487426758
A,8,4.036323547363281,-8592.99785232544,1,47,2.842170943040401e-14,3.8223003884459104,0.2467014408743644,0.00032334195749317285,7.327924279798082e-05,0.01851654052734375
A,8,4.9447922706604,-29.954798698425293,1,39,2.7671719353850738e-14,7.0463634926909435e-12,1.0103709535691507e-11,2.3036572649459686e-12,3.3096407558996788e-12,0.015124320983886719
A,8,1.874666690826416,-38.47639846801758,1,39,1.5971017978716646e-14,3.809286219791375e-12,2.8282487463116013e-11,1.3886114480499145e-13,1.6682211168017602e-12,0.015248775482177734
A,8,5.519657135009766,-2288.9615364074707,1,46,7.105427357601002e-15,0.00841363157297792,0.0006055883665547768,3.0726902988317817e-06,5.840821226989201e-07,0.017908811569213867
A,8,3.3514626026153564,-48.355200588703156,1,39,1.2997985273413256e-14,4.440892098500626e-16,5.551115123125783e-16,0.0,2.7755575615628914e-17,0.015213251113891602
A,8,9.218462944030762,-2299.312364578247,1,40,5.684341886080802e-14,0.0037426739429804456,0.0001502432663023079,1.668772551866038e-06,1.8694262866880695e-08,0.015594959259033203
A,8,23.26853370666504,-284.03039169311523,1,76,1.6805133673525319e-15,7.444257531519227e-07,1.2972191398841204e-07,4.5439660159574125e-09,5.318765081141485e-10,0.029683828353881836
A,8,2.2048487663269043,-9166.832578659058,1,47,4.547473508864641e-13,11.27795645575452,3.4474262444647366,0.004411194688955233,0.0006099656984867446,0.018519163131713867
A,8,18.49923324584961,-647.6951904296875,1,80,1.604672485709995e-15,2.0400536357767507e-05,2.236329146441951e-06,4.9294408638322906e-08,9.382204065738753e-09,0.03133344650268555
A,8,2.3891072273254395,-7862.165752410889,1,47,2.2737367544323206e-13,0.6081472502117435,0.1111813606281089,0.0007988793560425866,9.716465441268751e-06,0.01850605010986328
