width,depth,arch,mode,q,stratum,direction,split,median_um,min_um,max_um,p95_um,slope_mrad,rho,straight_um,n_rows,n_seeds,n_confirmed,pending,abs_dz_mm,n_parameters,multiply_adds
128,4,4x128,physics,2,0.5-2 mm,all,val,0.0025599730832936984,0.001110134178361477,0.003064674416464186,0.022311575355615787,0.023812847834512457,7.0397494440507536e-15,0.013709354546698194,2000,3,3,False,1.003832351083143,52108,51584
128,4,4x128,physics,2,0.5-2 mm,backward,test,0.002389455474371971,0.0011403102408991117,0.0031010056069646907,0.022179988491188827,0.02461601242518402,6.162210236431673e-15,0.013845175832472023,1000,3,3,False,1.003832351083143,52108,51584
128,4,4x128,physics,2,0.5-2 mm,backward,val,0.002745592603048408,0.0011343979373634738,0.0031316664745872913,0.02094215260939336,0.02493047066403839,7.588709277744698e-15,0.01395275811333363,986,3,3,False,1.003832351083143,52108,51584
128,4,4x128,physics,2,0.5-2 mm,forward,test,0.002460945374593848,0.0011463090991981062,0.0031312916348724684,0.02119275502820982,0.02464446108663143,6.505373960768361e-15,0.014008352798633439,1000,3,3,False,1.003832351083143,52108,51584
128,4,4x128,physics,2,0.5-2 mm,forward,val,0.0023235898254370113,0.0010635191358687734,0.0029314298224392132,0.023011023262142768,0.022581340334705546,5.731458517481223e-15,0.013378662334417868,1014,3,3,False,1.003832351083143,52108,51584
128,4,4x128,physics,2,5-20 mm,all,test,0.2568823178137336,0.11889065072523408,0.3319675399637845,2.0250209620796156,0.18816568758705382,1.4203310542715935e-12,1.4150646893398289,2000,3,3,False,10.136170737420233,52108,51584
128,4,4x128,physics,2,5-20 mm,all,val,0.24979309236528024,0.110226005709535,0.30602362015752504,1.9625749440379536,0.1774467220729027,1.2487332686445593e-12,1.3815279362461297,2000,3,3,False,10.136170737420233,52108,51584
128,4,4x128,physics,2,5-20 mm,backward,test,0.29008295263110995,0.12269026750999501,0.37801792899472275,2.388107747844259,0.19496456164683554,1.821872591286722e-12,1.3915581564276636,1006,3,3,False,10.136170737420233,52108,51584
128,4,4x128,physics,2,5-20 mm,backward,val,0.2794936370630885,0.10958020871498775,0.34029418912240317,2.278470381037323,0.18288532063941326,1.5321810802591532e-12,1.4107756143744155,970,3,3,False,10.136170737420233,52108,51584
128,4,4x128,physics,2,5-20 mm,forward,test,0.23486487511092946,0.11384860184193712,0.29883642223893503,1.5204442269123317,0.18390740402668762,1.1774497876436627e-12,1.4635983336042102,994,3,3,False,10.136170737420233,52108,51584
128,4,4x128,physics,2,5-20 mm,forward,val,0.22827676076531134,0.11073328622757117,0.27175113426736175,1.40461219770458,0.16812352934816865,1.0143673612229613e-12,1.3562850019077644,1030,3,3,False,10.136170737420233,52108,51584
128,4,4x128,physics,2,50-200 mm,all,test,11.176651706751528,10.749437012556484,22.323657963170263,93.11301038700604,0.137621518101175,1.605192253208695e-09,141.05070694597543,2000,3,3,False,99.77469039436093,52108,51584
128,4,4x128,physics,2,50-200 mm,all,val,10.180987837209443,10.113368375655796,21.339690547545587,93.0998260343699,0.13936272900991198,1.502013027984009e-09,129.96536147640825,2000,3,3,False,99.77469039436093,52108,51584
128,4,4x128,physics,2,50-200 mm,backward,test,13.131012484990379,11.485189767206805,37.28538116899571,111.38046008112488,0.1451889273267716,2.0535860644918546e-09,140.25341367157296,1032,3,3,False,99.77469039436093,52108,51584
128,4,4x128,physics,2,50-200 mm,backward,val,14.403468374183603,11.108322460636089,36.233454703392454,107.29417154180965,0.15175621096374936,2.6898745488630185e-09,134.8384062812329,1011,3,3,False,99.77469039436093,52108,51584
128,4,4x128,physics,2,50-200 mm,forward,test,10.883050458602384,9.460322361251494,12.40863179769569,85.07123711512742,0.1301814117540146,1.4601612926235086e-09,143.455285236044,968,3,3,False,99.77469039436093,52108,51584
128,4,4x128,physics,2,50-200 mm,forward,val,9.193144646701512,7.303955291888542,10.622844493923367,84.44728480517915,0.12785938400035335,1.1910215745359134e-09,124.33531501326911,989,3,3,False,99.77469039436093,52108,51584
128,4,4x128,physics,2,500-2000 mm,all,test,352.979842536854,316.07466308086885,376.0973241654426,3073.923769634366,0.35012667195176256,1.6424665591912667e-06,15985.931709538963,2000,3,3,False,998.7157698222834,52108,51584
128,4,4x128,physics,2,500-2000 mm,all,val,347.896206972365,335.8826568831148,351.9719342346477,3147.8304040199305,0.35543774670728556,1.4395676074456853e-06,15408.515420144415,2000,3,3,False,998.7157698222834,52108,51584
128,4,4x128,physics,2,500-2000 mm,backward,test,378.61951344825013,322.4165040744271,439.2542331325231,2769.93109187156,0.32213319947241303,2.0268739999743067e-06,15658.961022059259,1012,3,3,False,998.7157698222834,52108,51584
128,4,4x128,physics,2,500-2000 mm,backward,val,361.3319159737216,336.222472404188,414.813143447077,2956.783002375012,0.32887689802428566,1.6667603854164796e-06,14492.363104850454,1025,3,3,False,998.7157698222834,52108,51584
128,4,4x128,physics,2,500-2000 mm,forward,test,303.12927300377623,278.3709800057501,362.60293880968675,3436.905225625674,0.38527135720805433,1.5217013013052907e-06,16359.267616175515,988,3,3,False,998.7157698222834,52108,51584
128,4,4x128,physics,2,500-2000 mm,forward,val,333.9506597926345,270.24259360465663,345.5791380667961,3499.257903523323,0.39137255390286896,1.3441928907661422e-06,16137.757478396765,975,3,3,False,998.7157698222834,52108,51584
128,4,4x128,physics,2,all,all,test,1.6568180648253161,1.2169440890623662,2.5893676487001027,22436.34956184601,0.12920942036078256,3.837768596105758e-11,12.07131072872647,12000,3,3,False,nan,52108,51584
128,4,4x128,physics,2,all,all,val,1.5776615351796863,1.2056765230248345,2.40073658549278,21395.852589642112,0.12681160741272265,3.261368091329655e-11,11.660928643891566,12000,3,3,False,nan,52108,51584
128,4,4x128,physics,2,all,backward,test,2.2873122490238984,1.369139633438099,3.392685016734731,36470.777868153506,0.13152374550545395,5.435496993071668e-11,13.706558166376226,6032,3,3,False,nan,52108,51584
128,4,4x128,physics,2,all,backward,val,2.3048109173586795,1.5772661123669707,4.1054274013845315,36067.66865539104,0.12979673031380917,7.413987484036307e-11,16.376053191527795,6016,3,3,False,nan,52108,51584
128,4,4x128,physics,2,all,forward,test,1.1669547824935123,0.9749190107370964,2.0026605971010802,7517.197998139112,0.12618003408077644,2.1421093810729896e-11,10.075976668844078,5968,3,3,False,nan,52108,51584
128,4,4x128,physics,2,all,forward,val,1.1099468586053263,0.9339593711601424,1.8199909430620664,7060.2199875042215,0.12380773751384348,1.749046592109996e-11,9.735130103429412,5984,3,3,False,nan,52108,51584
128,4,4x128,physics,2,full crossing,all,test,9722.852587308254,9281.740847599849,9783.92323954759,57146.90755428569,3.9784493260166673,0.0010857041187568909,456075.1746171858,2000,3,3,False,5175.042236328125,52108,51584
128,4,4x128,physics,2,full crossing,all,val,9588.949414621926,9144.680061769432,9625.833434708597,56579.71217895919,3.6914285250669363,0.0011598638024842532,418003.17999508075,2000,3,3,False,5175.042236328125,52108,51584
128,4,4x128,physics,2,full crossing,backward,test,25385.848794838792,25315.868851502597,25575.760970326086,65180.68666227914,3.9751353343168843,0.02386187356295814,449115.8207340198,999,3,3,False,5175.042236328125,52108,51584
128,4,4x128,physics,2,full crossing,backward,val,23869.439004228996,23614.500109813955,24171.141090280566,64036.46640632633,3.622376007870385,0.02403288011744645,412962.7382011377,1007,3,3,False,5175.042236328125,52108,51584
128,4,4x128,physics,2,full crossing,forward,test,5133.897502338073,4822.502449250947,5282.009455352409,19528.581685018937,4.003882454649221,6.590301590874914e-05,461912.954381598,1001,3,3,False,5175.042236328125,52108,51584
128,4,4x128,physics,2,full crossing,forward,val,4884.869683751958,4704.392270749167,5143.796298207295,22046.528325890104,3.810548666025176,6.533899820482886e-05,422725.11157961754,993,3,3,False,5175.042236328125,52108,51584
128,4,4x128,physics,4,0.05-0.2 mm,all,test,1.232382373927976e-05,5.83990100722076e-06,4.432718014868442e-05,0.0001238275727288851,0.0025254382853001633,6.514551023992877e-17,0.0001305794636863311,2000,3,3,False,0.10055355399594301,53140,52608
128,4,4x128,physics,4,0.05-0.2 mm,all,val,1.3161780998416361e-05,5.8943356862073415e-06,4.740441283956898e-05,0.00013757528449787052,0.002379335821919371,6.01775361777062e-17,0.00013977896173855697,2000,3,3,False,0.10055355399594301,53140,52608
128,4,4x128,physics,4,0.05-0.2 mm,backward,test,1.196345777998431e-05,5.905576472287066e-06,4.315677415434038e-05,0.0001272095744297985,0.0024132032855200825,6.288525725787463e-17,0.00013178674862501794,983,3,3,False,0.10055355399594301,53140,52608
128,4,4x128,physics,4,0.05-0.2 mm,backward,val,1.3143395705128569e-05,5.959748250461416e-06,4.870970826686971e-05,0.00013757876331510474,0.002333903860785025,5.678257613233799e-17,0.0001464744912027527,1017,3,3,False,0.10055355399594301,53140,52608
128,4,4x128,physics,4,0.05-0.2 mm,forward,test,1.2568051488415222e-05,5.744193565249134e-06,4.5225874600873794e-05,0.00011751601505238794,0.002472815937994144,7.022964196684565e-17,0.0001273499492526753,1017,3,3,False,0.10055355399594301,53140,52608
128,4,4x128,physics,4,0.05-0.2 mm,forward,val,1.3185001535021001e-05,5.839446259869874e-06,4.495552730077179e-05,0.0001373781060465262,0.002406826630746428,6.054954755630618e-17,0.00013516631724996842,983,3,3,False,0.10055355399594301,53140,52608
128,4,4x128,physics,4,0.5-2 mm,all,test,0.001306731164163466,0.0005935261242484557,0.004645360455413083,0.01296422390097973,0.024245231421681293,6.200160925600428e-15,0.013896570703053612,2000,3,3,False,1.003832351083143,53140,52608
128,4,4x128,physics,4,0.5-2 mm,all,val,0.0012809806122504597,0.0005651732273292964,0.004591393150121803,0.013952152575313896,0.0223121677915758,6.4967822416267316e-15,0.013709354546698194,2000,3,3,False,1.003832351083143,53140,52608
128,4,4x128,physics,4,0.5-2 mm,backward,test,0.0012283100119248047,0.0005625136871856284,0.004591910531814847,0.013458314718661763,0.02260956640264683,5.9122237219678725e-15,0.013845175832472023,1000,3,3,False,1.003832351083143,53140,52608
128,4,4x128,physics,4,0.5-2 mm,backward,val,0.0013469928603626613,0.0005679870156427569,0.004688876423131205,0.012877092530061418,0.02277186735991782,6.5126109997960145e-15,0.01395275811333363,986,3,3,False,1.003832351083143,53140,52608
128,4,4x128,physics,4,0.5-2 mm,forward,test,0.0013480261884524225,0.0006267931738079824,0.004718021676453077,0.012891726368025045,0.024300735446745707,7.370730427572647e-15,0.014008352798633439,1000,3,3,False,1.003832351083143,53140,52608
128,4,4x128,physics,4,0.5-2 mm,forward,val,0.0011847564564959612,0.0005570069072646788,0.004449469340528367,0.01453510755879958,0.02136498129323705,5.630719623353871e-15,0.013378662334417868,1014,3,3,False,1.003832351083143,53140,52608
128,4,4x128,physics,4,5-20 mm,all,test,0.13596197014598133,0.059230276647781466,0.46671386505181545,1.2363768345693409,0.18433252625742277,7.622436298379527e-13,1.4150646893398289,2000,3,3,False,10.136170737420233,53140,52608
128,4,4x128,physics,4,5-20 mm,all,val,0.12339729221366724,0.054291335402467666,0.4666955002825546,1.3217241132647215,0.17375745063142808,7.196061613751162e-13,1.3815279362461297,2000,3,3,False,10.136170737420233,53140,52608
128,4,4x128,physics,4,5-20 mm,backward,test,0.13782079779289802,0.05458071975539269,0.4420364299164703,1.294312704470002,0.16704043403620306,7.862432642201529e-13,1.3915581564276636,1006,3,3,False,10.136170737420233,53140,52608
128,4,4x128,physics,4,5-20 mm,backward,val,0.13022285648389698,0.04936792500842557,0.4666955002825546,1.3912609841753463,0.17041281334929242,7.54483147887454e-13,1.4107756143744155,970,3,3,False,10.136170737420233,53140,52608
128,4,4x128,physics,4,5-20 mm,forward,test,0.13058805029686482,0.06410305211090872,0.48457864983220134,1.1522211241674174,0.18507192186500748,7.343163115431553e-13,1.4635983336042102,994,3,3,False,10.136170737420233,53140,52608
128,4,4x128,physics,4,5-20 mm,forward,val,0.11724529268253292,0.06328903006647124,0.4670956310519614,1.137034126385571,0.15956725541913658,6.861678885418096e-13,1.3562850019077644,1030,3,3,False,10.136170737420233,53140,52608
128,4,4x128,physics,4,50-200 mm,all,test,12.747943455281074,6.248990408522559,29.083571530676977,108.57301972320377,0.14966437969475382,1.4696874915290503e-09,141.05070694597543,2000,3,3,False,99.77469039436093,53140,52608
128,4,4x128,physics,4,50-200 mm,all,val,11.329936901084636,5.269879124243371,28.754508300475656,107.42807964154932,0.13825419885654666,1.527393469739529e-09,129.96536147640825,2000,3,3,False,99.77469039436093,53140,52608
128,4,4x128,physics,4,50-200 mm,backward,test,14.822229786041419,6.269446435791082,21.951732019978465,93.76946942724815,0.13826606386434326,1.775491713555385e-09,140.25341367157296,1032,3,3,False,99.77469039436093,53140,52608
128,4,4x128,physics,4,50-200 mm,backward,val,13.68366878193683,5.566752248057583,23.105396468906747,93.73594959059517,0.1362535359916879,2.4800352028203978e-09,134.8384062812329,1011,3,3,False,99.77469039436093,53140,52608
128,4,4x128,physics,4,50-200 mm,forward,test,11.148247157467317,6.021767812093515,45.12152618715959,100.51457017992041,0.15224467243964146,1.2092171921332661e-09,143.455285236044,968,3,3,False,99.77469039436093,53140,52608
128,4,4x128,physics,4,50-200 mm,forward,val,8.963530840006229,5.050151595270336,41.91427894568278,89.25972639768018,0.1367415919602405,9.298488065215979e-10,124.33531501326911,989,3,3,False,99.77469039436093,53140,52608
128,4,4x128,physics,4,500-2000 mm,all,test,324.13720862656527,323.1461422346085,326.1045459107095,3097.3964495356513,0.3242446716748316,1.530416751172126e-06,15985.931709538963,2000,3,3,False,998.7157698222834,53140,52608
128,4,4x128,physics,4,500-2000 mm,all,val,318.3448666187161,298.7156587268664,323.7496404325109,3334.288943796502,0.33111999317319774,1.3291556279772643e-06,15408.515420144415,2000,3,3,False,998.7157698222834,53140,52608
128,4,4x128,physics,4,500-2000 mm,backward,test,352.86324740615527,332.6705715857195,356.06823629397866,3246.4780009340225,0.3003961420294191,2.0205571703734103e-06,15658.961022059259,1012,3,3,False,998.7157698222834,53140,52608
128,4,4x128,physics,4,500-2000 mm,backward,val,335.5647451606387,320.7484431688101,340.3699039644064,3561.6865658911584,0.3135224423729266,1.532345300484768e-06,14492.363104850454,1025,3,3,False,998.7157698222834,53140,52608
128,4,4x128,physics,4,500-2000 mm,forward,test,298.64421812794006,291.3401935265654,315.6233285663035,2982.050147676847,0.33816155408048637,1.164771149256355e-06,16359.267616175515,988,3,3,False,998.7157698222834,53140,52608
128,4,4x128,physics,4,500-2000 mm,forward,val,293.2302454394815,283.73532870188,312.1949214456663,3266.2417520527492,0.3317065541654195,1.0815470237994847e-06,16137.757478396765,975,3,3,False,998.7157698222834,53140,52608
128,4,4x128,physics,4,all,all,test,1.0648821224208405,0.623531960000534,3.7046968165981298,7030.071220711598,0.12986753616433394,1.994070291061829e-11,12.07131072872647,12000,3,3,False,nan,53140,52608
128,4,4x128,physics,4,all,all,val,1.0113163478422393,0.6291953092798508,3.795296990434016,6909.691402427884,0.12513678880440252,1.8004675638335427e-11,11.660928643891566,12000,3,3,False,nan,53140,52608
128,4,4x128,physics,4,all,backward,test,1.3241522173643716,0.6345478556504247,3.7091753643103686,5414.560638913391,0.12786977375086467,2.8555279843936007e-11,13.706558166376226,6032,3,3,False,nan,53140,52608
128,4,4x128,physics,4,all,backward,val,1.5387106777495774,0.713162567684833,4.206365467240403,5453.457261340129,0.12090341176995006,3.2910984782678424e-11,16.376053191527795,6016,3,3,False,nan,53140,52608
128,4,4x128,physics,4,all,forward,test,0.8175304262216798,0.6141105668859836,3.6409750816197572,9105.223712738229,0.13145645050209598,1.4586207548669494e-11,10.075976668844078,5968,3,3,False,nan,53140,52608
128,4,4x128,physics,4,all,forward,val,0.7737197033748089,0.5590532714254692,3.4417430274693572,8653.20162188159,0.12949166111536278,1.2190781322532722e-11,9.735130103429412,5984,3,3,False,nan,53140,52608
128,4,4x128,physics,4,full crossing,all,test,3569.7928920006525,3520.5776918513866,3662.327243785967,29790.618325716943,1.5203691279261582,0.00013236024618007344,456075.1746171858,2000,3,3,False,5175.042236328125,53140,52608
128,4,4x128,physics,4,full crossing,all,val,3232.9313266880567,3232.5252946149303,3306.020503320849,29686.858572394725,1.3502793320045934,0.00011599693391070156,418003.17999508075,2000,3,3,False,5175.042236328125,53140,52608
128,4,4x128,physics,4,full crossing,backward,test,2631.476430334722,2596.2334881728284,2760.7627338309726,22310.037952433355,1.4049013437494786,0.0003085063727438217,449115.8207340198,999,3,3,False,5175.042236328125,53140,52608
128,4,4x128,physics,4,full crossing,backward,val,2304.7668734679405,2243.392392737441,2359.1071190530783,21328.119038488683,1.2693455127985864,0.00025985171005326794,412962.7382011377,1007,3,3,False,5175.042236328125,53140,52608
128,4,4x128,physics,4,full crossing,forward,test,4977.32392729813,4943.071047912497,5148.825325122175,40731.459462249404,1.6529974520986257,5.902478278357376e-05,461912.954381598,1001,3,3,False,5175.042236328125,53140,52608
128,4,4x128,physics,4,full crossing,forward,val,4309.6214636307195,4308.010273248101,4629.177865265319,35440.955551225525,1.4644770698226395,5.595290562831958e-05,422725.11157961754,993,3,3,False,5175.042236328125,53140,52608
128,4,4x128,physics,6,0.05-0.2 mm,all,test,2.11635295954693e-05,1.1598714877436578e-05,4.173433154619488e-05,0.00016306466932292096,0.002424252227545276,6.273109096586013e-17,0.0001305794636863311,2000,3,3,False,0.10055355399594301,54172,53632
128,4,4x128,physics,6,0.05-0.2 mm,all,val,2.377748842263827e-05,1.3111506547147656e-05,4.440089185209217e-05,0.00017172213873095643,0.0024019286063645118,5.986013960488708e-17,0.00013977896173855697,2000,3,3,False,0.10055355399594301,54172,53632
128,4,4x128,physics,6,0.05-0.2 mm,backward,test,2.0819697965634987e-05,1.1594124771363568e-05,3.992323627244332e-05,0.00016320382201229222,0.0023403054208170904,5.891717374679986e-17,0.00013178674862501794,983,3,3,False,0.10055355399594301,54172,53632
128,4,4x128,physics,6,0.05-0.2 mm,backward,val,2.434370571791078e-05,1.3199269233155064e-05,4.599152703121945e-05,0.0001510578613306279,0.002389611377107137,6.059884217735748e-17,0.0001464744912027527,1017,3,3,False,0.10055355399594301,54172,53632
128,4,4x128,physics,6,0.05-0.2 mm,forward,test,2.1262962945911568e-05,1.1612968364715925e-05,4.209156045931195e-05,0.00016046770241473493,0.0025764148540163845,6.523805142418395e-17,0.0001273499492526753,1017,3,3,False,0.10055355399594301,54172,53632
128,4,4x128,physics,6,0.05-0.2 mm,forward,val,2.3203028831630945e-05,1.3092261497149593e-05,4.348640914031421e-05,0.00018146386508988138,0.0024352752395762067,5.914997377337762e-17,0.00013516631724996842,983,3,3,False,0.10055355399594301,54172,53632
128,4,4x128,physics,6,0.5-2 mm,all,test,0.002334775306422898,0.0012965590627800339,0.004464141852622561,0.01736636243236944,0.02437038158959945,6.470046516633454e-15,0.013896570703053612,2000,3,3,False,1.003832351083143,54172,53632
128,4,4x128,physics,6,0.5-2 mm,all,val,0.002242389058437766,0.0012655502485969805,0.00424239109975133,0.017754489394405933,0.023666265141917414,6.569080878574621e-15,0.013709354546698194,2000,3,3,False,1.003832351083143,54172,53632
128,4,4x128,physics,6,0.5-2 mm,backward,test,0.0022945842168553554,0.0012888339639971491,0.0043674333198850945,0.017234626676909667,0.023426964195862043,5.377302971051147e-15,0.013845175832472023,1000,3,3,False,1.003832351083143,54172,53632
