arch,mode,q,stratum,forward_um,backward_um,backward_over_forward
2x128,data,6,0.5-2 mm,0.00010210614220795833,0.00010653394255655257,1.0433646816229352
2x128,data,6,5-20 mm,0.012880764842293502,0.014327923764767547,1.1123503875889693
2x128,data,6,50-200 mm,2.3364160785668275,2.282981443222809,0.977129657754797
2x128,data,6,500-2000 mm,396.1123829055282,349.6908988171157,0.8828072888105497
2x128,data,6,full crossing,3437.8584222973814,3624.166808469042,1.0541931526217878
2x128,data,8,0.05-0.2 mm,1.1436327440605965e-06,1.1037286640203092e-06,0.9651076097221531
2x128,data,8,0.5-2 mm,0.00011460881665925626,0.00011970536206717952,1.0444690518276252
2x128,data,8,5-20 mm,0.014953167752906893,0.012952844940627983,0.8662274880257363
2x128,data,8,50-200 mm,2.976325909461508,2.1123307151427184,0.7097108244859153
2x128,data,8,500-2000 mm,421.15058547588546,376.32931908895273,0.8935742512709883
2x128,data,8,full crossing,3167.408671387335,3973.862607845369,1.254610004620845
2x128,data,10,0.05-0.2 mm,1.1606040573042264e-06,1.256296400242718e-06,1.0824504639082162
2x128,data,10,0.5-2 mm,0.00013002884458046537,0.00012883314060019302,0.990804317425643
2x128,data,10,5-20 mm,0.01412785101706504,0.013512002865923023,0.9564089293978161
2x128,data,10,50-200 mm,2.557679874939822,2.545875379516005,0.9953846861214033
2x128,data,10,500-2000 mm,384.1735443095473,408.5521581292042,1.0634572947064098
2x128,data,10,full crossing,3631.11096202681,4860.914723439322,1.3386852603166006
2x128,data,12,0.05-0.2 mm,1.4956071936467197e-06,1.488388079451397e-06,0.9951731215081144
2x128,data,12,0.5-2 mm,0.0001524757990978287,0.00016578427164404275,1.0872825236854493
2x128,data,12,5-20 mm,0.01488029113261291,0.01962773522734551,1.319042420099409
2x128,data,12,50-200 mm,2.6449359606601774,3.4227665959042364,1.2940829747159217
2x128,data,12,500-2000 mm,432.4857821091328,453.45840675537374,1.0484932118322188
2x128,data,12,full crossing,3707.5005177972002,5225.4759801774,1.4094336481123677
2x128,data,14,0.05-0.2 mm,1.2684608918789309e-06,1.2129817150707822e-06,0.9562626036298454
2x128,data,14,0.5-2 mm,0.00013007355104122098,0.0001475406321560513,1.1342861863538645
2x128,data,14,5-20 mm,0.014893220864564682,0.016248374379301822,1.090991299132711
2x128,data,14,50-200 mm,2.7137892506345906,2.3689355146245816,0.8729253806538704
2x128,data,14,500-2000 mm,408.8316370899392,404.4407290818475,0.9892598624721264
2x128,data,14,full crossing,4460.9763466907,4493.604191780776,1.0073140592001302
2x128,data,16,0.05-0.2 mm,1.6336656472049071e-06,1.397978621753282e-06,0.8557311737228055
2x128,data,16,0.5-2 mm,0.00017431085552743752,0.00017072238733817358,0.9794133981018807
2x128,data,16,5-20 mm,0.017251504317084,0.018939985118038294,1.0978744096700142
2x128,data,16,50-200 mm,2.8294256111536242,2.4561799255309325,0.8680842909771674
2x128,data,16,500-2000 mm,423.59063467262104,436.2194456743538,1.0298137162817425
2x128,data,16,full crossing,4465.227430757694,5548.996500815803,1.2427130727077451
2x128,data,18,0.05-0.2 mm,1.436319507774897e-06,1.3395786702119494e-06,0.9326467147182207
2x128,data,18,0.5-2 mm,0.0001435575924801924,0.00015529725061469435,1.0817766440052397
2x128,data,18,5-20 mm,0.015868952289110894,0.020635808269275913,1.3003888280284253
2x128,data,18,50-200 mm,2.1596789280291517,2.3777779245364172,1.1009867687630286
2x128,data,18,500-2000 mm,402.6185877011592,464.83631213430243,1.1545326677250278
2x128,data,18,full crossing,4594.136129778008,5017.575914311636,1.0921696207017029
2x128,data,20,0.05-0.2 mm,1.4640590961789712e-06,1.4993020158726722e-06,1.0240720608790186
2x128,data,20,0.5-2 mm,0.00016836407645826057,0.00016040038808284862,0.9526995987330692
2x128,data,20,5-20 mm,0.018258816012917123,0.02210173563454987,1.2104692669510493
2x128,data,20,50-200 mm,3.224775638663857,3.0150496665726223,0.9349641663200693
2x128,data,20,500-2000 mm,485.7565521600975,425.2806890104779,0.875501703722387
2x128,data,20,full crossing,4515.527108677816,5176.127962488408,1.1462954020453267
2x256,physics,2,0.05-0.2 mm,6.902297400301904e-06,7.030564574961318e-06,1.0185832581849925
2x256,physics,2,0.5-2 mm,0.0006914934189694577,0.0007342863455050974,1.0618847921928376
2x256,physics,2,5-20 mm,0.08031792955165429,0.07180380032423272,0.8939946625249355
2x256,physics,2,50-200 mm,8.424294218208672,7.496709375345745,0.8898916848300477
2x256,physics,2,500-2000 mm,513.8065353970092,466.2804480332454,0.9075019796565235
2x256,physics,2,full crossing,5401.572236406082,25268.758082786007,4.678037611434128
2x256,physics,4,0.05-0.2 mm,6.9481700393225765e-06,7.383711420061445e-06,1.0626843295823158
