outer,phase,loss,train_endpoint_med_um,val_endpoint_med_um,test_endpoint_med_um,val_endpoint_p95_um,test_endpoint_p95_um,val_slope_med_mrad,wall_s
47,stall,1.1295835775626203e-07,32.58538204676853,32.31286580361825,31.69593399634607,194.9561120807054,188.44013713716956,0.023628499844382395,10.2
48,stall,1.1280115219509537e-07,32.490816329783456,32.23925939300187,31.558051800132603,194.77490891676757,188.3744922224367,0.02369614069946957,10.1
49,stall,1.1264617281845324e-07,32.45942188237905,32.30789091495012,31.557774435697183,194.5916658062075,187.8620321467267,0.023686650849626123,10.2
50,stall,1.1249334254381842e-07,32.4469968536647,32.15443341639457,31.387908827248623,194.16688360058433,187.79861695776106,0.023606369739408162,10.2
51,stall,1.1234258876325853e-07,32.42545614568115,32.187661993930305,31.384007957086624,193.99923878735106,187.3352035926047,0.02366084491325915,10.2
52,stall,1.1219384275149385e-07,32.372566486785104,32.065037050657,31.226555276305135,193.59206683102687,187.42722903839282,0.023554323763386176,10.2
53,stall,1.1204703961439985e-07,32.33449147412415,32.002602632559274,31.2224426051273,193.43895870237503,187.081493366334,0.023586896829196763,10.2
54,stall,1.1190211776170424e-07,32.272617096813505,31.81330821348638,31.04422946958252,193.04819012170594,187.17708911046606,0.023495484034956327,10.2
55,stall,1.1175901891009573e-07,32.2447364202425,31.798065466659864,31.034858911809238,192.90860974747085,186.83942418590794,0.023487774290609914,10.2
56,stall,1.1161768760557589e-07,32.160286950905004,31.73369546777849,30.97706827038138,192.53310666864996,186.93843316832647,0.02345058705267855,10.2
57,stall,1.114780712701242e-07,32.15920242499237,31.643417806675345,30.944423123141718,192.4530579276542,186.6083971179379,0.02354154180174775,10.2
58,stall,1.1134011976247965e-07,32.07254435113782,31.664039461972493,30.936832104302425,192.42323047645863,186.71065261556387,0.02342523322500234,10.2
59,stall,1.1120378545995088e-07,32.02167178179138,31.604819044858345,30.858383424757108,192.4142293566713,186.40408375350015,0.023501210302590003,10.1
60,stall,1.1106902284945607e-07,32.007922102835096,31.375110836052045,30.85583402158676,192.385150746358,186.54559202125833,0.023283572636968036,10.1
61,stall,1.109357886380639e-07,31.95107922114282,31.36052355114316,30.78924512416137,192.37673776572157,186.4431602626383,0.0233360316225506,10.2
62,stall,1.1080404136720435e-07,31.843675333426802,31.288737838792713,30.729340157080287,192.34839611281572,186.57909066402718,0.023315052191039132,10.1
63,stall,1.1067374154753492e-07,31.855265274195688,31.19187846704108,30.679401741281254,192.34056672330175,186.47333162938372,0.023289916605884198,10.2
64,stall,1.1054485134109156e-07,31.755768220264713,31.096098582338527,30.638548760585138,192.32011318305106,186.60431611263,0.023280223800297827,10.2
65,stall,1.1041733415500017e-07,31.814339769162814,31.097194675282935,30.590224414108746,192.30569478400568,186.49569638608347,0.023357391628897606,10.2
66,stall,1.1029115603604934e-07,31.705904323125367,31.00119577901239,30.594029072609885,192.31132456270544,186.62229245641845,0.02330917906915404,10.2
67,stall,1.101662834051412e-07,31.703103335559035,31.001021717372623,30.523604572703533,192.29464984352984,186.5112099524794,0.023299992739735532,10.2
68,stall,1.1004268440879195e-07,31.637752117745777,30.950870624508298,30.51470372847831,192.30166845915096,186.63390570310418,0.023239204765894764,10.2
69,stall,1.0992032854981673e-07,31.612528858472544,30.941673773554612,30.41659977182576,192.28476356098696,186.52070561775818,0.02324820690521867,10.1
70,stall,1.0979918641584375e-07,31.57597285372482,30.982674722977777,30.380601140237218,192.2912749905379,186.63993263151187,0.023219332418254485,10.2
71,stall,1.0967922988510985e-07,31.521083486863333,30.94825167113413,30.348276783513484,192.2741957014395,186.52490897083285,0.023241057074463445,10.2
72,stall,1.0956043179265788e-07,31.510951156889178,30.919541273590312,30.32832462186974,192.28025960314167,186.6410479876308,0.023177912777477827,10.2
73,stall,1.0944276615061329e-07,31.46997154112796,30.88056514022952,30.287140103919086,192.26465899965672,186.52445196066196,0.023226536917941853,10.2
74,stall,1.0932620781595962e-07,31.503092985062153,30.8436225351727,30.249854876348792,192.26872568515847,186.6378399178146,0.02316490528180004,10.1
75,stall,1.0921073272511022e-07,31.40974019567011,30.76059708939738,30.2553909994856,192.26475022421207,186.51988534707016,0.023219512278363497,10.2
76,stall,1.0909631756104458e-07,31.441662558506778,30.74601257071663,30.23838658221223,192.26207765591562,186.63082104401667,0.023188874046072006,10.2
77,stall,1.0898294000199136e-07,31.34403660701679,30.669088849947457,30.19459668297486,192.26467635446335,186.4974123775525,0.023210934970485653,10.2
78,stall,1.0887057838560286e-07,31.278334166799482,30.612495956802377,30.155512433402976,192.27207963343488,186.62043822823193,0.02313706542167492,10.2
79,stall,1.0875921197222456e-07,31.20839173588763,30.53826852985253,30.10418314911334,192.30811867652022,186.46720825227166,0.02319826436708583,10.2
80,stall,1.0864882060431189e-07,31.086796172488107,30.490093133295204,30.009702542493244,192.09655137896075,186.59052032616756,0.02312587273118477,10.2
81,stall,1.0853938498468531e-07,31.06858325189954,30.431685920547125,29.98978757764803,191.83534312601842,186.43458213682467,0.02317298073917229,10.2
82,stall,1.0843088632861663e-07,31.026313919158,30.434592451712206,29.976290647582005,191.61750994074094,186.55596805047313,0.02312657930824552,10.2
83,stall,1.0832330665857612e-07,30.983039879281193,30.378848377210943,29.95024801053603,191.3627770851348,186.39985839405287,0.02316465662348388,10.2
84,stall,1.0821662844700947e-07,30.962158297676012,30.381643889995757,29.938000513624274,191.1469992148653,186.51950632273613,0.023138137769135314,10.2
85,confirm,1.0819178441274938e-07,30.93580543029617,30.34035278071201,29.86912163393285,191.14515894422934,186.65504260732604,0.023181364442376173,8.1
86,confirm,1.0816757401466878e-07,30.92721426425271,30.33686539490077,29.853031081472636,191.24217234592032,186.74438599085192,0.023158407026390576,8.1
