N,q,plane,z_mm,step_med_um,step_p95_um,straight_line_med_um
256,16,67,4003.32734375,0.08209308169515651,0.903602864540191,8.46049044943031
256,16,68,4023.553125,0.0816423604519998,0.8825240830637245,8.541160912262688
256,16,69,4043.7789062499996,0.08163994513025391,0.87685734846905,8.622763443440693
256,16,70,4064.0046875,0.08133672146855095,0.8576971114703225,8.70452237550872
256,16,71,4084.23046875,0.08092984606085221,0.8341270272781028,8.786385018726792
256,16,72,4104.45625,0.07970185148351158,0.8001099126151718,8.860143616227129
256,16,73,4124.68203125,0.07958284394269627,0.7970456482190945,8.927203795375274
256,16,74,4144.9078125,0.07862770338546554,0.788245324293327,8.994347246756472
256,16,75,4165.13359375,0.07781775630657842,0.7743915010968953,9.061144397516152
256,16,76,4185.359375,0.07795245982671832,0.7531463804609854,9.124666597117
256,16,77,4205.58515625,0.0770658209579678,0.7349908971667537,9.180714112061112
256,16,78,4225.8109375,0.07647822732578416,0.7205016710326405,9.23177281535456
256,16,79,4246.03671875,0.0760285508267172,0.7009113087456234,9.282877027129263
256,16,80,4266.2625,0.07491269945052233,0.682953709907557,9.334036806423232
256,16,81,4286.48828125,0.07365348164735572,0.672072749715227,9.38509888357504
256,16,82,4306.7140625,0.07252652242590611,0.6641839420276583,9.428270469684762
256,16,83,4326.93984375,0.07169722434180578,0.6636706694565101,9.46718973292002
256,16,84,4347.165625,0.06946330514010154,0.6478445469398133,9.506151398384606
256,16,85,4367.39140625,0.06824346375810679,0.6369490341567332,9.545156214263091
256,16,86,4387.6171875,0.06633250345862483,0.6198947053733829,9.583978508331974
256,16,87,4407.84296875,0.06473384355011214,0.6087207675216461,9.614893832484166
256,16,88,4428.06875,0.06122478703459887,0.6189276861158225,9.640231527647039
256,16,89,4448.29453125,0.05939133722261296,0.6150328063270812,9.664283355126331
256,16,90,4468.5203125,0.057657621492978484,0.603836324153673,9.688181545499564
256,16,91,4488.74609375,0.05534309549463941,0.6101730288060937,9.711592335268126
256,16,92,4508.971875,0.05437843033718634,0.593717828343706,9.726592137312958
256,16,93,4529.19765625,0.05428106986489076,0.5896638822915049,9.738529725581548
256,16,94,4549.4234375,0.05603278264659149,0.5842058779906986,9.75030043450141
256,16,95,4569.64921875,0.05698289951527363,0.5724880606317861,9.761904412790095
256,16,96,4589.875,0.058468812380159954,0.5606437343678253,9.772950917045398
256,16,97,4610.10078125,0.05918108852152047,0.5470359161203954,9.776820411308172
256,16,98,4630.3265625,0.060344212079619125,0.5422177136927421,9.78361125840231
256,16,99,4650.55234375,0.0600403679576757,0.5343569538956344,9.790103313992006
256,16,100,4670.778125,0.06010394468653922,0.528287421224264,9.796440206849656
256,16,101,4691.00390625,0.06213730397821907,0.5200110703128197,9.802321149425108
256,16,102,4711.229687499999,0.06363491620731154,0.511480567687328,9.8020206885196
256,16,103,4731.45546875,0.06464063821870793,0.5107622680263282,9.799956223022178
256,16,104,4751.68125,0.06496532088373735,0.502204429187225,9.798433610954628
256,16,105,4771.90703125,0.06441244277315203,0.4912788055320753,9.784564523381661
256,16,106,4792.1328125,0.06340782965110217,0.49381415031448717,9.761335287520273
256,16,107,4812.358593749999,0.061791520286472015,0.4828758049851441,9.74530732407124
256,16,108,4832.584375,0.059418750026434514,0.48472463104952745,9.737396835219833
256,16,109,4852.81015625,0.05757557815676648,0.47930497022508267,9.729903723859941
256,16,110,4873.0359375,0.05677809697138483,0.4927468409389831,9.722805054740734
256,16,111,4893.26171875,0.05464320876143432,0.48917440607106716,9.715152017323572
256,16,112,4913.487499999999,0.053944684273827995,0.4922881408928791,9.703094297790505
256,16,113,4933.71328125,0.05286319826508224,0.4890100827314349,9.690482741837318
256,16,114,4953.9390625,0.05164998749918623,0.48658840770811007,9.677857026268164
256,16,115,4974.16484375,0.05060837291399638,0.48320459298793167,9.665216942984523
256,16,116,4994.390625,0.049867907483361146,0.48739793812361626,9.651989459703223
256,16,117,5014.616406249999,0.050410955477789,0.48387867752492986,9.635084740321165
256,16,118,5034.8421875,0.05064542734232037,0.4882062300695071,9.617848084328
256,16,119,5055.06796875,0.04994855494501005,0.48830973116642257,9.60059712460131
256,16,120,5075.29375,0.049782797227760855,0.49918540457778215,9.58381358937507
256,16,121,5095.51953125,0.0490155962612697,0.5054920382660547,9.566537302274575
256,16,122,5115.745312499999,0.04826446953393472,0.5091396168144129,9.546128970704185
256,16,123,5135.97109375,0.04753487152675813,0.5128294879826616,9.52552919461095
256,16,124,5156.196875,0.04769582341427134,0.511862012528337,9.504911447801197
256,16,125,5176.42265625,0.047242378573479654,0.5125863554300303,9.48428098594124
256,16,126,5196.6484375,0.04773248714882574,0.5152286268169457,9.462975884916855
256,16,127,5216.874218749999,0.04826214670968062,0.5149015693227579,9.438981661036484
256,16,128,5237.1,0.04904587789726608,0.5128118114404241,9.414882114029002
256,16,129,5257.32578125,0.0480627889950017,0.5158528156163347,9.390767597390187
256,16,130,5277.5515625,0.04851164147776157,0.5145342519753674,9.366637807977746
256,16,131,5297.77734375,0.04759754719743277,0.5073590861297033,9.341772852328248
256,16,132,5318.003124999999,0.04752606929700858,0.5066536150876895,9.314584927966921
256,16,133,5338.22890625,0.04746129261521312,0.5080592517139072,9.287342994551192
256,16,134,5358.4546875,0.04762570303230882,0.5082531196037462,9.260082336671047
256,16,135,5378.68046875,0.047757841526718255,0.5142562000810506,9.232802630832623
256,16,136,5398.90625,0.04834972235158466,0.5156583536250052,9.204713470296593
256,16,137,5419.132031249999,0.048507886635011835,0.5163207319819315,9.174600908782875
256,16,138,5439.3578125,0.04918894720910736,0.5190788463091963,9.144457830619706
256,16,139,5459.58359375,0.0500947383560752,0.5244836382177379,9.114291941253594
256,16,140,5479.809375,0.050256898754589815,0.5307441154119312,9.084102906433085
256,16,141,5500.03515625,0.05071049679303565,0.5378164684467345,9.053021029398636
256,16,142,5520.260937499999,0.05080787055035599,0.5417481258056414,9.020188812699502
256,16,143,5540.48671875,0.05063176599731829,0.544061949805784,8.987330265628147
256,16,144,5560.7125,0.05060707200283509,0.5411702626515732,8.954445052707694
256,16,145,5580.93828125,0.051128148611621085,0.5479694654639731,8.920364005230985
256,16,146,5601.1640625,0.051598818066806176,0.5495308391841198,8.88430819269904
256,16,147,5621.389843749999,0.05223588027446098,0.5492900463722784,8.846639455656206
256,16,148,5641.615625,0.05271882853707344,0.549179568896614,8.808962362878734
256,16,149,5661.84140625,0.0530623175844118,0.5484005107553069,8.77127650490358
256,16,150,5682.0671875,0.05316512362306547,0.5445274586526727,8.733580220498451
256,16,151,5702.29296875,0.053586301558594035,0.5411540801506519,8.694720418176544
256,16,152,5722.518749999999,0.05425215410610969,0.5387719502446875,8.65441582777035
256,16,153,5742.74453125,0.05474830995592643,0.5358956239113745,8.614099208686621
256,16,154,5762.9703125,0.05443793228838098,0.5382282092969065,8.5787365880945
256,16,155,5783.19609375,0.05535940228888479,0.5382741656762754,8.544978217570483
