N,q,component,unit,p_lo,p_hi,n,med,p95,signed_mean
256,16,x,µm,7.0,10.0,197,20.66991036735999,152.84048455317242,-2.4626586220974023
256,16,x,µm,10.0,15.0,208,14.555228429038891,89.87190528061399,-18.331935744630524
256,16,x,µm,15.0,20.0,109,14.152006216932023,164.34599813133553,3.8581094098174593
256,16,x,µm,20.0,30.0,115,8.989232258173274,41.303063425425535,2.4808765749614605
256,16,x,µm,30.0,50.0,55,8.372175543485127,36.28055233937173,-0.5932732977045774
256,16,x,µm,50.0,100.0,24,37.3227180403255,86.1732423500015,-1.3926200314514265
256,16,x,µm,100.0,200.0,6,54.803993020897224,109.69858432556134,1.2058863803295534
256,16,y,µm,1.0,2.0,5,493.72649061558604,1720.520728998417,-201.26600244950623
256,16,y,µm,2.0,3.0,159,357.00228771816,2047.7975189907045,-122.85144872829379
256,16,y,µm,3.0,5.0,341,175.4892476438954,1150.343706037802,-78.94757650901339
256,16,y,µm,5.0,7.0,233,67.86330299934207,447.1277986760014,35.8763043654122
256,16,y,µm,7.0,10.0,197,58.66727732939481,252.11900531969584,2.4371563220514636
256,16,y,µm,10.0,15.0,208,35.80485580349091,132.38209288326144,-1.9750032558531982
256,16,y,µm,15.0,20.0,109,38.44770315703272,99.92642027689267,-13.534247593970353
256,16,y,µm,20.0,30.0,115,14.390991545127463,72.17485158789144,-3.8480350194150126
256,16,y,µm,30.0,50.0,55,12.382038580170729,57.58664386705731,-13.07785778191574
256,16,y,µm,50.0,100.0,24,14.708643591532677,55.73927203587341,-9.567768259926057
256,16,y,µm,100.0,200.0,6,7.509064936868981,14.692621757003366,2.067298825987033
256,16,tx,mrad,1.0,2.0,5,0.7851597985660819,2.585194701153415,0.32636428921019034
256,16,tx,mrad,2.0,3.0,159,0.2726477286604245,1.3657767309297464,0.1335427058512083
256,16,tx,mrad,3.0,5.0,341,0.15305356024314376,1.1308994779077874,0.014911202462285113
256,16,tx,mrad,5.0,7.0,233,0.049458392959139674,0.47794199922021197,0.0038720858233373067
256,16,tx,mrad,7.0,10.0,197,0.023365530132421486,0.13635719397662727,0.0006704421773714694
256,16,tx,mrad,10.0,15.0,208,0.01031328326135672,0.07696833127559462,-0.014420094189634162
256,16,tx,mrad,15.0,20.0,109,0.008793695217140796,0.04955792377916851,-0.0001763198321246546
256,16,tx,mrad,20.0,30.0,115,0.005701428283794163,0.033911578914036594,0.0008668838962580154
256,16,tx,mrad,30.0,50.0,55,0.01080668956583708,0.02952999842034987,0.006796186571031136
256,16,tx,mrad,50.0,100.0,24,0.028312332442606385,0.05661118707983165,0.004078902410884414
256,16,tx,mrad,100.0,200.0,6,0.025493365268948465,0.046441790766227384,-0.013931583521815515
256,16,ty,mrad,1.0,2.0,5,0.3900182136743549,0.8025145692573484,0.12949039994554648
256,16,ty,mrad,2.0,3.0,159,0.33717023306815974,1.580977677463891,-0.11098940704906114
256,16,ty,mrad,3.0,5.0,341,0.12510354223396747,0.987951040424706,0.04316802635487211
256,16,ty,mrad,5.0,7.0,233,0.03712107779367535,0.3407400751701534,0.029111030449794555
256,16,ty,mrad,7.0,10.0,197,0.026426428554561163,0.16103047250114458,-0.007410474739325701
256,16,ty,mrad,10.0,15.0,208,0.016399766431033497,0.08291355186985566,0.0028781587963896925
256,16,ty,mrad,15.0,20.0,109,0.013286146977240648,0.05391225935650889,-0.0023149280194551133
256,16,ty,mrad,20.0,30.0,115,0.007694291177281001,0.030745064455862246,-0.0025252247508441962
256,16,ty,mrad,30.0,50.0,55,0.009038686443395673,0.02750353620857779,-0.00768654731250579
256,16,ty,mrad,50.0,100.0,24,0.005616882554267469,0.02115392943078836,-0.005740201850885239
256,16,ty,mrad,100.0,200.0,6,0.002743392220568887,0.009497855088742672,0.000990046365413437
