tag,mode,seed,width,depth,leg,node,node_c,is_endpoint,med_um,p95_um,n
w100_physics_s3,physics,3,100,4,A,7,0.9801449282487681,False,507.99154668047225,33462.17295531457,604
w100_physics_s3,physics,3,100,4,A,8,1.0,True,537.7991653273326,34548.261209593904,604
w100_physics_s3,physics,3,100,4,B,0,0.019855071751231912,False,874.7503486789797,6496.536068999561,564
w100_physics_s3,physics,3,100,4,B,1,0.10166676129318664,False,944.7527435949041,5872.050131857688,564
w100_physics_s3,physics,3,100,4,B,2,0.2372337950418355,False,1219.4216225649673,8597.778073865073,564
w100_physics_s3,physics,3,100,4,B,3,0.4082826787521751,False,1732.3857054020095,14669.8004344782,564
w100_physics_s3,physics,3,100,4,B,4,0.5917173212478248,False,2131.971390168929,29715.0689499737,564
w100_physics_s3,physics,3,100,4,B,5,0.7627662049581645,False,2408.2211461974907,52655.60927003338,564
w100_physics_s3,physics,3,100,4,B,6,0.8983332387068134,False,3029.22986662773,49361.40485690764,564
w100_physics_s3,physics,3,100,4,B,7,0.9801449282487681,False,3285.211159274695,50441.801069052846,564
w100_physics_s3,physics,3,100,4,B,8,1.0,True,3152.3581463048204,49276.518744866866,564
w100_physics_s3,physics,3,100,4,C,0,0.019855071751231912,False,385.16625189367915,2889.3593186432345,2793
w100_physics_s3,physics,3,100,4,C,1,0.10166676129318664,False,320.4158528118972,2448.7111743844084,2793
w100_physics_s3,physics,3,100,4,C,2,0.2372337950418355,False,320.1815870881131,2305.102649148649,2793
w100_physics_s3,physics,3,100,4,C,3,0.4082826787521751,False,308.3458217534485,2562.7284274919434,2793
w100_physics_s3,physics,3,100,4,C,4,0.5917173212478248,False,279.5367673641067,2663.7574497454702,2793
w100_physics_s3,physics,3,100,4,C,5,0.7627662049581645,False,317.8532002905001,2758.4925080933976,2793
w100_physics_s3,physics,3,100,4,C,6,0.8983332387068134,False,271.4931137620056,2496.56531131948,2793
w100_physics_s3,physics,3,100,4,C,7,0.9801449282487681,False,294.4923665426131,2750.369488295519,2793
w100_physics_s3,physics,3,100,4,C,8,1.0,True,303.2384203586522,2906.4805943125443,2793
w100_physics_s4,physics,4,100,4,A,0,0.019855071751231912,False,346.0376489720455,6370.734937900146,604
w100_physics_s4,physics,4,100,4,A,1,0.10166676129318664,False,336.50162783918165,4458.214088198492,604
w100_physics_s4,physics,4,100,4,A,2,0.2372337950418355,False,388.7801214014606,6452.272111572164,604
w100_physics_s4,physics,4,100,4,A,3,0.4082826787521751,False,290.68980168299527,12985.367575268116,604
w100_physics_s4,physics,4,100,4,A,4,0.5917173212478248,False,301.27483749609655,21128.50106078829,604
w100_physics_s4,physics,4,100,4,A,5,0.7627662049581645,False,362.3953608539442,26888.43919670391,604
w100_physics_s4,physics,4,100,4,A,6,0.8983332387068134,False,282.08112623100897,29394.503041174583,604
w100_physics_s4,physics,4,100,4,A,7,0.9801449282487681,False,456.72098227472065,34811.02560046061,604
w100_physics_s4,physics,4,100,4,A,8,1.0,True,353.6478928710523,33951.974967667236,604
w100_physics_s4,physics,4,100,4,B,0,0.019855071751231912,False,959.1929942533213,5655.970285142514,564
w100_physics_s4,physics,4,100,4,B,1,0.10166676129318664,False,866.6849921043394,5208.389627815734,564
w100_physics_s4,physics,4,100,4,B,2,0.2372337950418355,False,1255.0897282685619,8927.175758789212,564
w100_physics_s4,physics,4,100,4,B,3,0.4082826787521751,False,1498.0668175238493,13214.475144377117,564
w100_physics_s4,physics,4,100,4,B,4,0.5917173212478248,False,2143.805081098133,28841.7818216653,564
w100_physics_s4,physics,4,100,4,B,5,0.7627662049581645,False,2485.006668541722,41735.8391571139,564
