arm,tag,mode,seed,width,depth,converged,split,leg,band,endpoint_med_um,endpoint_p95_um,stage_med_um,slope_med_mrad,rho_mean,rho_median,straight_med_um,n,ceiling_leg_um,ceiling_band_um,ceiling_band_n,ceiling_own_um,ceiling_own_p95_um
wave1,w50_physics_s4,physics,4,50,4,True,val,C,1-5GeV,732.8044284905673,5698.14671664426,1384.4263214626044,0.3798056184971532,0.002940472772870473,3.000910576922464e-05,24.01565099967229,1541,1.9820198815523327e-06,2.8307738375588087e-06,18,6.750537906441423e-06,0.20163025035344614
wave1,w50_physics_s4,physics,4,50,4,True,val,C,5-20GeV,311.48998062620416,1830.1072678640046,746.7196756745125,0.1351630095233064,0.0003417895141649892,3.581380299224493e-05,3.982292308535307,901,1.9820198815523327e-06,6.594778056978612e-07,10,1.7530226159578888e-06,0.14228742605375028
wave1,w50_physics_s4,physics,4,50,4,True,val,C,20-200GeV,210.99596693200527,1032.7274247680098,334.27836018979565,0.10693517421095727,0.00034229839998787853,0.00011915921749567646,0.6156453043622001,314,1.9820198815523327e-06,1.1178560299640594e-06,4,4.790932095488643e-07,0.009702852425164103
wave1,w50_physics_s4,physics,4,50,4,True,val,C,all,497.54025401068924,4164.767311794016,994.3718054769306,0.2249847884669698,0.0017948848304979127,3.901909044754229e-05,6.048405576626337,2756,1.9820198815523327e-06,1.9820198815523327e-06,32,5.807194725093723e-07,3.303541561407996
wave1,w50_physics_s4,physics,4,50,4,True,test,A,1-5GeV,1297.4915516180872,84602.84305503186,2343.7272186329374,0.5518452719088136,0.2121075724166865,0.0419633290947129,31.11023947234115,324,0.0007444257531519227,0.002909424121233517,19,0.0028088209010346255,7173.877347743397
wave1,w50_physics_s4,physics,4,50,4,True,test,A,5-20GeV,360.59269973760536,22023.700176134982,621.1807266530247,0.23173754609846775,0.1013816689394553,0.05880584821763422,9.80516663159503,191,0.0007444257531519227,0.020400536357767507,9,0.0005096686157557428,2306.1250752016567
wave1,w50_physics_s4,physics,4,50,4,True,test,A,20-200GeV,317.8928261999175,10918.769997874571,775.6837573995117,0.24558968078608295,0.10334399048022226,0.06670582014502548,5.945399012586616,89,0.0007444257531519227,0.0004550318470283865,4,0.0009147414785637409,436.5695393626081
wave1,w50_physics_s4,physics,4,50,4,True,test,A,all,601.2445907405975,57496.428075597774,1231.088552259957,0.39906974007788804,0.1610668334158645,0.05314565630125198,10.945522383782214,604,0.0007444257531519227,0.0007444257531519227,32,0.0012975941081627695,10095.745280850735
wave1,w50_physics_s4,physics,4,50,4,True,test,B,1-5GeV,16355.4246817298,135234.2016401037,19029.852486726668,4.417881177119054,0.0006072687097070668,0.00013470547548351974,1197127.786821343,191,29.06626263219181,194.32988753253255,14,239.1203764747729,31863.319386796837
wave1,w50_physics_s4,physics,4,50,4,True,test,B,5-20GeV,3695.116579555389,38980.300268845785,5303.686170100647,1.3344843244780178,0.001619661408201095,4.274479755257468e-05,355193.23732396663,278,29.06626263219181,18.868742882830247,13,23.771840872143457,312.6197581884921
wave1,w50_physics_s4,physics,4,50,4,True,test,B,20-200GeV,2164.9422830470826,18910.204723358656,3785.908878706692,1.0638492108106106,0.0077112238494848676,0.0001678388092492133,104910.80409850382,95,29.06626263219181,8.451150669401386,5,6.659794481365111,77.86268877226932
wave1,w50_physics_s4,physics,4,50,4,True,test,B,all,5353.602745638909,69047.29103091807,7094.591673880643,1.6533095031183997,0.0023028731573315896,9.246334145628512e-05,444074.60985912883,564,29.06626263219181,29.06626263219181,32,46.362551442712174,10372.636338919856
wave1,w50_physics_s4,physics,4,50,4,True,test,C,1-5GeV,728.536801875947,5355.229512552294,1381.7519570709464,0.3657807371579419,0.003563470763998018,3.4047848098604367e-05,20.65045648123487,1625,1.9820198815523327e-06,2.8307738375588087e-06,18,6.750537906441423e-06,0.20163025035344614
wave1,w50_physics_s4,physics,4,50,4,True,test,C,5-20GeV,285.1587083816245,1676.531338842037,736.7672968155787,0.1260983841928076,0.00033049635305320364,2.969617306960192e-05,4.010366603324655,857,1.9820198815523327e-06,6.594778056978612e-07,10,1.7530226159578888e-06,0.14228742605375028
wave1,w50_physics_s4,physics,4,50,4,True,test,C,20-200GeV,215.93647781417147,1095.4440750271317,387.24309213137786,0.10386584225298423,0.000572524904523986,0.00010275677268076458,0.7430259263347949,311,1.9820198815523327e-06,1.1178560299640594e-06,4,4.790932095488643e-07,0.009702852425164103
wave1,w50_physics_s4,physics,4,50,4,True,test,C,all,496.40350291111446,3930.148539085899,1014.9831145531962,0.22473732634155363,0.002238428432284402,3.733189017005092e-05,6.63368461363234,2793,1.9820198815523327e-06,1.9820198815523327e-06,32,5.807194725093723e-07,3.303541561407996
wave1,w50_physics_s5,physics,5,50,4,True,val,A,1-5GeV,1535.9388988114197,130155.55279980422,2270.335303077455,0.6795948934282792,0.2853113378861551,0.0627072899269018,25.804742523524773,350,0.0007444257531519227,0.002909424121233517,19,0.0028088209010346255,7173.877347743397
