q,stratum,direction,n,n_converged,converged_frac,median_abs_dz_mm,endpoint_med_um,endpoint_p95_um,endpoint_mean_um,slope_err_med_mrad,median_n_eval,wall_s
10,500-2000 mm,-1,1012,1012,1.0,999.4919989535956,0.49184084515374593,7.889513510090026,3.6391920004826934,0.000936079008556634,48.0,19.80369960400276
10,full crossing,both,2000,2000,1.0,5174.685791015625,32.48775765919021,359.3093088742019,281.8934254533598,0.009832557774359235,50.0,39.66073356824927
10,full crossing,+1,1001,1001,1.0,5174.714111328125,38.275772778206374,463.8004238031499,381.2669853270604,0.01008617326631045,50.0,19.813793435692787
10,full crossing,-1,999,999,1.0,5174.636474609375,26.439865223636616,284.37280383547545,182.32091951384604,0.009550735147564882,50.0,19.846940132556483
12,0.05-0.2 mm,both,2000,2000,1.0,0.09822287894675868,1.4210854715202004e-11,2.2737367544323206e-10,4.1848399745525455e-11,3.469446951953614e-15,53.0,44.62043358013034
12,0.05-0.2 mm,+1,1017,1017,1.0,0.09751292959136826,1.4210854715202004e-11,2.2737367544323206e-10,4.061222024032206e-11,3.469446951953614e-15,53.0,22.760639471234754
12,0.05-0.2 mm,-1,983,983,1.0,0.0992307299534736,1.4210854715202004e-11,2.2737367544323206e-10,4.312733622242459e-11,3.469446951953614e-15,53.0,21.859794108895585
12,0.5-2 mm,both,2000,2000,1.0,0.9965707658995944,2.3447910280083306e-10,1.5063505998114124e-09,4.4111847334604715e-10,6.938893903907228e-14,53.0,43.49818932102062
12,0.5-2 mm,+1,1000,1000,1.0,1.002988498170338,2.2737367544323206e-10,1.4807710613240463e-09,4.240564531465818e-10,6.938893903907228e-14,53.0,21.679035995854065
12,0.5-2 mm,-1,1000,1000,1.0,0.9883814176955703,2.842170943040401e-10,1.5063505998114124e-09,4.581804935455125e-10,6.938893903907228e-14,53.0,21.819153325166553
12,5-20 mm,both,2000,2000,1.0,10.00463580137827,3.0198066269804258e-09,1.6609646991128097e-07,8.745788522557252e-08,9.43689570931383e-13,106.0,72.65324306022376
12,5-20 mm,+1,994,994,1.0,10.361438283999162,3.183231456205249e-09,2.587945857612764e-07,8.591964667682312e-08,9.992007221626409e-13,106.0,35.77013940224424
12,5-20 mm,-1,1006,1006,1.0,9.801871192095646,2.8990143619012088e-09,1.1058887139370199e-07,8.897777500435671e-08,8.777700788442644e-13,106.0,36.88310365797952
12,50-200 mm,both,2000,2000,1.0,101.91578686308067,9.707569859074283e-05,0.004200854621672076,0.0009605241059624792,2.0197648935293966e-06,54.0,62.45937519101426
12,50-200 mm,+1,968,968,1.0,103.91280090297384,9.727270366965968e-05,0.004857503841293461,0.001133602488973925,2.0671037737410303e-06,54.0,29.95799071388319
12,50-200 mm,-1,1032,1032,1.0,99.8375629761332,9.580055504443408e-05,0.0038069884912061954,0.0007981792660835261,1.9631846582407464e-06,54.0,32.50138447713107
12,500-2000 mm,both,2000,2000,1.0,997.8958374614399,0.39642504445769333,8.131103090079959,3.4514208808047977,0.0007273489494655228,56.0,46.407953711925074
12,500-2000 mm,+1,988,988,1.0,994.6021274047333,0.4403528389929079,8.636038927429011,4.385009867502452,0.0007461881289007322,56.0,22.977004290092736
12,500-2000 mm,-1,1012,1012,1.0,999.4919989535956,0.3440640323528754,7.697504572169563,2.5399723443845597,0.0007011904313708461,56.0,23.430949421832338
12,full crossing,both,2000,2000,1.0,5174.685791015625,41.50473707493252,338.71871090916403,190.58068840028776,0.0164296462000146,58.0,47.810638037044555
12,full crossing,+1,1001,1001,1.0,5174.714111328125,30.99988644885343,294.94993568107475,209.12760472358983,0.017051445007798538,58.0,23.89346222835593
12,full crossing,-1,999,999,1.0,5174.636474609375,53.86561497514464,349.59405430331543,171.99664111337546,0.01573460472010027,58.0,23.917175808688626
14,0.05-0.2 mm,both,2000,2000,1.0,0.09822287894675868,1.4210854715202004e-11,2.2737367544323206e-10,4.1848399745525455e-11,3.469446951953614e-15,61.0,49.94849974452518
14,0.05-0.2 mm,+1,1017,1017,1.0,0.09751292959136826,1.4210854715202004e-11,2.2737367544323206e-10,4.061222024032206e-11,3.469446951953614e-15,61.0,25.333208833355457
14,0.05-0.2 mm,-1,983,983,1.0,0.0992307299534736,1.4210854715202004e-11,2.2737367544323206e-10,4.312733622242459e-11,3.469446951953614e-15,61.0,24.615290911169723
14,0.5-2 mm,both,2000,2000,1.0,0.9965707658995944,2.3447910280083306e-10,1.5063505998114124e-09,4.3764924843869846e-10,6.938893903907228e-14,61.0,49.947211562655866
14,0.5-2 mm,+1,1000,1000,1.0,1.002988498170338,2.2737367544323206e-10,1.4807710613240463e-09,4.241132965654426e-10,6.938893903907228e-14,61.0,24.868034133454785
14,0.5-2 mm,-1,1000,1000,1.0,0.9883814176955703,2.842170943040401e-10,1.5063505998114124e-09,4.511852003119543e-10,6.938893903907228e-14,61.0,25.07917742920108
14,5-20 mm,both,2000,2000,1.0,10.00463580137827,3.0375701953744283e-09,1.4522285596285627e-07,8.466862919109808e-08,9.43689570931383e-13,122.0,91.0906593343243
14,5-20 mm,+1,994,994,1.0,10.361438283999162,3.183231456205249e-09,1.636941249216754e-07,8.201781345522367e-08,9.992007221626409e-13,122.0,45.1344362271484
14,5-20 mm,-1,1006,1006,1.0,9.801871192095646,2.9132252166164108e-09,5.6199489506525424e-08,8.728782485855252e-08,8.777700788442644e-13,122.0,45.9562231071759
14,50-200 mm,both,2000,2000,1.0,101.91578686308067,6.497721471987461e-05,0.0030137279040332032,0.0007564893524263927,1.5276589160340137e-06,62.0,60.04558453382924
14,50-200 mm,+1,968,968,1.0,103.91280090297384,6.777108296773804e-05,0.003159679168618368,0.0009293594137880517,1.63686753734682e-06,62.0,28.623854259494692
14,50-200 mm,-1,1032,1032,1.0,99.8375629761332,6.395021046046168e-05,0.002800124241275622,0.0005943399150251466,1.439738158554027e-06,62.0,31.42173027433455
14,500-2000 mm,both,2000,2000,1.0,997.8958374614399,0.30381715036753576,6.464453000443624,2.56505977051064,0.0005739953913780696,64.0,53.36829199595377
14,500-2000 mm,+1,988,988,1.0,994.6021274047333,0.3667629623222979,7.527408123905838,3.1050732325424506,0.0006214788252148495,64.0,26.359470413532108
14,500-2000 mm,-1,1012,1012,1.0,999.4919989535956,0.25958924781832593,5.800440362283154,2.037852951847172,0.0005325329643056376,64.0,27.00882158242166
14,full crossing,both,2000,2000,1.0,5174.685791015625,20.359926257235372,187.98141652389046,163.57096012325044,0.00775935623439347,66.0,52.661253940081224
14,full crossing,+1,1001,1001,1.0,5174.714111328125,22.70718689919704,237.97957335546016,191.24157983327603,0.007870428618217407,66.0,26.31404180941172
14,full crossing,-1,999,999,1.0,5174.636474609375,18.82161738535615,141.292819455042,135.84494377716877,0.007651268037593001,66.0,26.347212130669504
16,0.05-0.2 mm,both,2000,2000,1.0,0.09822287894675868,1.4210854715202004e-11,2.2737367544323206e-10,4.1848399745525455e-11,3.469446951953614e-15,69.0,55.17481688549742
16,0.05-0.2 mm,+1,1017,1017,1.0,0.09751292959136826,1.4210854715202004e-11,2.2737367544323206e-10,4.061222024032206e-11,3.469446951953614e-15,69.0,28.011139155132696
16,0.05-0.2 mm,-1,983,983,1.0,0.0992307299534736,1.4210854715202004e-11,2.2737367544323206e-10,4.312733622242459e-11,3.469446951953614e-15,69.0,27.163677730364725
16,0.5-2 mm,both,2000,2000,1.0,0.9965707658995944,2.3447910280083306e-10,1.5063505998114124e-09,4.351339271541077e-10,6.938893903907228e-14,69.0,58.22944378131069
16,0.5-2 mm,+1,1000,1000,1.0,1.002988498170338,2.2737367544323206e-10,1.4807710613240463e-09,4.2428382682202503e-10,6.938893903907228e-14,69.0,29.20157836843282
16,0.5-2 mm,-1,1000,1000,1.0,0.9883814176955703,2.842170943040401e-10,1.5063505998114124e-09,4.4598402748619037e-10,6.938893903907228e-14,69.0,29.027865412877873
16,5-20 mm,both,2000,2000,1.0,10.00463580137827,3.0127011996228248e-09,9.277414392272476e-08,4.8129726135104356e-08,9.43689570931383e-13,138.0,100.8608175010886
16,5-20 mm,+1,994,994,1.0,10.361438283999162,3.169020601490047e-09,1.5727437130408356e-07,4.9349869456967866e-08,9.992007221626409e-13,138.0,49.94791443203576
16,5-20 mm,-1,1006,1006,1.0,9.801871192095646,2.8848035071860068e-09,5.836042760165583e-08,4.69241372067422e-08,8.777700788442644e-13,138.0,50.912903069052845
16,50-200 mm,both,2000,2000,1.0,101.91578686308067,5.335092367886318e-05,0.002229087240390725,0.0005093492623667872,1.1201675845576298e-06,70.0,68.08852047449909
16,50-200 mm,+1,968,968,1.0,103.91280090297384,5.6353883337578736e-05,0.0024487517983118323,0.0006052529108559959,1.1462033822073892e-06,70.0,32.41489480994642
16,50-200 mm,-1,1032,1032,1.0,99.8375629761332,4.912199358386715e-05,0.0019271146921795391,0.0004193931269621807,1.0993831938560517e-06,70.0,35.673625664552674
16,500-2000 mm,both,2000,2000,1.0,997.8958374614399,0.2188800791174117,5.176016490249612,2.1461031141998084,0.0004259576614623617,72.0,63.97541126096621
16,500-2000 mm,+1,988,988,1.0,994.6021274047333,0.24854002641916395,5.912686987070965,2.4113903863313726,0.0004563042953695251,72.0,31.97143448004499
16,500-2000 mm,-1,1012,1012,1.0,999.4919989535956,0.1892629098136922,4.416208561010922,1.8871072398263053,0.00040587944663290215,72.0,32.00397678092122
16,full crossing,both,2000,2000,1.0,5174.685791015625,36.13365262393131,290.4315066906376,155.00453336062748,0.014360530689483397,74.0,59.86184077244252
16,full crossing,+1,1001,1001,1.0,5174.714111328125,19.99449310255841,192.6087089327666,148.39439893528694,0.014715904785744804,74.0,29.92705174139701
16,full crossing,-1,999,999,1.0,5174.636474609375,57.45444917170062,343.7386880040606,161.62790128832106,0.013953734376848104,74.0,29.93478903104551
18,0.05-0.2 mm,both,2000,2000,1.0,0.09822287894675868,1.4210854715202004e-11,2.2737367544323206e-10,4.1848399745525455e-11,3.469446951953614e-15,77.0,65.13374453852884
18,0.05-0.2 mm,+1,1017,1017,1.0,0.09751292959136826,1.4210854715202004e-11,2.2737367544323206e-10,4.061222024032206e-11,3.469446951953614e-15,77.0,33.24839332117699
18,0.05-0.2 mm,-1,983,983,1.0,0.0992307299534736,1.4210854715202004e-11,2.2737367544323206e-10,4.312733622242459e-11,3.469446951953614e-15,77.0,31.885351217351854
18,0.5-2 mm,both,2000,2000,1.0,0.9965707658995944,2.2737367544323206e-10,1.4793499758525273e-09,4.336897490436753e-10,6.938893903907228e-14,77.0,63.41278869495727
18,0.5-2 mm,+1,1000,1000,1.0,1.002988498170338,2.2737367544323206e-10,1.4807710613240463e-09,4.24177245411661e-10,6.938893903907228e-14,77.0,31.60733103612438
18,0.5-2 mm,-1,1000,1000,1.0,0.9883814176955703,2.828848266744899e-10,1.4793499758525273e-09,4.432022526756896e-10,6.938893903907228e-14,77.0,31.805457658832893
18,5-20 mm,both,2000,2000,1.0,10.00463580137827,3.0020430585864233e-09,7.706182358901964e-08,5.06357655527534e-08,9.43689570931383e-13,154.0,112.4419116047211
18,5-20 mm,+1,994,994,1.0,10.361438283999162,3.069544618483633e-09,9.796110589377307e-08,4.604864393889066e-08,9.992007221626409e-13,154.0,55.940764787374064
18,5-20 mm,-1,1006,1006,1.0,9.801871192095646,2.8990143619012088e-09,4.597211500367848e-08,5.5168170010188347e-08,8.777700788442644e-13,154.0,56.501146817347035
18,50-200 mm,both,2000,2000,1.0,101.91578686308067,4.2082538342924636e-05,0.0017947108648996837,0.00043189449999836427,9.095477565557175e-07,78.0,75.07364116609097
