tag,width,depth,q,mode,seed,n_train,n_parameters,converged,restarts,final_loss,wall_s,val_median_um,val_p95_um,val_stage_um,val_slope_mrad,val_rho,val_straight_um,test_median_um,test_p95_um,test_stage_um,test_slope_mrad,test_rho,test_straight_um
w256_d2_q02_physics_s2,256,2,2,physics,2,4002,70924,True,47,1.9184831853963308e-06,1111.9,0.6816348720946053,20845.07362768589,0.4869328312935295,0.2845449282739901,1.3165684927507395e-11,11.660928643891566,0.654697240449309,22686.051597654503,0.48356917031355806,0.3027660425925574,1.3309253393070796e-11,12.07131072872647
w256_d2_q04_data_s0,256,2,4,data,0,4002,72980,True,175,1.7593029225177284e-05,3816.6,0.1148528492436185,5247.036139433955,0.10351080811688007,0.17860329371653227,1.9003876604942e-12,11.660928643891566,0.10929212444210634,5327.776296281412,0.10023647650569956,0.1842555184522511,1.8917026782357327e-12,12.07131072872647
w256_d2_q04_data_s1,256,2,4,data,1,4002,72980,True,157,6.738150535415561e-06,4500.5,0.08755145707084466,4800.765959726089,0.08325100232298155,0.22442072610470015,2.5050784731449913e-12,11.660928643891566,0.08420275474207983,4656.8914892418825,0.07895098069177209,0.23166401026849517,2.310627823339097e-12,12.07131072872647
w256_d2_q04_data_s2,256,2,4,data,2,4002,72980,True,169,7.309741888688204e-06,3733.2,0.08260916030078391,5182.90158453183,0.0767827700300927,0.20076665279072145,2.1117776444430822e-12,11.660928643891566,0.08110200613486995,5101.64425259045,0.07699655887449808,0.20430280008090773,1.8975943599094205e-12,12.07131072872647
w256_d2_q04_physics_s0,256,2,4,physics,0,4002,72980,True,53,1.5176567796820027e-06,1349.8,0.6112288557034162,7163.658605320775,0.703936950287698,0.25288070499908477,1.1576943186962632e-11,11.660928643891566,0.6190183425474061,7288.71127078109,0.7122415759202028,0.265086941987909,1.3529187899323586e-11,12.07131072872647
w256_d2_q04_physics_s1,256,2,4,physics,1,4002,72980,True,44,1.82887145891604e-06,1110.9,0.821391411022887,7343.856014841036,0.7988742132969406,0.26273886238439326,1.810390924412484e-11,11.660928643891566,0.8010106735341083,7467.139801997079,0.739085854380761,0.28119185889419196,2.1070841360074563e-11,12.07131072872647
w256_d2_q04_physics_s2,256,2,4,physics,2,4002,72980,True,49,1.5963097681052578e-06,1607.9,0.7219816879313612,7340.724509783572,0.9579631235396846,0.2341650729746035,1.4094641875209522e-11,11.660928643891566,0.7463101429721064,7360.331211784729,0.9201153720255206,0.24440448347312627,1.660188919044192e-11,12.07131072872647
w256_d2_q06_data_s0,256,2,6,data,0,4002,75036,True,187,1.7752038507425803e-05,4128.4,0.11429689518038799,5374.479595648275,0.11237598604907362,0.1425091493305209,1.5610226202197045e-12,11.660928643891566,0.11160053923475743,5580.344945230832,0.11123722188699503,0.14388891065003467,1.430880876655763e-12,12.07131072872647
w256_d2_q06_data_s1,256,2,6,data,1,4002,75036,True,175,1.0540292979448816e-05,5014.1,0.11058416775711066,4963.495615711971,0.10935947571510951,0.15337660061677355,1.8150476978999632e-12,11.660928643891566,0.10202983889939787,5070.360068668528,0.10019552129847398,0.15809596797378492,1.4730967257630894e-12,12.07131072872647
w256_d2_q06_data_s2,256,2,6,data,2,4002,75036,True,173,1.1252148181720356e-05,6534.3,0.10311244508187656,5958.17541630579,0.10529146610593898,0.14398446539783288,1.7759918156056874e-12,11.660928643891566,0.10423434507345064,6028.458552257446,0.10581434730738692,0.1427828585904853,1.5784241086679735e-12,12.07131072872647
w256_d2_q06_physics_s0,256,2,6,physics,0,4002,75036,True,53,1.365097110668977e-06,1850.3,0.8055333596246328,2804.196171184372,1.1249947843339214,0.1796470623549101,1.6603786805363847e-11,11.660928643891566,0.7584678363705688,2833.7221456868097,1.06190352765978,0.18173061091007053,1.7844887743848186e-11,12.07131072872647
w256_d2_q06_physics_s1,256,2,6,physics,1,4002,75036,True,50,1.6383821028485796e-06,1324.2,0.6706589606899627,2983.2256541595043,1.1689962790910613,0.1708942063365776,1.4180613682404846e-11,11.660928643891566,0.7311075566747149,2955.853791068583,1.113196987290621,0.18048726433289064,1.646689348102176e-11,12.07131072872647
w256_d2_q06_physics_s2,256,2,6,physics,2,4002,75036,True,53,1.2294247738951137e-06,1827.2,0.7079400012628412,2709.0468325282254,1.0481209440484918,0.15849611152191773,1.558880518240909e-11,11.660928643891566,0.6726772116536495,2753.963284797666,0.9687332873475896,0.1690375776797065,1.6755233153881957e-11,12.07131072872647
w256_d2_q08_data_s0,256,2,8,data,0,4002,77092,True,168,1.1385733990967554e-05,4342.9,0.09153429972741378,5238.8159929727935,0.09955460046739972,0.1461025502517907,1.6849431030977282e-12,11.660928643891566,0.0926219572150444,5231.751219351117,0.09942938721962946,0.1522629413841861,1.7790572562114373e-12,12.07131072872647
w256_d2_q08_data_s1,256,2,8,data,1,4002,77092,True,149,5.889356336284714e-06,4751.0,0.0981704579317011,4694.569356592618,0.09617956970942032,0.18136427652257897,2.3646319743374523e-12,11.660928643891566,0.0887030136951239,4794.6887519902275,0.0918263100970762,0.190461979572577,2.4375583719706653e-12,12.07131072872647
w256_d2_q08_data_s2,256,2,8,data,2,4002,77092,True,165,7.364922540016235e-06,4811.4,0.08015928315785459,5182.014830059445,0.0805206887299903,0.16585206388855522,2.0931045676411862e-12,11.660928643891566,0.08531342864159797,5256.642861017994,0.08640094823775257,0.18111705932973876,2.0952170800834324e-12,12.07131072872647
w256_d2_q08_physics_s0,256,2,8,physics,0,4002,77092,True,49,1.5052765082805156e-06,1811.3,0.9349619009029198,2800.7287890499742,1.162472068358511,0.1594893848068761,1.8199337594268758e-11,11.660928643891566,0.8902927474121469,2661.1949575660556,1.0617951005187365,0.16963735704004362,1.9724259219863832e-11,12.07131072872647
w256_d2_q08_physics_s1,256,2,8,physics,1,4002,77092,True,53,1.2022409278825736e-06,2357.9,0.8507070157435237,2623.370674101579,1.0671345737556237,0.16069778841986543,1.9007716772394196e-11,11.660928643891566,0.8711315742999659,2523.107750927649,1.0626979448780105,0.16849397424451712,2.2788196848463522e-11,12.07131072872647
w256_d2_q08_physics_s2,256,2,8,physics,2,4002,77092,True,51,1.1372922687196593e-06,2188.8,0.8296785104526805,2709.69754955046,1.0260391191536655,0.1577095052921751,1.5661589147160084e-11,11.660928643891566,0.786576901589342,2522.6972757823733,1.0084061624979768,0.16646155449338318,1.762664647779525e-11,12.07131072872647
w256_d2_q10_data_s0,256,2,10,data,0,4002,79148,True,166,1.503196111578182e-05,5875.1,0.10596399281936897,5385.220289882841,0.113763185680682,0.10014195133829437,1.170191323141599e-12,11.660928643891566,0.10750157622041456,5175.039853940716,0.11316410870421123,0.09719418589397003,1.077399232127877e-12,12.07131072872647
w256_d2_q10_data_s1,256,2,10,data,1,4002,79148,True,166,1.5557873415701248e-05,5853.7,0.10294821635170592,5552.240984484368,0.1109512297192694,0.09876626447257592,9.86145085657757e-13,11.660928643891566,0.10304580881381753,5631.468364440649,0.10616308432531696,0.10399590229986065,9.082175249274687e-13,12.07131072872647
w256_d2_q10_data_s2,256,2,10,data,2,4002,79148,True,168,8.077500720280239e-06,5958.7,0.08421526400326229,5288.510062847368,0.08887148692693358,0.13584808948804897,1.4585413079525527e-12,11.660928643891566,0.07944953151195477,4853.616549467727,0.08168847031697624,0.1417286010544118,1.4113241071440027e-12,12.07131072872647
w256_d2_q10_physics_s0,256,2,10,physics,0,4002,79148,True,48,1.3862576233460927e-06,1703.0,0.8252714842953424,2650.936368882386,1.1186239528768738,0.17145252479064138,1.6557327718472963e-11,11.660928643891566,0.8684718567621985,2514.900193312084,1.080801327461245,0.17458389864163232,1.9099064008826447e-11,12.07131072872647
w256_d2_q10_physics_s1,256,2,10,physics,1,4002,79148,True,52,1.1844855791988375e-06,1348.6,0.9783652509476326,2619.147669375144,1.2998754599173878,0.14512905396098708,1.9562122195695984e-11,11.660928643891566,0.9364932668205483,2537.2127860215674,1.2451796479204802,0.15469940562518047,1.836644013497244e-11,12.07131072872647
w256_d2_q10_physics_s2,256,2,10,physics,2,4002,79148,True,50,1.1579932642511693e-06,1481.1,0.8112594196916234,2846.1341458362886,1.4578107516314276,0.15731251408834107,1.558294614942756e-11,11.660928643891566,0.7849113054021473,2642.1798980224303,1.3728812590585449,0.16237379031666144,1.7565856194401528e-11,12.07131072872647
w256_d2_q12_data_s0,256,2,12,data,0,4002,81204,True,149,1.666354555971241e-05,3545.4,0.10005783036604043,5191.966968223039,0.11419251515576434,0.10976890268805939,1.2261354135387307e-12,11.660928643891566,0.10656534527697659,5406.16046351195,0.1096068834556263,0.11058573783762071,1.334356048345548e-12,12.07131072872647
w256_d2_q12_data_s1,256,2,12,data,1,4002,81204,True,154,9.07717544000652e-06,4368.0,0.1036911977987387,5133.801700818944,0.1100724250235885,0.13702046636678358,1.618325031053863e-12,11.660928643891566,0.09978219363304675,5002.066346794511,0.10725238197473175,0.14122451906457834,1.8695065323949735e-12,12.07131072872647
w256_d2_q12_data_s2,256,2,12,data,2,4002,81204,True,161,9.54323730626269e-06,5104.6,0.10475355977490608,4669.0869466529,0.11460713532329692,0.12875654954055266,1.6992781742040509e-12,11.660928643891566,0.10413208391213402,4748.5066950598175,0.10965666493234494,0.13234790592111384,1.58662467028176e-12,12.07131072872647
w256_d2_q12_physics_s0,256,2,12,physics,0,4002,81204,True,58,1.1366450811997035e-06,2916.1,0.9834876129968251,2697.84140583982,1.2552420479607918,0.15161420275328075,1.737072036464527e-11,11.660928643891566,0.9094634020456738,2547.674290375701,1.2196597252156494,0.16152815450780345,1.7627657106930445e-11,12.07131072872647
