width,depth,q,mode,seed,split,stratum,direction,converged,median,p95,slope,rho,straight_line,n,tag
64,8,4,physics,1,test,0.05-0.2 mm,all,True,2.4783162189123686e-05,0.00024351124920940492,0.0020793327379330095,5.117746670001368e-17,0.0001305794636863311,2000,w64_d8_q04_physics_s1
64,8,4,physics,1,test,0.05-0.2 mm,forward,True,2.5473013920418452e-05,0.00024310395474458343,0.0019381274341326304,5.2269208328559434e-17,0.0001273499492526753,1017,w64_d8_q04_physics_s1
64,8,4,physics,1,test,0.05-0.2 mm,backward,True,2.4267478693218436e-05,0.00024348757108327845,0.0022176652237845818,5.084769268882209e-17,0.00013178674862501794,983,w64_d8_q04_physics_s1
64,8,4,physics,1,test,0.5-2 mm,all,True,0.0026592566513272686,0.022471779985266945,0.02020718165732932,5.6971436789986455e-15,0.013896570703053612,2000,w64_d8_q04_physics_s1
64,8,4,physics,1,test,0.5-2 mm,forward,True,0.00297271816407374,0.022521954615228875,0.018494484358436147,5.5999832517295264e-15,0.014008352798633439,1000,w64_d8_q04_physics_s1
64,8,4,physics,1,test,0.5-2 mm,backward,True,0.0024071581066209546,0.022292203226470513,0.02159892243560821,5.8752813911295644e-15,0.013845175832472023,1000,w64_d8_q04_physics_s1
64,8,4,physics,1,test,5-20 mm,all,True,0.22701885600895366,2.4672960597456495,0.12914260724397608,1.342947384845851e-12,1.4150646893398289,2000,w64_d8_q04_physics_s1
64,8,4,physics,1,test,5-20 mm,forward,True,0.3442337020498343,3.123721826041501,0.1244618698836384,2.6947925960419856e-12,1.4635983336042102,994,w64_d8_q04_physics_s1
64,8,4,physics,1,test,5-20 mm,backward,True,0.1721829674838915,1.3250789540570906,0.13198711002016666,6.731970585694123e-13,1.3915581564276636,1006,w64_d8_q04_physics_s1
64,8,4,physics,1,test,50-200 mm,all,True,10.57558959080751,55.84298240316342,0.08388241415111658,1.0570610768171185e-09,141.05070694597543,2000,w64_d8_q04_physics_s1
64,8,4,physics,1,test,50-200 mm,forward,True,19.34344701707147,74.38900755867051,0.08343676777729128,4.429112264423909e-09,143.455285236044,968,w64_d8_q04_physics_s1
64,8,4,physics,1,test,50-200 mm,backward,True,4.40552181817111,37.686330242701864,0.08431222812649991,2.63553192324681e-10,140.25341367157296,1032,w64_d8_q04_physics_s1
64,8,4,physics,1,test,500-2000 mm,all,True,211.9857883035774,2799.865468816174,0.27244195941164734,6.52899914594254e-07,15985.931709538963,2000,w64_d8_q04_physics_s1
64,8,4,physics,1,test,500-2000 mm,forward,True,210.43751490615037,2837.4475732773894,0.27752717718003234,5.812894138958196e-07,16359.267616175515,988,w64_d8_q04_physics_s1
64,8,4,physics,1,test,500-2000 mm,backward,True,212.75862162714532,2681.4111377243667,0.2683823594038723,7.522029426222347e-07,15658.961022059259,1012,w64_d8_q04_physics_s1
64,8,4,physics,1,test,full crossing,all,True,3434.808814541139,28518.384149400248,1.476062089799314,0.00015207030899956858,456075.1746171858,2000,w64_d8_q04_physics_s1
64,8,4,physics,1,test,full crossing,forward,True,4735.80281891077,41446.22149848328,1.5902660027306004,6.008746248669586e-05,461912.954381598,1001,w64_d8_q04_physics_s1
64,8,4,physics,1,test,full crossing,backward,True,2599.3913839565225,21630.005388049165,1.3910486327032012,0.00037198186844568214,449115.8207340198,999,w64_d8_q04_physics_s1
64,8,4,physics,2,val,all,all,True,2.3700849223722287,6495.972379668191,0.09087221604999092,6.083512894787995e-11,11.660928643891566,12000,w64_d8_q04_physics_s2
64,8,4,physics,2,val,all,forward,True,2.126079315928564,8327.742402916972,0.09551060969334793,4.569860747868583e-11,9.735130103429412,5984,w64_d8_q04_physics_s2
64,8,4,physics,2,val,all,backward,True,2.8656068791086398,4778.244936939452,0.08763534766940625,9.597287697719942e-11,16.376053191527795,6016,w64_d8_q04_physics_s2
64,8,4,physics,2,val,0.05-0.2 mm,all,True,4.001101672201912e-05,0.00026704634734642235,0.0019880565627211633,4.443327016886277e-17,0.00013977896173855697,2000,w64_d8_q04_physics_s2
64,8,4,physics,2,val,0.05-0.2 mm,forward,True,3.827642558462685e-05,0.00027087465213071477,0.0018590132952536753,3.646799438402221e-17,0.00013516631724996842,983,w64_d8_q04_physics_s2
64,8,4,physics,2,val,0.05-0.2 mm,backward,True,4.143387855037872e-05,0.00025927986939677794,0.00210267008511969,5.228076207898161e-17,0.0001464744912027527,1017,w64_d8_q04_physics_s2
64,8,4,physics,2,val,0.5-2 mm,all,True,0.00381136308647001,0.029786468276782316,0.020546100685414626,6.38309349112171e-15,0.013709354546698194,2000,w64_d8_q04_physics_s2
