arch,mode,q,slope_strata_0_4,slope_all_six
4x256,physics,12,1.8806337205187549,1.7149720852208643
4x256,physics,14,1.885994154850155,1.718350086961898
4x256,physics,16,1.8761362103102548,1.7183010974927637
4x256,physics,18,1.8747424420811252,1.7080354904372312
4x256,physics,20,1.8999716223006955,1.7249127684299577
4x256,data,2,2.1027429860782685,2.0186244731562093
4x256,data,4,2.0797385327908744,2.0133122444332066
4x256,data,6,2.087803781485501,1.996306393765976
4x256,data,8,2.0987569770698733,2.0134261636234236
4x256,data,10,2.092398663084454,2.0089966544767637
4x256,data,12,2.073345869779897,1.9966076476221066
4x256,data,14,2.0594017452084405,1.9998749970467005
4x256,data,16,2.035470080245124,1.9687773818860181
4x256,data,18,2.070626888503627,1.9961726463843448
4x256,data,20,2.0674545962325745,1.9907347187622024
4x32,physics,2,1.7990077832372295,1.8032285076528503
4x32,physics,4,1.8460332577861616,1.77929637206002
4x32,physics,6,1.8915118852269042,1.740737496772541
4x32,physics,8,1.8789087775233906,1.7317990040603235
4x32,physics,10,1.862580921586531,1.6980134574074148
4x32,physics,12,1.8801028745542663,1.7166174398299985
4x32,physics,14,1.891767433269276,1.747889211464914
4x32,physics,16,1.884632684150403,1.7267337475930349
4x32,physics,18,1.8603700615923449,1.7021364093280325
4x32,physics,20,1.815872352640382,1.6640481344076574
4x32,data,2,2.12435699632638,2.063621572730611
4x32,data,4,2.0432271419483596,2.012207151206343
4x32,data,6,2.0929683923672693,2.0433109898910513
4x32,data,8,2.130902668334053,2.071663028522871
4x32,data,10,2.067007596541116,2.0226406873013083
4x32,data,12,2.096922645583455,2.0545282889514622
4x32,data,14,2.081416754039577,2.0289901853304384
4x32,data,16,2.0699909748998366,2.0306711173845216
4x32,data,18,2.0725718866647274,2.0317914715788548
4x32,data,20,2.1018313797371264,2.0443535762603524
4x64,physics,2,1.8396857600812826,1.8296686373821245
4x64,physics,4,1.8656279215141713,1.802872935248477
4x64,physics,6,1.917260468973688,1.756841307935726
4x64,physics,8,1.7947003090633218,1.6358929855886437
4x64,physics,10,1.8319273860667937,1.662823642271931
4x64,physics,12,1.8313887752872793,1.6619407156861898
4x64,physics,14,1.8266723558216853,1.6609389479573398
4x64,physics,16,1.8922965838407089,1.7321083605342444
4x64,physics,18,1.836531569832754,1.6690913452243832
4x64,physics,20,1.8864928033167017,1.7184021358293238
4x64,data,2,2.083878064948931,2.0300619828586366
