tag,width,depth,q,mode,seed,wall_s,host,created
w128_d8_q10_data_s0,128,8,10,data,0,900.8,wn-knek-008.nikhef.nl,2026-09-08 13:42:53
w128_d8_q10_data_s1,128,8,10,data,1,930.6,wn-lot-044.nikhef.nl,2026-09-08 13:43:24
w128_d8_q10_data_s2,128,8,10,data,2,924.8,wn-lot-044.nikhef.nl,2026-09-08 13:43:18
w128_d8_q10_physics_s0,128,8,10,physics,0,899.7,wn-knek-007.nikhef.nl,2026-09-08 13:42:51
w128_d8_q10_physics_s1,128,8,10,physics,1,940.2,wn-lot-047.nikhef.nl,2026-09-08 13:43:31
w128_d8_q10_physics_s2,128,8,10,physics,2,968.3,wn-lot-064.nikhef.nl,2026-09-08 13:44:00
w128_d8_q12_data_s0,128,8,12,data,0,1093.8,wn-lot-004.nikhef.nl,2026-09-08 13:46:15
w128_d8_q12_data_s1,128,8,12,data,1,652,wn-lot-052.nikhef.nl,2026-09-08 13:38:54
w128_d8_q12_data_s2,128,8,12,data,2,1098.4,wn-sate-069.nikhef.nl,2026-09-08 13:46:21
w128_d8_q12_physics_s0,128,8,12,physics,0,935.9,wn-lot-038.nikhef.nl,2026-09-08 13:43:31
w128_d8_q12_physics_s1,128,8,12,physics,1,909,wn-knek-017.nikhef.nl,2026-09-08 13:43:05
w128_d8_q12_physics_s2,128,8,12,physics,2,920.5,wn-lot-037.nikhef.nl,2026-09-08 13:43:18
w128_d8_q14_data_s0,128,8,14,data,0,897.8,wn-knek-009.nikhef.nl,2026-09-08 13:43:01
w128_d8_q14_data_s1,128,8,14,data,1,927.5,wn-lot-047.nikhef.nl,2026-09-08 13:43:30
w128_d8_q14_data_s2,128,8,14,data,2,967.5,wn-lot-064.nikhef.nl,2026-09-08 13:44:10
w128_d8_q14_physics_s0,128,8,14,physics,0,1112.4,wn-sate-061.nikhef.nl,2026-09-08 13:46:36
w128_d8_q14_physics_s1,128,8,14,physics,1,917.5,wn-lot-045.nikhef.nl,2026-09-08 13:43:19
w128_d8_q14_physics_s2,128,8,14,physics,2,950.3,wn-lot-038.nikhef.nl,2026-09-08 13:43:52
w128_d8_q16_data_s0,128,8,16,data,0,948.5,wn-lot-049.nikhef.nl,2026-09-08 13:43:50
w128_d8_q16_data_s1,128,8,16,data,1,939.5,wn-lot-059.nikhef.nl,2026-09-08 13:43:42
w128_d8_q16_data_s2,128,8,16,data,2,927.6,wn-lot-048.nikhef.nl,2026-09-08 13:43:29
w128_d8_q16_physics_s0,128,8,16,physics,0,913.4,wn-knek-005.nikhef.nl,2026-09-08 13:43:17
w128_d8_q16_physics_s1,128,8,16,physics,1,959.8,wn-lot-055.nikhef.nl,2026-09-08 13:44:01
w128_d8_q16_physics_s2,128,8,16,physics,2,939,wn-lot-053.nikhef.nl,2026-09-08 13:43:41
w128_d8_q18_data_s0,128,8,18,data,0,945,wn-lot-057.nikhef.nl,2026-09-08 13:43:47
w128_d8_q18_data_s1,128,8,18,data,1,1147,wn-lot-004.nikhef.nl,2026-09-08 13:47:09
w128_d8_q18_data_s2,128,8,18,data,2,930.4,wn-lot-044.nikhef.nl,2026-09-08 13:43:32
w128_d8_q18_physics_s0,128,8,18,physics,0,938.9,wn-lot-044.nikhef.nl,2026-09-08 13:43:41
w128_d8_q18_physics_s1,128,8,18,physics,1,1109.4,wn-lot-004.nikhef.nl,2026-09-08 13:46:32
w128_d8_q18_physics_s2,128,8,18,physics,2,968.1,wn-lot-057.nikhef.nl,2026-09-08 13:44:10
w128_d8_q20_data_s0,128,8,20,data,0,957.3,wn-lot-049.nikhef.nl,2026-09-08 13:43:59
w128_d8_q20_data_s1,128,8,20,data,1,936.6,wn-lot-044.nikhef.nl,2026-09-08 13:43:39
w128_d8_q20_data_s2,128,8,20,data,2,942.8,wn-lot-053.nikhef.nl,2026-09-08 13:43:45
w128_d8_q20_physics_s0,128,8,20,physics,0,938.1,wn-lot-048.nikhef.nl,2026-09-08 13:43:40
w128_d8_q20_physics_s1,128,8,20,physics,1,940.6,wn-lot-059.nikhef.nl,2026-09-08 13:43:43
w128_d8_q20_physics_s2,128,8,20,physics,2,955.7,wn-lot-057.nikhef.nl,2026-09-08 13:43:58
w256_d2_q02_data_s0,256,2,2,data,0,629.8,wn-lot-057.nikhef.nl,2026-09-08 13:38:32
w256_d2_q02_data_s1,256,2,2,data,1,631.2,wn-lot-049.nikhef.nl,2026-09-08 13:38:33
w256_d2_q02_data_s2,256,2,2,data,2,751.1,wn-sate-061.nikhef.nl,2026-09-08 13:40:34
w256_d2_q02_physics_s0,256,2,2,physics,0,611.2,wn-lot-048.nikhef.nl,2026-09-08 13:38:13
w256_d2_q02_physics_s1,256,2,2,physics,1,635.7,wn-lot-055.nikhef.nl,2026-09-08 13:38:37
w256_d2_q02_physics_s2,256,2,2,physics,2,622.5,wn-lot-059.nikhef.nl,2026-09-08 13:38:24
w256_d2_q04_data_s0,256,2,4,data,0,454.3,wn-lot-062.nikhef.nl,2026-09-08 13:35:55
w256_d2_q04_data_s1,256,2,4,data,1,639.4,wn-lot-059.nikhef.nl,2026-09-08 13:39:07
w256_d2_q04_data_s2,256,2,4,data,2,652.4,wn-lot-049.nikhef.nl,2026-09-08 13:39:19
w256_d2_q04_physics_s0,256,2,4,physics,0,697.8,wn-lot-003.nikhef.nl,2026-09-08 13:39:48
w256_d2_q04_physics_s1,256,2,4,physics,1,777.1,wn-lot-004.nikhef.nl,2026-09-08 13:41:08
w256_d2_q04_physics_s2,256,2,4,physics,2,783.9,wn-lot-004.nikhef.nl,2026-09-08 13:41:20
w256_d2_q06_data_s0,256,2,6,data,0,661.9,wn-lot-057.nikhef.nl,2026-09-08 13:39:33
w256_d2_q06_data_s1,256,2,6,data,1,627.5,wn-lot-048.nikhef.nl,2026-09-08 13:38:58
w256_d2_q06_data_s2,256,2,6,data,2,611.1,wn-lot-050.nikhef.nl,2026-09-08 13:38:42
w256_d2_q06_physics_s0,256,2,6,physics,0,652.8,wn-lot-038.nikhef.nl,2026-09-08 13:39:21
w256_d2_q06_physics_s1,256,2,6,physics,1,635.8,wn-lot-046.nikhef.nl,2026-09-08 13:39:06
w256_d2_q06_physics_s2,256,2,6,physics,2,636.8,wn-lot-059.nikhef.nl,2026-09-08 13:39:06
w256_d2_q08_data_s0,256,2,8,data,0,624.2,wn-lot-046.nikhef.nl,2026-09-08 13:38:59
w256_d2_q08_data_s1,256,2,8,data,1,631.3,wn-lot-045.nikhef.nl,2026-09-08 13:39:05
w256_d2_q08_data_s2,256,2,8,data,2,652.6,wn-lot-049.nikhef.nl,2026-09-08 13:39:27
w256_d2_q08_physics_s0,256,2,8,physics,0,630.5,wn-lot-045.nikhef.nl,2026-09-08 13:39:02
w256_d2_q08_physics_s1,256,2,8,physics,1,654.1,wn-lot-038.nikhef.nl,2026-09-08 13:39:27
w256_d2_q08_physics_s2,256,2,8,physics,2,658.2,wn-lot-055.nikhef.nl,2026-09-08 13:39:32
w256_d2_q10_data_s0,256,2,10,data,0,675,wn-lot-055.nikhef.nl,2026-09-08 13:39:56
w256_d2_q10_data_s1,256,2,10,data,1,677,wn-lot-057.nikhef.nl,2026-09-08 13:40:21
w256_d2_q10_data_s2,256,2,10,data,2,653.6,wn-lot-053.nikhef.nl,2026-09-08 13:39:58
w256_d2_q10_physics_s0,256,2,10,physics,0,648.6,wn-lot-048.nikhef.nl,2026-09-08 13:39:27
w256_d2_q10_physics_s1,256,2,10,physics,1,658.9,wn-lot-057.nikhef.nl,2026-09-08 13:39:38
w256_d2_q10_physics_s2,256,2,10,physics,2,776.5,wn-lot-004.nikhef.nl,2026-09-08 13:41:39
w256_d2_q12_data_s0,256,2,12,data,0,669.5,wn-lot-049.nikhef.nl,2026-09-08 13:40:12
w256_d2_q12_data_s1,256,2,12,data,1,637.2,wn-lot-048.nikhef.nl,2026-09-08 13:39:41
w256_d2_q12_data_s2,256,2,12,data,2,686.6,wn-lot-064.nikhef.nl,2026-09-08 13:40:31
w256_d2_q12_physics_s0,256,2,12,physics,0,638.6,wn-knek-013.nikhef.nl,2026-09-08 13:39:43
w256_d2_q12_physics_s1,256,2,12,physics,1,623.8,wn-knek-008.nikhef.nl,2026-09-08 13:39:29
w256_d2_q12_physics_s2,256,2,12,physics,2,651.7,wn-lot-045.nikhef.nl,2026-09-08 13:39:55
w256_d2_q14_data_s0,256,2,14,data,0,655.3,wn-lot-047.nikhef.nl,2026-09-08 13:39:59
w256_d2_q14_data_s1,256,2,14,data,1,506.5,wn-lot-002.nikhef.nl,2026-09-08 13:37:34
w256_d2_q14_data_s2,256,2,14,data,2,650.1,wn-lot-047.nikhef.nl,2026-09-08 13:39:54
w256_d2_q14_physics_s0,256,2,14,physics,0,768.3,wn-lot-004.nikhef.nl,2026-09-08 13:41:52
w256_d2_q14_physics_s1,256,2,14,physics,1,670.7,wn-lot-038.nikhef.nl,2026-09-08 13:40:14
w256_d2_q14_physics_s2,256,2,14,physics,2,667.3,wn-lot-055.nikhef.nl,2026-09-08 13:40:09
w256_d2_q16_data_s0,256,2,16,data,0,661.1,wn-lot-047.nikhef.nl,2026-09-08 13:40:05
w256_d2_q16_data_s1,256,2,16,data,1,664.8,wn-lot-048.nikhef.nl,2026-09-08 13:40:09
w256_d2_q16_data_s2,256,2,16,data,2,670.1,wn-lot-055.nikhef.nl,2026-09-08 13:40:12
w256_d2_q16_physics_s0,256,2,16,physics,0,690.7,wn-lot-055.nikhef.nl,2026-09-08 13:40:32
w256_d2_q16_physics_s1,256,2,16,physics,1,678.8,wn-lot-038.nikhef.nl,2026-09-08 13:40:22
w256_d2_q16_physics_s2,256,2,16,physics,2,704,wn-lot-064.nikhef.nl,2026-09-08 13:40:48
w256_d2_q18_data_s0,256,2,18,data,0,570.2,wn-lot-058.nikhef.nl,2026-09-08 13:38:34
w256_d2_q18_data_s1,256,2,18,data,1,611.9,wn-lot-061.nikhef.nl,2026-09-08 13:39:31
w256_d2_q18_data_s2,256,2,18,data,2,799.4,wn-lot-004.nikhef.nl,2026-09-08 13:42:40
w256_d2_q18_physics_s0,256,2,18,physics,0,677.1,wn-lot-038.nikhef.nl,2026-09-08 13:40:21
w256_d2_q18_physics_s1,256,2,18,physics,1,687.5,wn-lot-049.nikhef.nl,2026-09-08 13:40:30
w256_d2_q18_physics_s2,256,2,18,physics,2,670.2,wn-lot-045.nikhef.nl,2026-09-08 13:40:14
w256_d2_q20_data_s0,256,2,20,data,0,634.4,wn-knek-003.nikhef.nl,2026-09-08 13:40:06
w256_d2_q20_data_s1,256,2,20,data,1,643.2,wn-knek-013.nikhef.nl,2026-09-08 13:40:16
w256_d2_q20_data_s2,256,2,20,data,2,654.4,wn-knek-013.nikhef.nl,2026-09-08 13:40:27
w256_d2_q20_physics_s0,256,2,20,physics,0,625.4,wn-lot-050.nikhef.nl,2026-09-08 13:39:54
w256_d2_q20_physics_s1,256,2,20,physics,1,645.7,wn-knek-009.nikhef.nl,2026-09-08 13:40:15
w256_d2_q20_physics_s2,256,2,20,physics,2,636.3,wn-knek-015.nikhef.nl,2026-09-08 13:40:07
