arch,mode,column,component,unit,median_abs,p95_abs,bias_over_rms,bias_over_median,p95_over_median,n_cells
2x32,physics,100 mm,y,um,4825.62,44209.2,0.0628115,0.25988,9.01898,30
2x32,physics,1000 mm,max_xy,um,5011.8,41100.8,nan,nan,8.19559,30
2x32,physics,1000 mm,tx,mrad,1.89519,17.0661,0.0421271,0.193963,9.75244,30
2x32,physics,1000 mm,ty,mrad,0.671043,7.30523,0.0533021,0.297444,11.0391,30
2x32,physics,1000 mm,x,um,4438.01,37244.6,0.0572265,0.281092,8.67845,30
2x32,physics,1000 mm,y,um,1750.72,18556.8,0.101054,0.604887,10.615,30
2x32,physics,full crossing,max_xy,um,1643.47,15864.8,nan,nan,9.88919,30
2x32,physics,full crossing,tx,mrad,0.389754,4.37128,0.0193091,0.109167,10.4372,30
2x32,physics,full crossing,ty,mrad,0.14157,2.12156,0.0357261,0.342148,14.6492,30
2x32,physics,full crossing,x,um,1466.76,14353.7,0.0308227,0.197987,9.97016,30
2x32,physics,full crossing,y,um,587.106,6314.85,0.023682,0.173081,11.58,30
2x64,data,0.1 mm,max_xy,um,129883,1.54742e+06,nan,nan,12.7349,30
2x64,data,0.1 mm,tx,mrad,54.8419,617.485,0.0791403,0.297666,12.0866,30
2x64,data,0.1 mm,ty,mrad,0.691769,13.4026,0.0615056,0.986158,22.0809,30
2x64,data,0.1 mm,x,um,129883,1.54742e+06,0.0798076,0.419638,12.7349,30
2x64,data,0.1 mm,y,um,2138.2,44506.9,0.0394208,0.638676,21.295,30
2x64,data,1 mm,max_xy,um,16593.5,449704,nan,nan,22.4144,30
2x64,data,1 mm,tx,mrad,6.06335,168.562,0.0468417,0.664023,21.8627,30
2x64,data,1 mm,ty,mrad,0.500725,12.1867,0.0488529,0.687596,24.7344,30
2x64,data,1 mm,x,um,15918,449704,0.0714528,1.28241,23.9779,30
2x64,data,1 mm,y,um,1828.81,42914.2,0.0205061,0.214463,23.0911,30
2x64,data,10 mm,max_xy,um,8410.02,114343,nan,nan,14.8631,30
2x64,data,10 mm,tx,mrad,2.89083,46.4839,0.0578352,0.717792,16.0447,30
2x64,data,10 mm,ty,mrad,0.473638,11.9391,0.0407911,0.521828,24.277,30
2x64,data,10 mm,x,um,7349.2,109556,0.0882429,1.09539,17.0801,30
2x64,data,10 mm,y,um,1754.14,41933.2,0.0351079,0.439045,23.9485,30
2x64,data,100 mm,max_xy,um,7749.51,111796,nan,nan,14.4373,30
2x64,data,100 mm,tx,mrad,2.6566,40.5187,0.0544449,0.757269,16.3521,30
2x64,data,100 mm,ty,mrad,0.459234,11.7366,0.038271,0.647859,25.4243,30
2x64,data,100 mm,x,um,6599.97,110487,0.0876699,1.5564,17.1623,30
2x64,data,100 mm,y,um,1733.62,42041.6,0.0358451,0.653218,24.616,30
2x64,data,1000 mm,max_xy,um,8711.81,112366,nan,nan,13.3527,30
2x64,data,1000 mm,tx,mrad,2.60533,40.7505,0.0424123,0.43041,15.895,30
2x64,data,1000 mm,ty,mrad,0.482737,11.6569,0.0453975,0.566443,24.1932,30
2x64,data,1000 mm,x,um,7538.74,109132,0.0482471,0.658874,15.1846,30
2x64,data,1000 mm,y,um,1743.54,41809.8,0.0209324,0.326117,24.022,30
2x64,data,full crossing,max_xy,um,9469.26,111892,nan,nan,11.7852,30
2x64,data,full crossing,tx,mrad,2.73983,42.864,0.0352428,0.504779,15.4012,30
2x64,data,full crossing,ty,mrad,0.46218,11.2647,0.0453815,0.602812,25.158,30
2x64,data,full crossing,x,um,8350.13,110196,0.0553484,0.583519,13.292,30
2x64,data,full crossing,y,um,1871.59,42471.9,0.0334751,0.579733,21.9647,30
2x64,physics,0.1 mm,max_xy,um,390577,1.14374e+06,nan,nan,2.97492,30
2x64,physics,0.1 mm,tx,mrad,140.225,459.326,0.0415614,0.0662765,3.17449,30
2x64,physics,0.1 mm,ty,mrad,2.34814,24.6153,0.110282,0.527843,10.7689,30
2x64,physics,0.1 mm,x,um,390577,1.14374e+06,0.144408,0.220393,2.97492,30
2x64,physics,0.1 mm,y,um,6407.78,65115.8,0.0914031,0.4279,11.7769,30
2x64,physics,1 mm,max_xy,um,386520,1.16641e+06,nan,nan,3.06867,30
2x64,physics,1 mm,tx,mrad,136.045,458.207,0.0441936,0.0836225,3.30949,30
2x64,physics,1 mm,ty,mrad,2.45334,23.9861,0.124306,0.593486,10.4516,30
2x64,physics,1 mm,x,um,386520,1.16641e+06,0.176627,0.266011,3.06867,30
2x64,physics,1 mm,y,um,6257.1,70129.4,0.121206,0.673537,11.6546,30
2x64,physics,10 mm,max_xy,um,332192,1.00078e+06,nan,nan,3.11159,30
2x64,physics,10 mm,tx,mrad,115.46,396.961,0.0452335,0.0743579,3.35774,30
2x64,physics,10 mm,ty,mrad,2.20769,22.0402,0.113148,0.503605,10.4055,30
2x64,physics,10 mm,x,um,332192,1.00078e+06,0.177034,0.267685,3.11159,30
2x64,physics,10 mm,y,um,5920.42,65346.2,0.127157,0.717669,11.5773,30
2x64,physics,100 mm,max_xy,um,24767.3,116850,nan,nan,5.01764,30
2x64,physics,100 mm,tx,mrad,7.84074,41.1376,0.0820456,0.254901,5.48619,30
2x64,physics,100 mm,ty,mrad,1.31375,11.2034,0.0457462,0.187333,9.34003,30
2x64,physics,100 mm,x,um,23579.5,113910,0.120497,0.368322,5.14225,30
