example,evt,mckey,N,q,plane,z_mm,dx_um,dy_um,dtx_mrad,dty_mrad
p25,0,7004,128,7,7,2931.3609374999996,-17.511093237288833,-1.0869577331078517,0.001050058868051762,0.01127890224961528
p25,0,7004,128,7,8,2971.8125,-20.670579110657172,-1.0779371794171766,0.0020159522145721254,0.013565410136986977
p25,0,7004,128,7,9,3012.2640625,-23.89952687110508,-0.9973467541328773,0.0034620022879502943,0.015965354287418576
p25,0,7004,128,7,10,3052.715625,-27.557970962817535,-0.8690826314534661,0.004950156751275248,0.018787703111568244
p25,0,7004,128,7,11,3093.1671874999997,-31.208869598899014,-0.7168333106761793,0.006922940488776619,0.021871287641340997
p25,0,7004,128,7,12,3133.6187499999996,-34.94590800275432,-0.6171343409988594,0.009349365448677038,0.024280898308873256
p25,0,7004,128,7,13,3174.0703125,-38.782257129980735,-0.4607742109925539,0.011140918937647959,0.026521551565954204
p25,0,7004,128,7,14,3214.521875,-42.96519595470727,0.1841456667506236,0.013369150264629787,0.030535153494944123
p25,0,7004,128,7,15,3254.9734375,-46.66559016055771,1.00390367023806,0.017769766560950945,0.0334026062992418
p25,0,7004,128,7,16,3295.4249999999997,-50.48143061792132,1.8499137176348768,0.022133716845923468,0.0365932103439659
p25,0,7004,128,7,17,3335.8765624999996,-54.46755558935479,2.79087023733382,0.02689643036329209,0.04008374636368592
p25,0,7004,128,7,18,3376.328125,-58.54940728738711,3.853012462130323,0.03210813239453922,0.04352480805656922
p25,0,7004,128,7,19,3416.7796875,-62.04283859308646,5.043059134436589,0.037988494200173056,0.046671642673978136
p25,0,7004,128,7,20,3457.23125,-65.63793012908548,6.336208537263133,0.04391777405239605,0.05043854484043653
p25,0,7004,128,7,21,3497.6828124999997,-69.3330813277413,7.68573279108864,0.04976521835163908,0.05376877135726196
p25,0,7004,128,7,22,3538.1343749999996,-72.70507685724681,9.14927859223269,0.05566163842207761,0.057792401913749764
p25,0,7004,128,7,23,3578.5859375,-76.18342026509595,10.810444367095329,0.061914657159333614,0.06190604437212449
p25,0,7004,128,7,24,3619.0375,-79.46866229541172,12.538263698544938,0.06805654216931328,0.06571963257414812
p25,0,7004,128,7,25,3659.4890625,-82.41302512232096,14.42278218979709,0.07411843122758985,0.06949540075365176
p25,0,7004,128,7,26,3699.940625,-85.32158911410193,16.403607481464633,0.08084014563829178,0.07268543617959186
p25,0,7004,128,7,27,3740.3921874999996,-88.34184723940552,18.49112085993454,0.09023809481549863,0.07590632307616363
p25,0,7004,128,7,28,3780.84375,-90.8258308572556,20.771836924410536,0.09712251199439637,0.07938168343194288
p25,0,7004,128,7,29,3821.2953125,-93.1081338450781,23.052488229396317,0.10237942162302782,0.0832040301865164
p25,0,7004,128,7,30,3861.746875,-95.81840608552739,25.482543798688084,0.1109254791348685,0.08704778256493281
p25,0,7004,128,7,31,3902.1984375,-98.81852183991668,28.0436625888143,0.12043271131686323,0.09064848197406356
p25,0,7004,128,7,32,3942.6499999999996,-100.50222323411617,30.869937656518687,0.12819966420384715,0.0945879041992087
p25,0,7004,128,7,33,3983.1015625,-103.21440128154791,33.77520598240835,0.13976816005630693,0.09775683964317189
p25,0,7004,128,7,34,4023.553125,-104.84891216239589,36.959329932486185,0.15213771029538511,0.10163057945557219
p25,0,7004,128,7,35,4064.0046875,-106.056372866135,40.38524517820008,0.16622087131697855,0.10541930843319461
