N,q,variable,lo,hi,n,pos_med_um,pos_p90_um,dx_med_um,dy_med_um,dtx_med_mrad,dty_med_mrad
4,5,abs_x1_mm,150,300,296,163.3826620611103,707.4466451180967,146.20505640979786,71.91518116179907,0.159619069265593,0.021564324672632487
4,5,abs_x1_mm,300,600,368,177.03013071063367,569.038086658054,155.53457375250446,80.55754215735544,0.11947593405441798,0.025149686433531895
4,5,abs_x1_mm,600,1000,280,247.6737406934717,974.6394596247453,209.88935019624932,139.3786796250147,0.09798898866505978,0.05922287480854358
4,5,abs_x1_mm,1000,2000,257,413.00930354350385,1540.4470095959368,328.19994876240344,197.37682363262365,0.17383074171020696,0.08447756639799048
4,5,abs_x1_mm,2000,4000,34,1386.984611771254,3555.850581944031,925.738490456979,1169.453633129251,0.2730703368188925,0.3473723675137749
4,5,abs_y1_mm,0,100,240,156.66607843459968,501.85210266363345,144.0285414402922,61.78233587840154,0.14476786924325774,0.020865809446288762
4,5,abs_y1_mm,100,300,575,160.32785281964834,633.243429745153,142.41262767916396,80.4850889258546,0.14113313959951412,0.026277178304046772
4,5,abs_y1_mm,300,600,330,247.59135324082138,875.3386631443742,206.25305751139632,107.97526265571378,0.13046402665223278,0.03871182683758828
4,5,abs_y1_mm,600,1000,205,477.10977410747546,1851.621259293574,416.00737498828266,287.15222868424917,0.11108736949300146,0.12018205074276755
4,5,abs_y1_mm,1000,3000,102,1110.8430203991643,6349.603026413935,793.5151777215879,840.9681548184835,0.33082244309262654,0.2941192684904198
4,5,max_slope0,0,0.02,192,134.83862316319772,314.4975277245125,124.624873206713,31.6953279018648,0.14719177722984783,0.01788397146304868
4,5,max_slope0,0.02,0.05,518,153.55975661009325,337.13912264185245,138.02379758692496,69.80644425397031,0.1333756854887888,0.02302233870168577
4,5,max_slope0,0.05,0.1,382,247.59135324082138,642.5465122957578,208.43928779681374,125.05498042617091,0.11918533318099056,0.046048068828644095
4,5,max_slope0,0.1,0.2,311,587.7863789482856,1879.007383782323,436.08351191551264,336.93067004890054,0.17905493076927903,0.1458783649763984
4,5,max_slope0,0.2,0.4,49,2638.1592625311896,8552.867966336258,1713.348297976836,2030.5809114322528,0.6343742859169499,0.5829408351850571
4,5,charge,-1.5,0,713,220.61802278392406,1196.2410152321825,192.64999586425802,81.78898123401268,0.13146806755887086,0.02846655456033298
4,5,charge,0,1.5,739,204.62402143596137,1087.5280773416623,176.89827091550114,119.75611697499744,0.14758238947173985,0.04143705856226795
4,5,abs_pid,0,212,1137,211.8070242685235,1058.0972537684372,178.76911726227718,103.23653486710782,0.13651541520959265,0.032874023277860986
4,5,abs_pid,212,322,163,196.01173562460872,1151.2087411121684,184.51295698832837,97.85391431509538,0.1580025811752095,0.031436208065838134
4,5,abs_pid,322,2213,152,239.70845659539464,1534.7364721905365,200.24082254960263,132.3024409186644,0.17001505370062114,0.04930408748868298
16,15,p_gev,1,2,5,8267.05771832485,11788.861240292976,8267.05771832485,3894.041116306198,1.8107895892064407,0.8845575208619753
16,15,p_gev,2,5,500,1021.3159878569513,3044.169803385792,922.2798685623488,397.2622211499299,0.38896074057093166,0.1362485773253111
16,15,p_gev,5,10,430,555.323513195269,1516.828032945091,490.6791646372426,227.78105052223907,0.21388664107055422,0.05915847372241906
16,15,p_gev,10,25,383,618.4652460430016,1186.0950258279786,618.4652460430016,138.50134534837366,0.13894297311516784,0.027149569046893557
16,15,p_gev,25,200,134,1835.7834703131743,9356.819280947739,1835.7834703131743,41.12380888974698,0.8235143214389353,0.027747492434682282
16,15,eta,2,2.5,158,2091.8590714811103,7812.166890270239,1649.4534479186314,1163.137220462204,0.6454280513911448,0.44231980871421717
16,15,eta,2.5,3,255,1120.361592063773,2375.1900188875084,1060.1637455478112,465.7594137254364,0.3939689067797847,0.12318525688644055
16,15,eta,3,3.5,292,746.6515967996372,1626.7561822527064,730.5076503128589,270.16984736475536,0.23775678705394848,0.06820870243786151
16,15,eta,3.5,4,302,586.0944552509721,1186.8886369289303,564.9740119143587,129.17179572593795,0.19811422086984076,0.03619274723333076
16,15,eta,4,4.5,249,516.5644346885756,2640.5755343897763,508.87804399332026,111.17018107013976,0.17695422118418902,0.03172781905560508
16,15,eta,4.5,5,196,512.7949446159619,2884.646836148001,512.7949446159619,98.82399100257544,0.18436038706119012,0.02599885301818837
16,15,r1_mm,0,150,21,1152.7612620648283,9368.665312824021,1152.7612620648283,50.608946150020984,0.31561661207589464,0.030149843662789083
16,15,r1_mm,150,300,267,743.5691860792559,4447.633733480501,743.5691860792559,78.56536081737886,0.22161285458532215,0.024398570552839477
16,15,r1_mm,300,600,398,590.579980684538,1330.7486843184563,559.0931777222607,169.63833483265623,0.15534167653040443,0.04248847781612979
16,15,r1_mm,600,1000,336,535.201019460942,1184.860928297514,473.74494873352546,222.34125902059532,0.23156779759323648,0.05862337224556754
16,15,r1_mm,1000,1500,264,1076.6223597528892,2512.9048574248372,960.4499622513458,351.81959041722166,0.32404240421371466,0.13234968749165424
