tag,width,depth,q,mode,seed,stratum,direction,component,unit,median_abs,p95_abs,mean,rms,n
w128_d2_q02_data_s1,128,2,2,data,1,all,backward,ty,mrad,0.00967761,2.35383,-0.123314,1.95435,6032
w128_d2_q02_data_s1,128,2,2,data,1,all,backward,max_xy,um,0.206904,9159.48,2162.54,10812.7,6032
w128_d2_q02_data_s1,128,2,2,data,1,0.05-0.2 mm,all,x,um,7.22139e-07,1.62371e-05,6.46982e-08,1.25163e-05,2000
w128_d2_q02_data_s1,128,2,2,data,1,0.05-0.2 mm,all,y,um,7.00437e-07,1.05583e-05,4.04662e-07,7.36874e-06,2000
w128_d2_q02_data_s1,128,2,2,data,1,0.05-0.2 mm,all,tx,mrad,0.00322632,0.0380849,0.00107387,0.0204747,2000
w128_d2_q02_data_s1,128,2,2,data,1,0.05-0.2 mm,all,ty,mrad,2.01673e-05,0.000475877,-6.72763e-06,0.000295391,2000
w128_d2_q02_data_s1,128,2,2,data,1,0.05-0.2 mm,all,max_xy,um,1.18899e-06,1.91915e-05,4.74132e-06,1.35196e-05,2000
w128_d2_q02_data_s1,128,2,2,data,1,0.05-0.2 mm,forward,x,um,6.92239e-07,1.57677e-05,2.13541e-07,1.30678e-05,1017
w128_d2_q02_data_s1,128,2,2,data,1,0.05-0.2 mm,forward,y,um,6.9787e-07,1.00658e-05,3.50728e-07,7.78313e-06,1017
w128_d2_q02_data_s1,128,2,2,data,1,0.05-0.2 mm,forward,tx,mrad,0.00268171,0.0381275,0.00168586,0.0198146,1017
w128_d2_q02_data_s1,128,2,2,data,1,0.05-0.2 mm,forward,ty,mrad,2.0232e-05,0.00045335,4.48675e-06,0.000267675,1017
w128_d2_q02_data_s1,128,2,2,data,1,0.05-0.2 mm,forward,max_xy,um,1.15881e-06,1.80078e-05,4.69383e-06,1.42419e-05,1017
w128_d2_q02_data_s1,128,2,2,data,1,0.05-0.2 mm,backward,x,um,7.57723e-07,1.67118e-05,-8.92929e-08,1.19189e-05,983
w128_d2_q02_data_s1,128,2,2,data,1,0.05-0.2 mm,backward,y,um,7.01618e-07,1.09127e-05,4.60461e-07,6.91394e-06,983
w128_d2_q02_data_s1,128,2,2,data,1,0.05-0.2 mm,backward,tx,mrad,0.00382763,0.0379197,0.0004407,0.0211359,983
w128_d2_q02_data_s1,128,2,2,data,1,0.05-0.2 mm,backward,ty,mrad,1.97145e-05,0.000494406,-1.83299e-05,0.00032156,983
w128_d2_q02_data_s1,128,2,2,data,1,0.05-0.2 mm,backward,max_xy,um,1.20522e-06,2.01194e-05,4.79046e-06,1.27293e-05,983
w128_d2_q02_data_s1,128,2,2,data,1,0.5-2 mm,all,x,um,8.36275e-05,0.00166535,-1.06715e-05,0.00144701,2000
w128_d2_q02_data_s1,128,2,2,data,1,0.5-2 mm,all,y,um,6.42212e-05,0.00111647,4.60086e-05,0.000759796,2000
w128_d2_q02_data_s1,128,2,2,data,1,0.5-2 mm,all,tx,mrad,0.0231597,0.394571,0.00102891,0.224814,2000
w128_d2_q02_data_s1,128,2,2,data,1,0.5-2 mm,all,ty,mrad,0.000216263,0.00457177,0.000169559,0.00368866,2000
w128_d2_q02_data_s1,128,2,2,data,1,0.5-2 mm,all,max_xy,um,0.000122084,0.00196297,0.000491784,0.0014981,2000
w128_d2_q02_data_s1,128,2,2,data,1,0.5-2 mm,forward,x,um,8.38722e-05,0.00169593,-5.08676e-05,0.00152156,1000
w128_d2_q02_data_s1,128,2,2,data,1,0.5-2 mm,forward,y,um,6.2054e-05,0.00113405,5.04145e-05,0.000831426,1000
w128_d2_q02_data_s1,128,2,2,data,1,0.5-2 mm,forward,tx,mrad,0.0168991,0.322756,0.00173215,0.187071,1000
w128_d2_q02_data_s1,128,2,2,data,1,0.5-2 mm,forward,ty,mrad,0.000193518,0.00399341,0.000196699,0.00335472,1000
w128_d2_q02_data_s1,128,2,2,data,1,0.5-2 mm,forward,max_xy,um,0.000121116,0.00204643,0.000500932,0.00158208,1000
w128_d2_q02_data_s1,128,2,2,data,1,0.5-2 mm,backward,x,um,8.33516e-05,0.00166129,2.95246e-05,0.00136842,1000
