predictor,column,direction,component,reference,unit,median_abs,p95_abs,mean,rms,n
reference floor,full crossing,forward,max_xy,fine,um,5e-05,nan,nan,nan,500
straight line,full crossing,backward,x,fine,um,466149,1.31442e+06,107324,679334,500
straight line,full crossing,backward,y,fine,um,2167.64,60797.1,-419.521,23355.3,500
straight line,full crossing,backward,tx,fine,mrad,182.635,491.601,-41.2537,260.045,500
straight line,full crossing,backward,ty,fine,mrad,0.332125,10.5099,0.157244,4.81175,500
straight line,full crossing,backward,max_xy,fine,um,466149,1.31442e+06,559523,679334,500
straight line,full crossing,backward,x,hit,um,471927,1.32162e+06,107744,682000,500
straight line,full crossing,backward,y,hit,um,2575.01,64410.3,-342.935,23868.2,500
straight line,full crossing,backward,tx,hit,mrad,184.508,494.187,-41.4479,261.22,500
straight line,full crossing,backward,ty,hit,mrad,0.652316,11.911,0.109111,5.17532,500
straight line,full crossing,backward,max_xy,hit,um,471927,1.32162e+06,561207,682000,500
material floor,full crossing,backward,x,fine,um,808.045,9017.08,-419.833,3993.37,500
material floor,full crossing,backward,y,fine,um,592.405,3338.05,-76.5864,2603.7,500
material floor,full crossing,backward,tx,fine,mrad,0.39528,3.66427,0.194194,1.64084,500
material floor,full crossing,backward,ty,fine,mrad,0.265942,1.36488,0.0481325,1.55392,500
material floor,full crossing,backward,max_xy,fine,um,1327.2,9273.71,2567.42,4609.29,500
reference floor,full crossing,backward,x,fine,um,5e-05,nan,nan,nan,500
reference floor,full crossing,backward,y,fine,um,5e-05,nan,nan,nan,500
reference floor,full crossing,backward,tx,fine,mrad,nan,nan,nan,nan,500
reference floor,full crossing,backward,ty,fine,mrad,nan,nan,nan,nan,500
reference floor,full crossing,backward,max_xy,fine,um,5e-05,nan,nan,nan,500
