rank,tag,arch,width,depth,q,mode,seed,best_column,best_median_um,single_step_full_crossing_um,n_parameters,multiply_adds,col_0.1_mm,col_1_mm,col_10_mm,col_100_mm,col_1000_mm,col_full_crossing
394,w128_d4_q10_data_s1,4x128,128,4,10,data,1,10 mm,2643.82,2517.68,56236,55680,222492,3158.32,2643.82,3289.84,3381.7,2873.4
395,w128_d4_q16_data_s2,4x128,128,4,16,data,2,full crossing,2655.98,1950.48,59332,58752,67032.6,4500.77,2876.93,3805.82,4600.43,2655.98
396,w64_d8_q04_physics_s2,8x64,64,8,4,physics,2,1000 mm,2668.14,3477.35,30932,30400,240988,247038,170268,7643.62,2668.14,3616.78
397,w256_d8_q02_physics_s1,8x256,256,8,2,physics,1,1000 mm,2673.06,9676.25,465676,463616,102817,105010,73698.8,12225.2,2673.06,10704.2
398,w128_d4_q02_physics_s1,4x128,128,4,2,physics,1,1000 mm,2687,9722.85,52108,51584,218924,206570,159900,10839.6,2687,10330.4
399,w256_d8_q04_physics_s1,8x256,256,8,4,physics,1,1000 mm,2692.12,3533.38,467732,465664,83880.8,82915.2,63995.5,9696.98,2692.12,3713.59
400,w256_d8_q04_physics_s2,8x256,256,8,4,physics,2,1000 mm,2701.44,3533.38,467732,465664,69782.4,67642.2,50375.9,8957.41,2701.44,3689.08
401,w128_d4_q10_data_s0,4x128,128,4,10,data,0,full crossing,2705.56,2517.68,56236,55680,114730,3149.04,2992.47,3114.69,3726.8,2705.56
402,w128_d8_q04_physics_s2,8x128,128,8,4,physics,2,1000 mm,2721.64,3531.85,119188,118144,166063,159867,108596,10880.4,2721.64,3742.25
403,w256_d8_q02_physics_s0,8x256,256,8,2,physics,0,1000 mm,2799.72,9676.25,465676,463616,52720.1,48009.3,37205.6,12114.1,2799.72,10570.6
404,w64_d4_q04_physics_s2,4x64,64,4,4,physics,2,1000 mm,2807.64,3582.47,14292,14016,222720,250587,192212,16577.3,2807.64,3634.83
405,w32_d4_q02_physics_s1,4x32,32,4,2,physics,1,1000 mm,2817.28,9887.95,3820,3680,381838,375679,253324,11535,2817.28,10253.2
