tag,width,depth,q,mode,seed,column,direction,component,reference,unit,median_abs,p95_abs,mean,rms,n,n_steps
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,forward,max_xy,hit,um,5062.69,45190.4,12403.3,27052.2,500,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,backward,x,fine,um,2296.03,47028.2,1179.83,21006.7,500,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,backward,y,fine,um,1522.71,32664.9,-807.332,13749,500,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,backward,tx,fine,mrad,0.973531,22.794,-1.46683,23.9924,500,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,backward,ty,fine,mrad,0.563168,10.0705,-0.327171,6.58044,500,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,backward,max_xy,fine,um,3404.46,52111.1,11229.7,22742.7,500,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,backward,x,hit,um,2908.5,44098,1599.66,21435.2,500,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,backward,y,hit,um,1783.2,35789.8,-730.746,14253.3,500,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,backward,tx,hit,mrad,1.0614,21.7622,-1.66103,24.0735,500,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,backward,ty,hit,mrad,0.70603,9.94267,-0.375303,6.82654,500,1
w128_d2_q02_data_s0,128,2,2,data,0,full crossing,backward,max_xy,hit,um,4125.79,56286.5,12093.5,23517.6,500,1
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,all,x,fine,um,391827,3.1883e+06,-66849.2,1.53415e+06,500,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,all,y,fine,um,4538.67,284485,-14252.7,108833,500,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,all,tx,fine,mrad,159.182,1294.7,63.0653,601.325,500,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,all,ty,fine,mrad,1.76929,112.514,6.59123,46.4602,500,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,all,max_xy,fine,um,391827,3.1883e+06,838986,1.53415e+06,500,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,all,x,hit,um,391287,3.19574e+06,-66198.4,1.53603e+06,500,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,all,y,hit,um,5128.96,284285,-14402.9,109268,500,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,all,tx,hit,mrad,160.116,1300.77,63.1413,602.093,500,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,all,ty,hit,mrad,1.95561,112.684,6.55075,46.5273,500,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,all,max_xy,hit,um,391287,3.19574e+06,840573,1.53603e+06,500,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,forward,x,fine,um,332198,2.12941e+06,69665.4,982890,250,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,forward,y,fine,um,2599.71,37022.2,877.137,17517.5,250,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,forward,tx,fine,mrad,123.866,794.497,33.055,359.596,250,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,forward,ty,fine,mrad,1.14546,12.6869,0.0464646,6.6616,250,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,forward,max_xy,fine,um,332198,2.12941e+06,627489,982890,250,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,forward,x,hit,um,334066,2.14886e+06,70637.7,985924,250,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,forward,y,hit,um,2892.39,38319.3,684.309,18145.2,250,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,forward,tx,hit,mrad,123.981,796.453,33.3863,360.795,250,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,forward,ty,hit,mrad,1.17024,12.8992,-0.0242979,6.81759,250,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,forward,max_xy,hit,um,334066,2.14886e+06,629555,985924,250,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,backward,x,fine,um,471614,5.28453e+06,-203364,1.9342e+06,250,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,backward,y,fine,um,12789.5,383359,-29382.6,152912,250,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,backward,tx,fine,mrad,210.977,1871.78,93.0755,770.632,250,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,backward,ty,fine,mrad,4.49758,151.954,13.136,65.3661,250,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,backward,max_xy,fine,um,471614,5.28453e+06,1.05048e+06,1.9342e+06,250,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,backward,x,hit,um,475432,5.28648e+06,-203034,1.93565e+06,250,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,backward,y,hit,um,12387.9,381439,-29490.1,153460,250,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,backward,tx,hit,mrad,212.807,1873.85,92.8964,771.271,250,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,backward,ty,hit,mrad,4.18677,152.084,13.1258,65.4453,250,51759
w128_d2_q02_data_s1,128,2,2,data,1,0.1 mm,backward,max_xy,hit,um,475432,5.28648e+06,1.05159e+06,1.93565e+06,250,51759
w128_d2_q02_data_s1,128,2,2,data,1,1 mm,all,x,fine,um,225573,2.38631e+06,35230.6,1.3611e+06,1000,5176
w128_d2_q02_data_s1,128,2,2,data,1,1 mm,all,y,fine,um,4128.4,190603,-6934.91,95811.7,1000,5176
