leg,EVT,MCKEY,P_GeV,ETA,direction,p_band,z0,z1,measurement,step_mm,reference_step_mm,integrator,field,pos_um,slope_urad
172,102,4864,35.69389343261719,4.693243503570557,1,25-200,2656.846435546875,9193.5224609375,difference from the finest step,0.2,0.05,RK6,v8r1.up,1.546185401934963e-06,3.489118716171191e-07
173,188,7193,32.27378845214844,4.716385841369629,1,25-200,2641.846435546875,7825.68701171875,difference from the finest step,0.2,0.05,RK6,v8r1.up,2.0965842395526124e-06,5.073302888902731e-07
174,166,1999,33.51346206665039,3.888105869293213,1,25-200,2641.846435546875,7827.03271484375,difference from the finest step,0.2,0.05,RK6,v8r1.up,1.2123706483180285e-06,4.907723533120745e-07
175,190,6681,28.14996910095215,4.769900321960449,1,25-200,2648.153564453125,8508.5263671875,difference from the finest step,0.2,0.05,RK6,v8r1.up,2.11735340371888e-06,4.962558142196372e-07
176,18,8085,26.698734283447266,3.2970237731933594,1,25-200,2663.153564453125,7825.67431640625,difference from the finest step,0.2,0.05,RK6,v8r1.up,5.274500836094376e-07,6.025804855092076e-07
177,6,2481,33.874237060546875,4.895977020263672,1,25-200,2663.153564453125,7825.70068359375,difference from the finest step,0.2,0.05,RK6,v8r1.up,1.901412360894028e-06,4.854866508807731e-07
178,47,4311,27.405548095703125,4.822575092315674,1,25-200,2663.153564453125,7825.67919921875,difference from the finest step,0.2,0.05,RK6,v8r1.up,2.053212710961816e-06,6.003600394599573e-07
179,9,4597,35.10329818725586,4.5244669914245605,1,25-200,2641.846435546875,7825.6103515625,difference from the finest step,0.2,0.05,RK6,v8r1.up,1.3790231179200418e-06,4.6647408158406733e-07
180,116,753,29.15736198425293,4.75961971282959,-1,25-200,7825.66162109375,2663.153564453125,difference from the finest step,0.2,0.05,RK6,v8r1.up,2.9006415047660994e-06,1.369508673132458e-06
181,94,749,28.507877349853516,4.894394874572754,-1,25-200,7895.87548828125,2656.846435546875,difference from the finest step,0.2,0.05,RK6,v8r1.up,7.186589101593199e-07,5.276339261339746e-07
182,168,5752,59.12992858886719,4.886284351348877,-1,25-200,8577.4775390625,2641.846435546875,difference from the finest step,0.2,0.05,RK6,v8r1.up,2.476170379850373e-07,8.625305331078081e-08
183,190,3438,28.025728225708008,4.681894779205322,-1,25-200,7825.6005859375,2641.846435546875,difference from the finest step,0.2,0.05,RK6,v8r1.up,4.190354729871615e-07,1.5247395360185045e-07
184,161,761,25.426599502563477,4.786436557769775,-1,25-200,7826.12353515625,2656.846435546875,difference from the finest step,0.2,0.05,RK6,v8r1.up,7.847233973734546e-08,3.63806207381856e-07
185,103,2464,27.659753799438477,4.989730358123779,-1,25-200,7965.71875,2641.846435546875,difference from the finest step,0.2,0.05,RK6,v8r1.up,1.1896803542299494e-06,3.783245418331749e-07
