predictor,arch,mode,seed,stratum,p_band,direction,n,median_abs_dz_mm,vs_hit_med_um,vs_hit_p95_um,vs_reference_med_um,vs_reference_p95_um
straight line,-,-,-,20-200 mm,all,all,6000,69.804950499999,20.964687618445055,131.92871996276384,19.612665080188663,115.8908959603238
straight line,-,-,-,20-200 mm,all,forward,3011,69.80459999999948,21.513548491157053,132.12593879410406,19.568667082467073,112.88208641948927
straight line,-,-,-,20-200 mm,all,backward,2989,69.80529999999999,20.414996663475904,131.5623798974677,19.658988433846503,117.27832237684196
straight line,-,-,-,20-200 mm,1-5 GeV,all,3042,69.80709999999999,44.53267401503069,180.87054692125972,40.21455102039795,159.38876129347344
straight line,-,-,-,20-200 mm,1-5 GeV,forward,1532,69.80653799999982,46.46003091994544,177.52431877595427,41.36493518080897,151.53973033399524
straight line,-,-,-,20-200 mm,1-5 GeV,backward,1510,69.80770074999964,42.37102531328496,183.08922964966993,39.286501777155536,164.55918722407432
straight line,-,-,-,20-200 mm,5-20 GeV,all,2309,69.80490049999935,12.317853076183383,39.753254468882915,11.004320461324824,36.71281705819637
straight line,-,-,-,20-200 mm,5-20 GeV,forward,1156,69.80415000000085,12.767858997733583,40.33468012127628,11.169125238751576,36.715748460693476
straight line,-,-,-,20-200 mm,5-20 GeV,backward,1153,69.80549999999857,11.713788384554391,39.57134046263491,10.942959068302116,36.57183890373968
straight line,-,-,-,20-200 mm,20-200 GeV,all,649,69.8020000000015,3.299496776364208,10.564629587901209,2.9383922570787036,9.41957904213382
straight line,-,-,-,20-200 mm,20-200 GeV,forward,323,69.80189999999857,3.143189853659578,11.283516561007895,2.9548722897771995,9.344637726445622
straight line,-,-,-,20-200 mm,20-200 GeV,backward,326,69.80249950000007,3.4639719188334084,9.706154000845402,2.8927267577572024,9.395055471962621
straight line,-,-,-,200-2000 mm,all,all,4000,472.2208000000005,620.7307783470083,4081.202442587143,615.7695136488428,3982.6021024259335
straight line,-,-,-,200-2000 mm,all,forward,2044,472.2166499999994,633.5083104298462,4190.481609095581,624.1024878029577,4223.207550655914
straight line,-,-,-,200-2000 mm,all,backward,1956,472.2224995000006,604.4038611647551,3886.7319322509957,604.6443087683855,3721.3224588516455
straight line,-,-,-,200-2000 mm,1-5 GeV,all,2042,472.2235007499994,1388.2297136292436,5459.410278746605,1360.4227682456126,5355.2262403755185
straight line,-,-,-,200-2000 mm,1-5 GeV,forward,1057,472.19920699999966,1410.5568971349953,5683.394445991735,1384.8109849698744,5472.209335175967
straight line,-,-,-,200-2000 mm,1-5 GeV,backward,985,472.238799499999,1376.2590853885968,5243.561776058685,1319.3870811872496,5181.755681324009
straight line,-,-,-,200-2000 mm,5-20 GeV,all,1531,472.22849999999926,408.30308057800835,1260.8657222048123,412.0880315958857,1224.912414935961
straight line,-,-,-,200-2000 mm,5-20 GeV,forward,764,472.23500099999956,438.444087149378,1338.4769771564659,435.89275990129295,1333.3968475889235
straight line,-,-,-,200-2000 mm,5-20 GeV,backward,767,472.22249900000133,385.1586256984092,1134.7709721612205,388.8694396076744,1132.0149552322646
straight line,-,-,-,200-2000 mm,20-200 GeV,all,427,472.1847999999991,105.52002412546813,348.66308963167967,106.0338133819414,348.43405387110226
straight line,-,-,-,200-2000 mm,20-200 GeV,forward,223,472.1836999999996,111.55700935472623,362.1818907177555,113.05341220582932,361.80091470855587
straight line,-,-,-,200-2000 mm,20-200 GeV,backward,204,472.1850502499992,100.74464903749458,314.4588962718501,98.60027704830543,316.2542343607754
straight line,-,-,-,cross-magnet,all,all,2410,5175.346389,525792.6107550126,1981982.2791537573,525508.9025366191,1964171.9454775953
straight line,-,-,-,cross-magnet,all,forward,1205,5175.346389,533916.693099016,1850279.5741382404,531807.9650111799,1831717.4345776527
straight line,-,-,-,cross-magnet,all,backward,1205,5175.346389,516547.29714739526,2126982.953792567,514787.91696085804,2112217.440145519
straight line,-,-,-,cross-magnet,1-5 GeV,all,1034,5174.7871589999995,1148832.8158304812,2322782.285306488,1141088.3206231291,2288153.8953972002
straight line,-,-,-,cross-magnet,1-5 GeV,forward,517,5174.7871589999995,1129606.7446044553,2132964.4602339766,1121382.5380605462,2096195.0056391892
straight line,-,-,-,cross-magnet,1-5 GeV,backward,517,5174.7871589999995,1165497.8262255876,2561534.158829471,1161435.8285109014,2531663.392070297
straight line,-,-,-,cross-magnet,5-20 GeV,all,1074,5175.753925000001,342032.0543092252,594453.4478558291,342232.18027177424,592044.492029692
straight line,-,-,-,cross-magnet,5-20 GeV,forward,537,5175.753925000001,346881.05546577735,598469.9007829591,346894.1757184654,595445.1152746344
straight line,-,-,-,cross-magnet,5-20 GeV,backward,537,5175.753925000001,334529.468994222,586517.3224611387,333975.6631984568,583268.4500550521
straight line,-,-,-,cross-magnet,20-200 GeV,all,302,5177.237445999999,99064.83189097699,143696.13501002037,98724.05201642422,143642.92610572994
straight line,-,-,-,cross-magnet,20-200 GeV,forward,151,5177.237445999999,100887.4465584741,144704.86269673318,100897.01494647778,144760.3622017093
straight line,-,-,-,cross-magnet,20-200 GeV,backward,151,5177.237445999999,96626.51153675244,138888.34932536999,96789.0679573984,139090.30907200626
exact scheme q=8,-,-,-,all,all,all,13228,70.22465149999971,20.444621856171352,5130.695129014223,0.0007041991239020717,116.56391525543044
exact scheme q=8,-,-,-,all,all,forward,6669,70.2286009999998,24.39018087295608,6289.001369171677,0.0009527876727588591,119.54861760150368
exact scheme q=8,-,-,-,all,all,backward,6559,70.22270000000026,16.452056820980943,4119.7916580676865,0.000479795062346966,114.76297130103451
exact scheme q=8,-,-,-,all,1-5 GeV,all,6526,70.21979974999931,38.14207569656958,11032.067949000251,0.0007898153455698775,277.5009287689061
exact scheme q=8,-,-,-,all,1-5 GeV,forward,3310,70.2234492499997,47.24421122418221,12596.568211170215,0.0010732046860084665,365.57359943798605
exact scheme q=8,-,-,-,all,1-5 GeV,backward,3216,70.21649950000028,30.900871857703294,9059.993348045795,0.0005370359303924488,234.3980397478731
exact scheme q=8,-,-,-,all,5-20 GeV,all,5212,140.07619949999935,10.886605436496666,1979.9066337704678,0.0007463853464173553,49.19863416303762
