arm,network,mode,seed,width,depth,converged,split,step,n,end_med_um,end_p95_um,slope_med_mrad,cum_dz_med_mm
residual,residual_w100_physics_s7,physics,7,100,4,True,val,1,4551,71.19303482027561,3277.879997204934,0.22233450483950118,373.71799999999996
residual,residual_w100_physics_s7,physics,7,100,4,True,val,2,4551,293.42973888651613,8160.741378305374,0.34590758668359006,821.8929999999991
residual,residual_w100_physics_s7,physics,7,100,4,True,val,3,4551,614.884192179268,11713.421782035311,0.5305961156287231,2099.987
residual,residual_w100_physics_s7,physics,7,100,4,True,val,4,2932,1749.0581628615728,27250.39170316544,0.7991785778275785,6281.1775
residual,residual_w100_physics_s7,physics,7,100,4,True,val,5,1524,3133.911988991656,40240.31974904147,1.0853773251508545,7759.312
residual,residual_w100_physics_s7,physics,7,100,4,True,val,6,856,3706.660617243174,42119.17197148751,1.1770533324726162,8181.928
residual,residual_w100_physics_s7,physics,7,100,4,True,test,0,4563,1.3201240103519751,1358.620875172732,0.04948414750449281,69.21399999999994
residual,residual_w100_physics_s7,physics,7,100,4,True,test,1,4563,59.32178963948331,2988.0924454275823,0.22352434831950443,335.087
residual,residual_w100_physics_s7,physics,7,100,4,True,test,2,4563,263.88560654243065,8345.778832147276,0.3414807281427318,752.393
residual,residual_w100_physics_s7,physics,7,100,4,True,test,3,4563,540.5377674171064,10946.474212723715,0.5098753318730844,1994.9869999999999
residual,residual_w100_physics_s7,physics,7,100,4,True,test,4,2914,1755.3633104769979,21116.41147950805,0.7868994215948742,6269.4015
residual,residual_w100_physics_s7,physics,7,100,4,True,test,5,1481,3333.011393625725,38695.79746191971,0.9730307394511528,7783.540000000001
residual,residual_w100_physics_s7,physics,7,100,4,True,test,6,853,3787.884140766856,30654.631337923907,1.0974607349243104,8330.801
residual,residual_w100_physics_s8,physics,8,100,4,True,val,0,4551,1.7180543610173515,1839.8226541252232,0.04981211839863442,55.0
residual,residual_w100_physics_s8,physics,8,100,4,True,val,1,4551,117.24640951837273,4119.816458050593,0.24584895598130443,373.71799999999996
residual,residual_w100_physics_s8,physics,8,100,4,True,val,2,4551,461.77394984056264,10432.94932658577,0.40191228380181965,821.8929999999991
residual,residual_w100_physics_s8,physics,8,100,4,True,val,3,4551,857.9216565867682,13968.202108657635,0.662694288207144,2099.987
residual,residual_w100_physics_s8,physics,8,100,4,True,val,4,2932,2196.5326026806906,26336.271309566455,1.1008090326712385,6281.1775
residual,residual_w100_physics_s8,physics,8,100,4,True,val,5,1524,4186.916220730264,41168.3986978874,1.683401572261361,7759.312
residual,residual_w100_physics_s8,physics,8,100,4,True,val,6,856,5019.011991502978,42969.751892479566,1.7975354356130486,8181.928
residual,residual_w100_physics_s8,physics,8,100,4,True,test,0,4563,1.7959418052022613,1680.354170820723,0.0471612611353707,69.21399999999994
residual,residual_w100_physics_s8,physics,8,100,4,True,test,1,4563,102.91540592498905,3788.4363492292546,0.23948327471775416,335.087
residual,residual_w100_physics_s8,physics,8,100,4,True,test,2,4563,429.35582664178895,10078.102285385216,0.3971083527034569,752.393
residual,residual_w100_physics_s8,physics,8,100,4,True,test,3,4563,782.6863784067584,13614.048147180483,0.6411011827461288,1994.9869999999999
residual,residual_w100_physics_s8,physics,8,100,4,True,test,4,2914,2121.4391100223647,24674.31344434906,1.0030940466772762,6269.4015
residual,residual_w100_physics_s8,physics,8,100,4,True,test,5,1481,4158.567109869864,48537.59300009778,1.5470037115483393,7783.540000000001
residual,residual_w100_physics_s8,physics,8,100,4,True,test,6,853,4752.715963408832,37697.399583427716,1.6523858799123992,8330.801
residual,residual_w100_physics_s9,physics,9,100,4,True,val,0,4551,1.174752295696635,1236.3610480014736,0.03700121685440427,55.0
residual,residual_w100_physics_s9,physics,9,100,4,True,val,1,4551,97.6081995269169,3179.738147994769,0.1732672886358838,373.71799999999996
residual,residual_w100_physics_s9,physics,9,100,4,True,val,2,4551,354.09449082438016,10156.529848822516,0.2872532996273658,821.8929999999991
residual,residual_w100_physics_s9,physics,9,100,4,True,val,3,4551,637.4140196078315,14442.465642185027,0.48570501249504094,2099.987
residual,residual_w100_physics_s9,physics,9,100,4,True,val,4,2932,1596.88181096557,28416.776899301294,0.8339781073802575,6281.1775
residual,residual_w100_physics_s9,physics,9,100,4,True,val,5,1524,3284.9831895636044,46071.834094027734,1.3088718795913454,7759.312
residual,residual_w100_physics_s9,physics,9,100,4,True,val,6,856,3732.2665272276654,46845.57084575459,1.4040869517229075,8181.928
residual,residual_w100_physics_s9,physics,9,100,4,True,test,0,4563,1.1583759292470575,1276.0603255366495,0.03568389846680953,69.21399999999994
residual,residual_w100_physics_s9,physics,9,100,4,True,test,1,4563,84.229831529683,3202.2282106816856,0.1752328222844879,335.087
residual,residual_w100_physics_s9,physics,9,100,4,True,test,2,4563,346.28396283073926,9469.712871412015,0.28324028263276846,752.393
residual,residual_w100_physics_s9,physics,9,100,4,True,test,3,4563,591.6099142821167,13975.967037827048,0.45307913788383836,1994.9869999999999
residual,residual_w100_physics_s9,physics,9,100,4,True,test,4,2914,1558.7036199915046,25776.5105258379,0.7813259143964764,6269.4015
residual,residual_w100_physics_s9,physics,9,100,4,True,test,5,1481,3493.172831385209,46240.11404200565,1.30741529259705,7783.540000000001
residual,residual_w100_physics_s9,physics,9,100,4,True,test,6,853,3987.1008612747687,41302.25749688085,1.4702889645240163,8330.801
residual,residual_w50_data_s0,data,0,50,4,True,val,0,4551,0.01573678605382156,1710.859667572336,0.0003681523492934935,55.0
residual,residual_w50_data_s0,data,0,50,4,True,val,1,4551,5.76201122493103,3824.9840607981296,0.028476924799069724,373.71799999999996
residual,residual_w50_data_s0,data,0,50,4,True,val,2,4551,62.31455629097127,12804.990963220007,0.10820872626560868,821.8929999999991
residual,residual_w50_data_s0,data,0,50,4,True,val,3,4551,232.52779066814355,20923.80720547544,0.24021634044624207,2099.987
residual,residual_w50_data_s0,data,0,50,4,True,val,4,2932,952.4578180391075,43861.83413138671,0.5378582002607303,6281.1775
residual,residual_w50_data_s0,data,0,50,4,True,val,5,1524,2327.0060698650495,60093.20491432399,0.9664216178894847,7759.312
residual,residual_w50_data_s0,data,0,50,4,True,val,6,856,2573.368953802302,61715.474495552284,1.0281838803923096,8181.928
residual,residual_w50_data_s0,data,0,50,4,True,test,0,4563,0.014753109944365406,1605.1846734839967,0.0003508887328300403,69.21399999999994
residual,residual_w50_data_s0,data,0,50,4,True,test,1,4563,5.019964108797126,3373.712843967238,0.026208425614716868,335.087
residual,residual_w50_data_s0,data,0,50,4,True,test,2,4563,52.2246587959998,13758.263812687843,0.10293042231698801,752.393
residual,residual_w50_data_s0,data,0,50,4,True,test,3,4563,201.56692389628006,18994.876616932383,0.20714795264853078,1994.9869999999999
residual,residual_w50_data_s0,data,0,50,4,True,test,4,2914,864.9365025455893,39765.81902944571,0.49376203828857546,6269.4015
residual,residual_w50_data_s0,data,0,50,4,True,test,5,1481,2105.2025686923344,66423.36521889023,0.8499807172426994,7783.540000000001
residual,residual_w50_data_s0,data,0,50,4,True,test,6,853,2380.4906362965994,57057.79128925529,1.0079193438333536,8330.801
residual,residual_w50_data_s1,data,1,50,4,True,val,0,4551,0.014186677079308652,1470.0415015061878,0.0002517592573858529,55.0
residual,residual_w50_data_s1,data,1,50,4,True,val,1,4551,4.672183927198148,3710.307325909085,0.024598083585347652,373.71799999999996
residual,residual_w50_data_s1,data,1,50,4,True,val,2,4551,41.51821903147379,13480.164763904326,0.0918818298367239,821.8929999999991
residual,residual_w50_data_s1,data,1,50,4,True,val,3,4551,172.67710763530886,18163.39564154532,0.22841416728044267,2099.987
residual,residual_w50_data_s1,data,1,50,4,True,val,4,2932,993.5923550119696,30893.844560605314,0.5509511048079063,6281.1775
residual,residual_w50_data_s1,data,1,50,4,True,val,5,1524,2621.414418096549,39516.05481501664,1.1453873263280205,7759.312
residual,residual_w50_data_s1,data,1,50,4,True,val,6,856,2807.55742293249,40108.791025449194,1.156997800694573,8181.928
residual,residual_w50_data_s1,data,1,50,4,True,test,0,4563,0.01327819859398005,1273.7685248178398,0.00024160595607503055,69.21399999999994
residual,residual_w50_data_s1,data,1,50,4,True,test,1,4563,3.633790475475962,3574.3244085679535,0.02048848873135306,335.087
residual,residual_w50_data_s1,data,1,50,4,True,test,2,4563,36.08225617119842,11463.089497747958,0.08662909598087035,752.393
residual,residual_w50_data_s1,data,1,50,4,True,test,3,4563,156.3886321526553,15517.532577090598,0.20147527673575194,1994.9869999999999
residual,residual_w50_data_s1,data,1,50,4,True,test,4,2914,892.6390190325151,26646.918773575573,0.4892942228126125,6269.4015
residual,residual_w50_data_s1,data,1,50,4,True,test,5,1481,2296.9042697171317,37569.87585564639,1.0739728790907996,7783.540000000001
