network,mode,seed,width,depth,converged,variant,n,med_um,p95_um,slope_med_mrad,first_step_med_um,straight_med_um,label_vs_rk4_med_um
w200_physics_s3,physics,3,200,4,True,composite_two_steps,2726,26375.781301081704,495170.6753146498,7.065024998811815,3042.0558390032397,948414.482682055,0.0451482050038976
w200_physics_s3,physics,3,200,4,True,single_giant_step,2726,3639.9458485843793,127602.65615843172,,,948414.482682055,0.0451482050038976
w200_physics_s4,physics,4,200,4,True,composite_two_steps,2726,46741.36218885223,710716.3256214289,20.265364428268015,2578.475314580942,948414.482682055,0.0451482050038976
w200_physics_s4,physics,4,200,4,True,single_giant_step,2726,4416.951677661757,137643.23611156817,,,948414.482682055,0.0451482050038976
w200_physics_s5,physics,5,200,4,False,composite_two_steps,2726,46434.784282916895,445992.77481387614,9.378416244410408,3461.1133716366567,948414.482682055,0.0451482050038976
w200_physics_s5,physics,5,200,4,False,single_giant_step,2726,4763.917390225914,125664.151384687,,,948414.482682055,0.0451482050038976
w200_physics_s6,physics,6,200,4,True,composite_two_steps,2726,29800.205946497186,570040.6506485236,11.179447648932769,3126.496648568079,948414.482682055,0.0451482050038976
w200_physics_s6,physics,6,200,4,True,single_giant_step,2726,4502.78952791632,137265.48408023152,,,948414.482682055,0.0451482050038976
w200_physics_s7,physics,7,200,4,True,composite_two_steps,2726,21193.57004842101,397384.0872792238,13.787423980568583,3118.4179107171703,948414.482682055,0.0451482050038976
w200_physics_s7,physics,7,200,4,True,single_giant_step,2726,4851.15231890552,151031.04665625733,,,948414.482682055,0.0451482050038976
w200_physics_s8,physics,8,200,4,True,composite_two_steps,2726,52011.70994922631,453058.2614843045,17.384603334246115,2576.340117469613,948414.482682055,0.0451482050038976
w200_physics_s8,physics,8,200,4,True,single_giant_step,2726,5255.225289040282,145486.60269290168,,,948414.482682055,0.0451482050038976
w200_physics_s9,physics,9,200,4,True,composite_two_steps,2726,35034.01213151028,406978.4857755815,18.733340956218413,2691.049213280692,948414.482682055,0.0451482050038976
w200_physics_s9,physics,9,200,4,True,single_giant_step,2726,4563.233388630238,127161.0611971015,,,948414.482682055,0.0451482050038976
w50_data_s0,data,0,50,4,True,composite_two_steps,2726,45352.63896025276,643590.7030597876,17.688377380779002,2844.7746286666843,948414.482682055,0.0451482050038976
w50_data_s0,data,0,50,4,True,single_giant_step,2726,6076.207699528555,108126.88629307631,,,948414.482682055,0.0451482050038976
