arm,tag,mode,seed,width,depth,leg,node,node_c,is_endpoint,med_um,p95_um,n
residual,residual_w50_physics_s2,physics,2,50,4,B,8,1.0,True,960.302794285326,31336.72723531801,564
residual,residual_w50_physics_s2,physics,2,50,4,C,0,0.019855071751231912,False,0.005331730392299505,1.3386256084515946,2793
residual,residual_w50_physics_s2,physics,2,50,4,C,1,0.10166676129318664,False,0.05224416236160323,16.229013918402302,2793
residual,residual_w50_physics_s2,physics,2,50,4,C,2,0.2372337950418355,False,0.2555254833680465,73.16776821842129,2793
residual,residual_w50_physics_s2,physics,2,50,4,C,3,0.4082826787521751,False,0.6063613009246183,142.88549710225317,2793
residual,residual_w50_physics_s2,physics,2,50,4,C,4,0.5917173212478248,False,0.9644605193273037,188.0158824305569,2793
residual,residual_w50_physics_s2,physics,2,50,4,C,5,0.7627662049581645,False,1.085575712068021,230.75294593530805,2793
residual,residual_w50_physics_s2,physics,2,50,4,C,6,0.8983332387068134,False,1.2553815431601834,252.7922704296999,2793
residual,residual_w50_physics_s2,physics,2,50,4,C,7,0.9801449282487681,False,1.4110698549529843,267.97190881685265,2793
residual,residual_w50_physics_s2,physics,2,50,4,C,8,1.0,True,1.448250136050433,267.27470554113074,2793
residual,residual_w50_physics_s3,physics,3,50,4,A,0,0.019855071751231912,False,0.022239932760292902,300.0748686752988,604
residual,residual_w50_physics_s3,physics,3,50,4,A,1,0.10166676129318664,False,0.06537119877703113,813.9215044069206,604
residual,residual_w50_physics_s3,physics,3,50,4,A,2,0.2372337950418355,False,0.4045748211543021,2497.122095754717,604
residual,residual_w50_physics_s3,physics,3,50,4,A,3,0.4082826787521751,False,1.07685588109252,5823.8202732333,604
residual,residual_w50_physics_s3,physics,3,50,4,A,4,0.5917173212478248,False,1.8336181640238176,11108.892950930614,604
residual,residual_w50_physics_s3,physics,3,50,4,A,5,0.7627662049581645,False,2.241187948919671,14457.726905467363,604
residual,residual_w50_physics_s3,physics,3,50,4,A,6,0.8983332387068134,False,2.7154861829595536,20128.883723604802,604
residual,residual_w50_physics_s3,physics,3,50,4,A,7,0.9801449282487681,False,2.984592702187039,22529.90954077719,604
residual,residual_w50_physics_s3,physics,3,50,4,A,8,1.0,True,2.9496015981207435,24615.161455269998,604
residual,residual_w50_physics_s3,physics,3,50,4,B,0,0.019855071751231912,False,92.36708903542024,445.4529889997692,564
residual,residual_w50_physics_s3,physics,3,50,4,B,1,0.10166676129318664,False,118.62030137236701,950.4090654937003,564
residual,residual_w50_physics_s3,physics,3,50,4,B,2,0.2372337950418355,False,372.77974543019,2462.795441837824,564
residual,residual_w50_physics_s3,physics,3,50,4,B,3,0.4082826787521751,False,683.4988225988709,6446.391911222099,564
residual,residual_w50_physics_s3,physics,3,50,4,B,4,0.5917173212478248,False,880.5395171168442,11773.296679977042,564
residual,residual_w50_physics_s3,physics,3,50,4,B,5,0.7627662049581645,False,1301.7997265048252,17819.733743624118,564
residual,residual_w50_physics_s3,physics,3,50,4,B,6,0.8983332387068134,False,1424.6077046423125,25736.96831135636,564
residual,residual_w50_physics_s3,physics,3,50,4,B,7,0.9801449282487681,False,1556.9312634078756,36747.84669402402,564
residual,residual_w50_physics_s3,physics,3,50,4,B,8,1.0,True,1627.0492914116232,39760.751349354665,564
residual,residual_w50_physics_s3,physics,3,50,4,C,0,0.019855071751231912,False,0.010372538262970465,2.459103226084381,2793
residual,residual_w50_physics_s3,physics,3,50,4,C,1,0.10166676129318664,False,0.06054962199186775,20.15161157946751,2793
residual,residual_w50_physics_s3,physics,3,50,4,C,2,0.2372337950418355,False,0.2662404419311315,72.89887767085474,2793
residual,residual_w50_physics_s3,physics,3,50,4,C,3,0.4082826787521751,False,0.6840834930699202,173.21307797476504,2793
residual,residual_w50_physics_s3,physics,3,50,4,C,4,0.5917173212478248,False,0.8571345745167491,230.30242829240714,2793
residual,residual_w50_physics_s3,physics,3,50,4,C,5,0.7627662049581645,False,0.8285171322803819,210.7785230871715,2793
residual,residual_w50_physics_s3,physics,3,50,4,C,6,0.8983332387068134,False,0.9621122096632462,242.01298279681848,2793
residual,residual_w50_physics_s3,physics,3,50,4,C,7,0.9801449282487681,False,1.125607945880347,268.0562237762852,2793
residual,residual_w50_physics_s3,physics,3,50,4,C,8,1.0,True,1.158832516398256,276.78782087916727,2793
residual,residual_w50_physics_s4,physics,4,50,4,A,0,0.019855071751231912,False,0.035302106435763925,374.26103335127505,604
residual,residual_w50_physics_s4,physics,4,50,4,A,1,0.10166676129318664,False,0.10873388869570011,502.6518190068659,604
residual,residual_w50_physics_s4,physics,4,50,4,A,2,0.2372337950418355,False,0.4315862281957239,2492.609601114229,604
residual,residual_w50_physics_s4,physics,4,50,4,A,3,0.4082826787521751,False,0.8818499181140194,5455.962195220015,604
residual,residual_w50_physics_s4,physics,4,50,4,A,4,0.5917173212478248,False,1.684630622018457,11749.606647598735,604
residual,residual_w50_physics_s4,physics,4,50,4,A,5,0.7627662049581645,False,1.9078760436296305,14428.864295858222,604
residual,residual_w50_physics_s4,physics,4,50,4,A,6,0.8983332387068134,False,2.5475640639047725,18819.6043036337,604
residual,residual_w50_physics_s4,physics,4,50,4,A,7,0.9801449282487681,False,3.0125130232588893,21643.53153181971,604
residual,residual_w50_physics_s4,physics,4,50,4,A,8,1.0,True,3.019015097352029,22414.513037623405,604
residual,residual_w50_physics_s4,physics,4,50,4,B,0,0.019855071751231912,False,69.2597255437235,532.4659417783508,564
residual,residual_w50_physics_s4,physics,4,50,4,B,1,0.10166676129318664,False,68.33002131064347,569.4598592717583,564
residual,residual_w50_physics_s4,physics,4,50,4,B,2,0.2372337950418355,False,243.56133709655126,2196.727791200846,564
residual,residual_w50_physics_s4,physics,4,50,4,B,3,0.4082826787521751,False,461.4875648086638,4646.577262177841,564
residual,residual_w50_physics_s4,physics,4,50,4,B,4,0.5917173212478248,False,611.2560487376868,6617.9172295653825,564
residual,residual_w50_physics_s4,physics,4,50,4,B,5,0.7627662049581645,False,727.116209719565,13655.84537685251,564
residual,residual_w50_physics_s4,physics,4,50,4,B,6,0.8983332387068134,False,831.9658406535098,17493.95650938268,564
residual,residual_w50_physics_s4,physics,4,50,4,B,7,0.9801449282487681,False,995.6627165808811,24162.201484413727,564
