tag,mode,seed,width,depth,converged,split,leg,band,endpoint_med_um,endpoint_p95_um,stage_med_um,slope_med_mrad,rho_mean,rho_median,straight_med_um,n,ceiling_leg_um,ceiling_band_um,ceiling_band_n,ceiling_own_um,ceiling_own_p95_um
w100_physics_s6,physics,6,100,4,True,test,A,1-5GeV,906.3128481075885,66850.02994552103,1281.7028112279718,0.3632505643831885,0.15998856748123125,0.02218955951407298,31.11023947234115,324,0.0007444257531519227,0.002909424121233517,19,0.0028088209010346255,7173.877347743397
w100_physics_s6,physics,6,100,4,True,test,A,5-20GeV,205.26594533870556,10998.748878132625,351.02782781605157,0.12347667070812529,0.030830151697506476,0.007957306420357224,9.80516663159503,191,0.0007444257531519227,0.020400536357767507,9,0.0005096686157557428,2306.1250752016567
w100_physics_s6,physics,6,100,4,True,test,A,20-200GeV,81.65737007344309,4715.60111575789,273.8608337049664,0.1843592125509042,0.009485605704837911,0.0038358458061680013,5.945399012586616,89,0.0007444257531519227,0.0004550318470283865,4,0.0009147414785637409,436.5695393626081
w100_physics_s6,physics,6,100,4,True,test,A,all,441.85055582205035,28168.63748046385,725.002059927597,0.22054146201232105,0.09696866514217423,0.008063339347421986,10.945522383782214,604,0.0007444257531519227,0.0007444257531519227,32,0.0012975941081627695,10095.745280850735
w100_physics_s6,physics,6,100,4,True,test,B,1-5GeV,6192.110316349357,92816.97705522049,9539.349366560713,3.1015872818849766,0.0005095270361130632,1.8553170695097156e-05,1197127.786821343,191,29.06626263219181,194.32988753253255,14,239.1203764747729,31863.319386796837
w100_physics_s6,physics,6,100,4,True,test,B,5-20GeV,2115.614145331323,18192.404410547842,2766.2567908496953,0.8072832449091414,0.00039585459028463303,1.5341375345605824e-05,355193.23732396663,278,29.06626263219181,18.868742882830247,13,23.771840872143457,312.6197581884921
w100_physics_s6,physics,6,100,4,True,test,B,20-200GeV,982.5710626216235,5097.808870153578,1703.6804799275344,0.42085250769550997,0.0007312567173055987,3.297048309448416e-05,104910.80409850382,95,29.06626263219181,8.451150669401386,5,6.659794481365111,77.86268877226932
w100_physics_s6,physics,6,100,4,True,test,B,all,2502.456041106626,39714.38165757727,3321.854152853948,1.0718056699322644,0.0004908450853559485,1.938201204588437e-05,444074.60985912883,564,29.06626263219181,29.06626263219181,32,46.362551442712174,10372.636338919856
w100_physics_s6,physics,6,100,4,True,test,C,1-5GeV,441.41313742389343,3783.846253292643,870.9970489698549,0.33980427530408247,0.0025335248032576215,1.7049731653749443e-05,20.65045648123487,1625,1.9820198815523327e-06,2.8307738375588087e-06,18,6.750537906441423e-06,0.20163025035344614
w100_physics_s6,physics,6,100,4,True,test,C,5-20GeV,213.07491658510003,1204.9789196286804,375.14669276454526,0.13583150374386205,0.0002377761146448986,1.8187736775083513e-05,4.010366603324655,857,1.9820198815523327e-06,6.594778056978612e-07,10,1.7530226159578888e-06,0.14228742605375028
