N,q,checkpoint,p_lo,p_hi,component,unit,n,med_abs,rms,std,mean,signed_med,hw68,p95_abs,rms_no_tail,dz_mm,kind,n_tail,tail_frac,x0_med_tail_mm,x0_med_rest_mm
128,8,0,5,8,tx,mrad,314,0.053471673319080426,0.2160787149787258,0.2157868334465147,0.011227358459741897,-0.0015070952593537745,0.08362504631850234,0.2577121467356083,0.11249011783595597,40.5,"endpoint (after N steps, at z1)",16,0.050955414012738856,329.6400668178203,86.43428253686301
128,8,0,5,8,ty,mrad,314,0.04602713271951997,0.2918901807510282,0.2913560649517666,0.01764995848974885,0.0010234309477837045,0.07637843086338772,0.5311705381276985,0.12101717694714534,40.5,"endpoint (after N steps, at z1)",16,0.050955414012738856,329.6400668178203,86.43428253686301
128,8,0,10,20,x,um,317,15.235281071596773,114.4662613720409,114.43845141841095,-2.5230595411883545,-2.6271966903266275,29.118385038343035,136.0379421600555,86.37574648033676,40.5,"endpoint (after N steps, at z1)",1,0.0031545741324921135,613.7805928785398,51.870781014723164
128,8,0,10,20,y,um,317,20.303386956442182,86.56264688910633,86.1357108987847,8.586684133534366,6.829827093220331,34.062085250548364,135.4155484703824,67.01652347032311,40.5,"endpoint (after N steps, at z1)",1,0.0031545741324921135,613.7805928785398,51.870781014723164
128,8,0,10,20,tx,mrad,317,0.013935341093535003,0.0628824713789336,0.06247813582534393,0.0071195330262790995,0.0019389249615031634,0.023458723806437654,0.07005433892610231,0.06104020990464509,40.5,"endpoint (after N steps, at z1)",1,0.0031545741324921135,613.7805928785398,51.870781014723164
128,8,0,10,20,ty,mrad,317,0.013640573085019203,0.046190568239397434,0.045855267792906315,0.005555448669484716,0.004952232483299013,0.01996908008199627,0.06574460819231824,0.033893009703723755,40.5,"endpoint (after N steps, at z1)",1,0.0031545741324921135,613.7805928785398,51.870781014723164
256,16,0,3,5,x,um,341,129.44384619402172,908.0442146399638,908.0409530683376,-2.4337813899378262,-30.22197038012564,217.33193863005337,1080.8676587630544,224.9802715508262,20.2,"endpoint (after N steps, at z1)",36,0.10557184750733138,355.81975685171585,125.62727388128955
256,16,0,3,5,y,um,341,175.4892476438954,868.1608095567702,864.5637462984555,-78.94757650901342,-19.85587809400613,299.27195750184114,1150.343706037802,281.1744006376226,20.2,"endpoint (after N steps, at z1)",36,0.10557184750733138,355.81975685171585,125.62727388128955
256,16,0,3,5,tx,mrad,341,0.15305356024314376,0.5166069055554173,0.5163916642517312,0.01491120246228511,0.029677160480912068,0.22766751983740452,1.1308994779077874,0.26976866716147196,20.2,"endpoint (after N steps, at z1)",36,0.10557184750733138,355.81975685171585,125.62727388128955
256,16,0,3,5,ty,mrad,341,0.12510354223396747,0.6435471074609023,0.642097656919817,0.04316802635487211,-0.03844874918915338,0.20452509320952297,0.987951040424706,0.2528627632103668,20.2,"endpoint (after N steps, at z1)",36,0.10557184750733138,355.81975685171585,125.62727388128955
256,16,0,4,6,x,um,286,80.70756579115823,475.69123288339955,475.6535835237113,-5.984774279822845,-25.39115631077493,128.60120423823668,552.1390319097463,162.91928727909604,20.2,"endpoint (after N steps, at z1)",16,0.055944055944055944,249.6329839604636,114.3874807316364
