N,q,component,unit,p_lo,p_hi,n,med,p95,signed_mean
2,16,tx,mrad,5.0,7.0,233,0.03096828140783381,0.22079375374491286,-0.0007639896854037737
2,16,tx,mrad,7.0,10.0,197,0.021254523758895694,0.16191921774266202,0.0038398324036498775
2,16,tx,mrad,10.0,15.0,208,0.017326032502068545,0.1318437906224614,0.0074247332246767115
2,16,tx,mrad,15.0,20.0,109,0.028716367522899078,0.09322257558815326,0.00863851687873231
2,16,tx,mrad,20.0,30.0,115,0.01933823397672063,0.07660213791681815,0.0014642324473973657
2,16,tx,mrad,30.0,50.0,55,0.03356907842359119,0.08474701047033097,0.011749436983217362
2,16,tx,mrad,50.0,100.0,24,0.10251271133747061,0.14473377342631882,0.013582914334688882
2,16,tx,mrad,100.0,200.0,6,0.3950137859058886,0.8754603763319033,0.14691088027327365
2,16,ty,mrad,1.0,2.0,5,0.3400235094687745,1.1496001828962634,0.3503012981906551
2,16,ty,mrad,2.0,3.0,159,0.15862597360735697,0.7923190453994959,0.05809166389635464
2,16,ty,mrad,3.0,5.0,341,0.08703549128129782,0.6388613467609161,0.03204101880331549
2,16,ty,mrad,5.0,7.0,233,0.053608750729638305,0.4276624192970309,-0.0035287315215418113
2,16,ty,mrad,7.0,10.0,197,0.04566441226477869,0.17263303874121558,0.0010022768700565662
2,16,ty,mrad,10.0,15.0,208,0.04209439639373111,0.1308532823680701,0.002389455209405073
2,16,ty,mrad,15.0,20.0,109,0.04097386222237133,0.10065533667314434,0.00749422165777307
2,16,ty,mrad,20.0,30.0,115,0.0258178605006959,0.0640827386642338,-0.004343009761399988
2,16,ty,mrad,30.0,50.0,55,0.014952401587844943,0.04201912819361378,0.0038714208814105565
2,16,ty,mrad,50.0,100.0,24,0.008326022270474867,0.02590678001580318,0.001788323655658663
2,16,ty,mrad,100.0,200.0,6,0.006519743522133588,0.01285237074895567,-0.00010604165981362619
64,2,x,µm,1.0,2.0,5,1467.1665198994078,6224.695987590507,-1301.5787527428843
64,2,x,µm,2.0,3.0,159,334.00267782621995,1581.4212741885267,-123.77835597222148
64,2,x,µm,3.0,5.0,341,173.462584811773,1199.7278708956856,44.328799141511105
64,2,x,µm,5.0,7.0,233,115.1699931371013,684.8740618810324,16.167728471053216
64,2,x,µm,7.0,10.0,197,87.90070267559713,535.8710774179934,-35.26048946592822
64,2,x,µm,10.0,15.0,208,71.95311681633143,350.7706131522875,-68.69405495203483
64,2,x,µm,15.0,20.0,109,96.28766551298895,672.6639700725963,-41.0880248952971
64,2,x,µm,20.0,30.0,115,123.8143569786132,363.9903287003619,-16.74085049412724
64,2,x,µm,30.0,50.0,55,112.87425245586746,401.7296269413463,7.091849858945084
64,2,x,µm,50.0,100.0,24,202.1494293093795,684.9341777656402,19.95873709386468
64,2,x,µm,100.0,200.0,6,827.0674931019712,1885.8888287368673,853.3297108534538
64,2,y,µm,1.0,2.0,5,61.30274468898733,2172.9340105454635,-454.0962778392242
64,2,y,µm,2.0,3.0,159,267.40340395917883,1185.2092317624963,-162.95586813496126
64,2,y,µm,3.0,5.0,341,109.22400596914628,829.4919244119683,-122.9864550425859
64,2,y,µm,5.0,7.0,233,66.97824915576689,715.4091895592264,31.36727649432724
64,2,y,µm,7.0,10.0,197,62.53641631082019,286.1968825134907,12.992551300781196
64,2,y,µm,10.0,15.0,208,50.222312943372316,219.94947643279232,23.942643721996795
64,2,y,µm,15.0,20.0,109,67.06625725655613,199.59960839403223,-2.67816606112848
64,2,y,µm,20.0,30.0,115,53.75167133206915,134.73912796653167,-3.1204008590213124
64,2,y,µm,30.0,50.0,55,34.28804510303962,91.25806646829913,-1.6230855496361616
64,2,y,µm,50.0,100.0,24,48.03179928046575,93.46795197541122,36.19854213678306
64,2,y,µm,100.0,200.0,6,32.61805796423545,57.25482772874102,25.861044279965977
64,2,tx,mrad,1.0,2.0,5,0.44121864656515575,2.074179556967115,-0.30451272572753485
64,2,tx,mrad,2.0,3.0,159,0.10721219283882366,0.6457524882282294,-0.023984699061382984
64,2,tx,mrad,3.0,5.0,341,0.06717965898134226,0.41767053559127465,0.03634748386543004
64,2,tx,mrad,5.0,7.0,233,0.03603877480407025,0.1930878465918772,0.008899007683126136
64,2,tx,mrad,7.0,10.0,197,0.03562711911655331,0.1774325481979831,-0.022714604036690407
64,2,tx,mrad,10.0,15.0,208,0.024778212376563857,0.14123040422332914,-0.039556445604314275
64,2,tx,mrad,15.0,20.0,109,0.030628681293984328,0.1728546379768449,-0.029697645941634928
64,2,tx,mrad,20.0,30.0,115,0.037135408664505654,0.1321029886707556,-0.007736856793643412
64,2,tx,mrad,30.0,50.0,55,0.043310370192523734,0.13080014818164337,0.01926182725184811
64,2,tx,mrad,50.0,100.0,24,0.06961511960952918,0.20658071733381117,-0.04333063766023747
64,2,tx,mrad,100.0,200.0,6,0.27807773425349985,0.7057976613603786,0.27568202165968797
64,2,ty,mrad,1.0,2.0,5,0.14838861062214936,0.7234372984282671,-0.07538507468526963
